#  Index into NumPy file "pose_data_ycbv-9-dope.npz".
#  Created at  5:56PM EDT on Sep 11, 2023
#    DATASET:   ycbv
#    OBJECT:    9
#    ESTIMATOR: dope
#  The errors reported in this file have taken discrete and continuous object symmetries into account.
#  Bounding boxes are recorded in pixel coordinates as ((upper-left x, y), (lower-right x, y)) with the origin in the upper-left.
#
#  When a row is marked as a TP, it does not necessarily mean that the bounding boxes overlap.
#  For each ground-truth instance, the prediction best overlapping that instance belongs to that ground-truth.
#  All TPs are in the corresponding *.npz file.
#
#  When a row is marked as a FN, it means that there is a ground-truth but the predictor failed to make a prediction at all.
#  FNs are NOT recorded in the *.npz at all.
#
#  When a row is marked as a FP, it means the predictor hallucinated; there is no corresponding ground-truth instance.
#  FPs are NOT recorded in the *.npz at all.
#
#  Scene  <t>  Frame  <t>  Index  <t>  Error cat.  <t>  Visibility ratio  <t>  Score  <t>  R_err(degrees)  <t>  t_err(meters)  <t>  Gr.Tr.BBox  <t>  Pred.BBox
000049	1	0	TP	0.9451185214945761	0.80925375	7.281939742657332	0.006737795922841823	169.0,98.0,298.0,228.0	134.25312249591826,77.59195649451142,392.32661034376383,281.8014847345142
000049	36	1	TP	0.9436955449613678	0.70789903	4.567003436793671	0.021309223759407216	167.0,110.0,296.0,238.0	130.8965853711091,86.89587735477126,391.75467816170595,299.14729238441606
000049	47	2	TP	0.9377994452382954	0.5981422	5.50092654068477	0.018713410997879276	165.0,118.0,294.0,243.0	129.20382066396175,98.80492517814449,380.32043362130025,316.20345128001054
000049	58	3	TP	0.9345385999485906	0.61304003	4.9775765253066035	0.03205456584992934	155.0,133.0,285.0,255.0	119.61777273473788,106.4472120993665,370.23050815906487,333.8262496554117
000049	65	4	TP	0.9307321350284963	0.68613726	3.6809840509224045	0.019355744768202118	164.0,143.0,293.0,264.0	128.37502826814105,115.12715889200753,385.212545250567,348.50736509397757
000049	73	5	TP	0.917207647843486	0.5804578	3.697688199713327	0.01801000127307965	155.0,154.0,285.0,273.0	121.55968768133593,124.31165898222038,370.708353003772,364.48714557409556
000049	91	6	TP	0.910431654676259	0.6333888	5.86363024495706	0.01031863722598717	150.0,155.0,280.0,272.0	117.80710813288766,128.19181901565332,360.41747705839964,365.9273675508881
000049	91	*	FP	*	0.3167708	*	*	*	357.80517345566227,237.75167051507682,754.1822309123858,510.93382936467094
000049	109	7	TP	0.8988927210019967	0.7507788	5.099396629811847	0.027613612412772364	149.0,173.0,280.0,289.0	120.2244625408307,143.39599493544213,360.94617314759546,395.34309569714753
000049	125	*	FN	0.8878031125588128	*	*	*	128.0,180.0,258.0,298.0	*
000049	148	8	TP	0.8882746321890326	0.47730815	3.8000023462908326	0.016257263267730353	132.0,159.0,262.0,278.0	105.20875677792898,131.06808573194945,333.62189084138527,374.3474942181606
000049	231	9	TP	0.8451618487104033	0.554086	2.6962341250326363	0.0070886347313583635	141.0,154.0,266.0,281.0	112.83311567950258,129.63906287624775,346.58483844659906,379.11214129355324
