scene_id,im_id,obj_id,score,R,t,time
50,620,2,0.53492314,0.9459575905155608 0.04795116611950728 0.3207256188921831 0.09529719699307254 0.9042363289036951 -0.41626326493702515 -0.30997206517887704 0.4243316476042624 0.8507996072226374,52.9128482316867 -85.1281430891172 1054.6590428554061,0.69
50,623,2,0.5112767,0.9467671071156715 0.04722954745291297 0.31843588794483507 0.09593717719078682 0.9028365056392522 -0.4191447269354204 -0.3072915601126821 0.4273822807891051 0.8502448371798657,53.70682736254897 -89.23832984867688 1060.1144052389611,0.69
50,629,2,0.56311786,0.9450686859952884 0.053107694387957635 0.322528683294888 0.08901240263085879 0.907609609947616 -0.41027014040582843 -0.3145186336753688 0.41644251551388406 0.8530261779942323,56.61857363247348 -92.64980637612575 1040.8001382167608,0.69
50,701,2,0.46759295,0.9517311568317199 0.056233872518374306 0.3017375626224605 0.07774716642268925 0.9068440504713073 -0.41423332342779434 -0.2969228573703929 0.4176980006013677 0.8586997129757417,95.89186169886281 -83.9852299899311 1013.5071033535312,0.69
50,712,2,0.4649824,0.9512046055143153 0.048959870891812654 0.30465181681817216 0.08348489423084744 0.9096706685507462 -0.406853225640037 -0.2970523032794398 0.41243448670145877 0.861195519783797,106.47289569755642 -76.50247386905697 1021.5969818843582,0.69
50,721,2,0.5658395,0.9541651885123175 0.04115953725564047 0.2964366467293732 0.08142476019983395 0.9174320832877252 -0.38947192579278933 -0.2879909746114506 0.39575783636871426 0.8720303512465037,115.65307055256454 -75.56805768779162 1006.5011955838074,0.69
50,722,2,0.537911,0.9548301858256183 0.03838940415070097 0.29466178898046697 0.08414255133233556 0.9161046247683327 -0.3920106472193806 -0.284990082794999 0.39909719383506886 0.8714941666938874,115.3782310923596 -75.47835884208077 1001.1328759171656,0.69
50,735,2,0.55578196,0.9546786431927936 0.04377910350579522 0.29440121998353747 0.07880643290838817 0.9166426884796952 -0.39186187335459405 -0.2870160872909776 0.39730287156393046 0.8716491231471714,123.44330348236934 -75.07343163529318 1000.3772240513405,0.69
50,737,2,0.5251326,0.9541642990570479 0.048507496498554625 0.2953261132856616 0.07444709383948667 0.9172914715076915 -0.39119558601562576 -0.2898760435493547 0.3952510329938391 0.8716355317983979,124.26006192484 -75.68894551580912 999.3200756613635,0.69
50,751,2,0.4905483,0.9580173521223705 0.03682197930871933 0.2843358838983048 0.07837860488963355 0.9203074372272266 -0.3832636367825796 -0.2757889543255798 0.38945906437524674 0.8787844387834599,128.01148175920432 -71.02917009693537 995.6120290324712,0.69
50,757,2,0.52137953,0.9553617235617553 0.049691443417710715 0.2912296990421428 0.0720731811693568 0.9167708723477688 -0.39285700219143416 -0.2865125367400904 0.39631039358787434 0.8722663803133667,131.13277006538934 -72.90694082582225 1007.6771127193076,0.69
