scene_id,im_id,obj_id,score,R,t,time
58,30,8,1.0,-0.22161689083282213 0.8688046134769322 0.44279170870601386 0.8601427720722234 -0.039753705498928614 0.50850177438335 0.45939129873072654 0.4935566699987984 -0.7384859160134288,129.86227765371657 116.64067912287551 871.0184127622143,0.69
58,77,8,1.0,-0.18743492839335232 0.9116642215588451 0.36570000649122825 0.859491569349291 -0.028023102301519078 0.5103811790758863 0.4755443090140734 0.4099793322435952 -0.7783152043339664,112.8503382283865 111.62061276944391 856.3878494318335,0.69
58,86,8,1.0,-0.21732426914080613 0.9002989896298498 0.3771364359404773 0.8708430178020102 0.004306110630561859 0.4915423641525977 0.4409111025908762 0.43525071703870666 -0.7849549113989854,111.21069684958383 111.62428156710762 859.9496256962431,0.69
58,94,8,1.0,-0.19953189407199323 0.9223749846470288 0.33077395747766486 0.8515211577843164 -0.003817596308447355 0.5243063453784278 0.4848698187077643 0.3862768614036039 -0.7846600826157025,95.98511433621182 111.02713117859024 854.1887085476378,0.69
58,102,8,1.0,-0.23921373638318671 0.9077877552215096 0.3445260219424479 0.8873318266716308 0.06031710062101282 0.45716963673046174 0.39423218755091843 0.4150701613493401 -0.8199376460781945,87.87184954153489 118.4144791459769 859.8706599800797,0.69
58,103,8,1.0,-0.22159205953081398 0.9346762965787508 0.2779877331227471 0.8499210053787107 0.04536883183951149 0.5249532871728301 0.47804941561404923 0.3525930936807323 -0.8044543905776863,87.23809315641091 114.53750274565178 855.6730559608553,0.69
58,107,8,1.0,-0.2037228763771381 0.9408335305390265 0.27079375445917603 0.8578391595389273 0.038244262032477244 0.5124932709637641 0.47181454619603724 0.3367040900183164 -0.814875076169817,93.06494023011656 114.98455571016663 858.3914154666114,0.69
58,114,8,1.0,-0.25467305981265714 0.9076047932673464 0.33375915244948173 0.8537138930276738 0.04890174283109137 0.5184411330128186 0.45421825310878033 0.41696781504837943 -0.7872887778678089,87.03759591889873 117.22334390094326 857.3556890806963,0.69
58,116,8,1.0,-0.25163450395878717 0.9048624768138869 0.34337148173902526 0.8827960212340555 0.06918150084187448 0.46463437758584675 0.39667525926220376 0.42004501901046803 -0.8162174469427613,79.20652798275172 122.1033489961045 867.668798769932,0.69
58,121,8,1.0,-0.20983877699845027 0.907651583403274 0.36350555816015306 0.9037693344252002 0.0382078311064039 0.4263110974332894 0.37305318363528994 0.4179817756645316 -0.828325151973487,94.51275993653721 110.7999505559966 863.1020863880674,0.69
58,124,8,1.0,-0.234988874840477 0.9203586777345777 0.31260219612131157 0.8756455296535136 0.06084280868115655 0.4791065215895164 0.4219302490922215 0.3863134180305524 -0.8202053449902209,89.52693806424703 118.67474225163392 866.7885637997535,0.69
58,135,8,1.0,-0.23241135913233793 0.940377181159264 0.24834596292514263 0.8536161075510161 0.07482930191344685 0.5154998705185073 0.4661807600874488 0.3318001397379193 -0.8201122887715957,84.48159342649444 109.48424066004554 860.8636746590958,0.69
58,137,8,1.0,-0.18886315018101907 0.9642579179080374 0.18584234785257847 0.8932903211558426 0.09009242612722551 0.44035866845538785 0.40787634478232937 0.24917869593158848 -0.8783774045709729,108.63024777075394 108.74102596729112 861.1696001806511,0.69
58,154,8,1.0,-0.22169152339754522 0.949886865105916 0.22038106078547398 0.8749548164891155 0.09400143976480721 0.474992419333868 0.43047292313939245 0.2981252636416422 -0.8519474101271913,103.43889544332526 103.64897633974634 858.9640247253307,0.69
58,163,8,1.0,-0.22128414424406997 0.9587104031970873 0.1786272384264164 0.8886293680460918 0.12277594598512587 0.4418867652843448 0.40171031073669666 0.25651594470741157 -0.8791065898733167,111.0195807796549 113.66595602563551 864.9765039099153,0.69
58,215,8,1.0,-0.14276178660660913 0.9845075746992276 0.1018032791452865 0.8783991910124622 0.07862835204732709 0.47141536195055533 0.45610737059769163 0.15672401734949845 -0.8760157811776527,111.56502775739696 98.96348321693918 844.5045001755393,0.69
58,319,8,1.0,-0.26322421171881916 0.960964725103325 0.08520452729813047 0.869766066633925 0.19817336181237646 0.4519229005042032 0.41739669823461417 0.19306505581039946 -0.8879785360738007,51.25097862224965 134.62247010207918 854.6494158107068,0.69
