#  Index into NumPy file "pose_data_ycbv-12-dope.npz".
#  Created at  5:54PM EDT on Sep 11, 2023
#    DATASET:   ycbv
#    OBJECT:    12
#    ESTIMATOR: dope
#  The errors reported in this file have taken discrete and continuous object symmetries into account.
#  Bounding boxes are recorded in pixel coordinates as ((upper-left x, y), (lower-right x, y)) with the origin in the upper-left.
#
#  When a row is marked as a TP, it does not necessarily mean that the bounding boxes overlap.
#  For each ground-truth instance, the prediction best overlapping that instance belongs to that ground-truth.
#  All TPs are in the corresponding *.npz file.
#
#  When a row is marked as a FN, it means that there is a ground-truth but the predictor failed to make a prediction at all.
#  FNs are NOT recorded in the *.npz at all.
#
#  When a row is marked as a FP, it means the predictor hallucinated; there is no corresponding ground-truth instance.
#  FPs are NOT recorded in the *.npz at all.
#
#  Scene  <t>  Frame  <t>  Index  <t>  Error cat.  <t>  Visibility ratio  <t>  Score  <t>  R_err(degrees)  <t>  t_err(meters)  <t>  Gr.Tr.BBox  <t>  Pred.BBox
000049	1568	*	FP	*	0.27620953	*	*	*	198.08998892936688,115.48276954058561,461.5782897042744,271.1650972545996
000049	1641	*	FP	*	0.25841448	*	*	*	217.4223053770061,112.77260913505708,497.39734245968214,279.432496040493
000051	1	*	FN	0.9738073849936173	*	*	*	213.0,29.0,312.0,296.0	*
000051	35	*	FN	0.9664562147573377	*	*	*	222.0,49.0,320.0,314.0	*
000051	56	*	FN	0.9614882190720403	*	*	*	213.0,53.0,311.0,316.0	*
000051	83	*	FN	0.9725810324129652	*	*	*	205.0,38.0,303.0,303.0	*
000051	100	*	FN	0.9609896709104011	*	*	*	209.0,28.0,306.0,292.0	*
000051	116	*	FN	0.9583939482106488	*	*	*	219.0,17.0,316.0,280.0	*
000051	138	*	FN	0.9412415252199836	*	*	*	234.0,-8.0,331.0,256.0	*
000051	169	*	FN	0.9544631799561779	*	*	*	237.0,-5.0,335.0,260.0	*
000051	240	*	FN	0.9412729985082049	*	*	*	268.0,30.0,367.0,287.0	*
000051	407	*	FN	0.9175220693902689	*	*	*	265.0,24.0,369.0,273.0	*
000051	515	*	FN	0.8959297433740009	*	*	*	279.0,41.0,380.0,287.0	*
000051	520	*	FN	0.8944441529825298	*	*	*	284.0,40.0,386.0,286.0	*
000051	532	*	FN	0.8863458222291896	*	*	*	288.0,42.0,391.0,289.0	*
000051	546	*	FN	0.8815049958368026	*	*	*	297.0,41.0,403.0,288.0	*
000051	553	*	FN	0.893974025974026	*	*	*	293.0,43.0,398.0,290.0	*
000051	571	*	FN	0.8877324952341697	*	*	*	297.0,48.0,403.0,296.0	*
000051	582	*	FN	0.8802493945483588	*	*	*	297.0,68.0,404.0,315.0	*
000051	601	*	FN	0.8691035327751685	*	*	*	302.0,61.0,413.0,308.0	*
000051	611	*	FN	0.8860163917838713	*	*	*	300.0,57.0,412.0,305.0	*
000051	618	*	FN	0.8714242697982535	*	*	*	298.0,50.0,412.0,299.0	*
000051	636	*	FN	0.881758089976322	*	*	*	303.0,60.0,419.0,312.0	*
000051	637	*	FN	0.8806588420948811	*	*	*	304.0,60.0,420.0,312.0	*
000051	649	*	FN	0.8610375600666863	*	*	*	289.0,53.0,407.0,306.0	*
000051	654	*	FN	0.8731609560584583	*	*	*	291.0,53.0,408.0,305.0	*
000051	669	*	FN	0.8784058954717348	*	*	*	295.0,64.0,414.0,317.0	*
000051	672	*	FN	0.8718146718146718	*	*	*	300.0,64.0,419.0,318.0	*
000051	675	*	FN	0.8668492624093028	*	*	*	303.0,61.0,423.0,316.0	*
000051	681	*	FN	0.8687514920028646	*	*	*	304.0,59.0,424.0,315.0	*
000051	685	*	FN	0.8677729174591099	*	*	*	302.0,59.0,422.0,316.0	*
000051	694	*	FN	0.8626015492159456	*	*	*	298.0,59.0,418.0,317.0	*
000051	698	*	FN	0.8746295338006304	*	*	*	297.0,54.0,417.0,312.0	*
000051	780	*	FN	0.8465665236051502	*	*	*	292.0,50.0,416.0,316.0	*
000051	946	*	FN	0.8115821885362388	*	*	*	311.0,28.0,446.0,313.0	*
000051	1038	*	FN	0.7892980350982451	*	*	*	329.0,26.0,466.0,318.0	*
000051	1045	*	FN	0.7815056977395852	*	*	*	328.0,24.0,464.0,317.0	*
000051	1057	*	FN	0.7884879788933893	*	*	*	328.0,16.0,465.0,310.0	*
000051	1063	*	FN	0.7820697820697821	*	*	*	329.0,16.0,466.0,311.0	*
