scene_id,im_id,obj_id,score,R,t,time
50,620,5,0.5057042,0.05884753889181883 -0.9979018069275073 -0.02699909067343193 -0.2903182150361737 0.008769046092713536 -0.9568899821028717 0.9551189984418623 0.06414894824890106 -0.2891930345875812,87.86247699879218 -1.843175146139238 833.9541885443524,0.69
50,623,5,0.5152602,0.06075291293917662 -0.9978986353434753 -0.02252547777594674 -0.2859119763309135 0.004223852404661083 -0.9582465762325556 0.9563280950384947 0.06465657468883956 -0.28505455967156623,88.70799511024727 -5.183226550438644 838.6808137192436,0.69
50,629,5,0.55385625,0.008082151088620537 -0.998690592945498 -0.050515130366560884 -0.3369994586717069 0.044841302323714693 -0.9404364000084694 0.9414701501846766 0.024624320662368526 -0.336195775022768,95.41962164689487 -12.938283578313257 853.7581188371933,0.69
50,633,5,0.5455284,0.020604680664552625 -0.9993775835109686 -0.028633768709149472 -0.32395471681459853 0.02042103909670898 -0.9458521674214129 0.9458481847465192 0.028765026299100445 -0.32333231306772753,99.6350382520286 -15.543347297494863 853.1373756673638,0.69
50,640,5,0.54325575,0.02812884319954235 -0.9987715090671032 -0.04079510823710398 -0.32897273290586004 0.029288253987208947 -0.943885130290138 0.9439203934573643 0.03997087507426134 -0.3277447481823203,109.8252698828005 -14.959172650479625 851.8159799259587,0.69
50,642,5,0.57047164,0.04301583072289611 -0.9982089430452405 -0.04157576615918293 -0.3086884951295663 0.026298830410233454 -0.9507995501122715 0.9501900079888563 0.05373339318857212 -0.3070043504163735,110.61124980369874 -14.987260498542154 854.4953845232288,0.69
50,644,5,0.55712223,0.024824311939856458 -0.9987652143856356 -0.04303254663540426 -0.3295245154249683 0.03246489232254246 -0.9435886945594598 0.9438206118064241 0.03760421917419998 -0.3283117046796325,110.31855143057206 -16.3103541568529 848.4012868449124,0.69
50,651,5,0.48408997,-0.002744834874681912 -0.9993754994188391 -0.035228923384869076 -0.3304300676614371 0.03415665788159211 -0.9432122206097725 0.9438264863134374 0.009051733740345957 -0.3303174682779054,115.50055011293897 -19.395777435743117 846.5803275000338,0.69
50,653,5,0.50412124,0.012671404661706024 -0.999252642829018 -0.0365183693929832 -0.3015705251496724 0.03100165196753269 -0.9529397231390005 0.9533596665817421 0.02308794868555997 -0.300952309777883,118.43765768419485 -19.368469156086313 850.1543233746079,0.69
50,660,5,0.49510136,0.0037094807945237665 -0.9994221822532017 -0.03378670407842515 -0.38305948771881715 0.029789605975700482 -0.9232432010279901 0.9237162273235391 0.016367070478876807 -0.38272764517749047,124.30701967467017 -18.734306016520474 842.3178098163135,0.69
50,662,5,0.5307822,0.021207145950545014 -0.9993394606231093 -0.029511004763397936 -0.35984230134327555 0.019909808463161316 -0.932800684868389 0.9327720917376375 0.03040134813578571 -0.35918238111984174,125.32153876052729 -17.070309287561557 850.8947021792918,0.69
50,671,5,0.49081653,0.009255281187461275 -0.9993820344065975 -0.03391001438324257 -0.3943772344676435 0.0275145212999719 -0.9185366340278907 0.9189020278048116 0.021874652522133557 -0.39387886827455154,127.87599056600635 -18.032328448291654 825.5787320540245,0.69
50,681,5,0.4860388,0.03171570381841338 -0.9987099340186224 -0.039655791806767565 -0.37076749629056127 0.025089127098859243 -0.9283867725230933 0.9281840215311462 0.04414751854789012 -0.3694934624324663,136.44193793714268 -18.82287407652726 833.8283539623274,0.69
50,682,5,0.50838137,0.023147509144649803 -0.9987815029147835 -0.04358557394006554 -0.35520600379073675 0.03253609785903669 -0.9342216531461485 0.9345014112837999 0.03710676180150674 -0.35402005668774306,138.046288089387 -17.789910973855186 836.5740129614122,0.69
50,701,5,0.5472113,0.08659544724616391 -0.9956699664501958 -0.03380157430213629 -0.35772329083036614 0.0005901849617745425 -0.9338274459873217 0.9298038909973061 0.09295681573062248 -0.35612322964880144,142.43612933669522 -9.216825034274684 850.5965601521283,0.69
50,712,5,0.5498942,0.0371892748798725 -0.9984142150076911 -0.042261248259904544 -0.3431317811148069 0.026961028919516433 -0.9389002522678227 0.9385507650750116 0.04941819695392574 -0.3415849867703987,151.48212493807927 -2.479629430023563 847.3976082355204,0.69
50,721,5,0.47767192,0.0035236054099577196 -0.9985676079594861 -0.05338835583706633 -0.37911157105225 0.0480692793461705 -0.9241015967291879 0.9253442607479714 0.02349631284287229 -0.3783991574826511,163.70236287638016 -4.106331711577989 846.4695061008962,0.69
