scene_id,im_id,obj_id,score,R,t,time
49,1,9,0.80925375,-0.8406723014913291 -0.5361859711056726 -0.07599135407885832 -0.3627519947581468 0.6617405262391955 -0.6561329638355765 0.40209584902639456 -0.5240267935155027 -0.7508094617635046,-64.23067349313096 -61.73526040255769 908.0037919117495,0.69
49,36,9,0.70789903,-0.8385762545788298 -0.5279703108970404 -0.1343027031292526 -0.3056196181035794 0.6599936303380987 -0.6862980816987321 0.4509839401650173 -0.5344677340349179 -0.7148130713611891,-63.3984583275313 -52.14818573035571 890.1546895130809,0.69
49,47,9,0.5981422,-0.8530418247144274 -0.5112700863696569 -0.10451097584198327 -0.2915057999686834 0.6329751419928602 -0.7171937243198216 0.4328325471501628 -0.5813306876491916 -0.6889924656517079,-72.94222914067969 -45.99304786866532 937.9596595733993,0.69
49,58,9,0.61304003,-0.8570447874515503 -0.49088697979062995 -0.15653819142356462 -0.2550446239319602 0.6681664410058396 -0.6989319329641444 0.4476901518969698 -0.559091745767744 -0.6978466505679056,-74.80438158465624 -35.156843943350346 897.8457784950803,0.69
49,65,9,0.68613726,-0.835803124889065 -0.5178643805679136 -0.1823447826637365 -0.25721091976420757 0.6627540583703637 -0.7032777551349559 0.4850522437632101 -0.5409006761436186 -0.6871322866578544,-69.22450993208619 -28.54118307004992 920.6046364807996,0.69
49,73,9,0.5804578,-0.8499608239399816 -0.49677266117352586 -0.17545233220975115 -0.230213797724762 0.6497514712173484 -0.7244478124668702 0.47388627866230737 -0.5753607118681848 -0.6666272167667066,-77.28088170197775 -20.48709147074458 927.5208626985092,0.69
49,91,9,0.6333888,-0.8682178315928402 -0.45694044937507305 -0.19339912778793278 -0.20337427857462764 0.6832462512263981 -0.7012941344395542 0.45258888598647296 -0.5695436646210544 -0.6861365129269419,-85.47700998344591 -20.219216989550382 959.6907071226891,0.69
49,109,9,0.7507788,-0.8579778989064956 -0.4854083457789907 -0.16808528441270298 -0.20412006687513412 0.6224320998473931 -0.755588035491865 0.4713904149289485 -0.61396825563515 -0.63311456924118,-87.22543105389852 -4.696351952346825 980.1834984645766,0.69
49,148,9,0.47730815,-0.844487210750817 -0.5090329165712397 -0.16651378539112846 -0.22956382840853906 0.6249309521331999 -0.7461646961310267 0.48388200996185043 -0.5919010009392361 -0.6446017417928765,-100.27296901711578 -15.9625303097513 960.8903038162401,0.69
49,231,9,0.554086,-0.7704957281888045 -0.6268662794425499 -0.11565033739967595 -0.28052779419672313 0.49636818870882 -0.8215368390529096 0.5723988902207313 -0.6005474909911623 -0.5583029836372855,-90.68351118116276 -13.600897294188016 928.9710060213155,0.69
49,357,9,0.5067434,-0.5835711319606453 -0.8106945051232943 0.04710789005111782 -0.40670733585556607 0.24156901053757251 -0.8810411773062403 0.7028754348413657 -0.5333093216050093 -0.4706881032974658,-79.60475435358006 -18.627734288021603 891.6171909801003,0.69
53,247,9,0.26690963,-0.6907942918667137 0.7127218209611855 0.12178198655851194 0.314084215826117 0.44749272268727 -0.8373179614165861 -0.6512713349236698 -0.5401646684740739 -0.5329800927230165,-124.64032091921834 41.577854775107504 1002.1825035480961,0.69
53,316,9,0.38589978,-0.6201028715948419 0.7795502812032099 0.08816908594188573 0.3502631045062732 0.37566486870551224 -0.8580161210852032 -0.701988736563101 -0.5011758827961167 -0.5059985654545619,-49.23543512900325 25.827766981076348 815.0259517476918,0.69
53,523,9,0.5598654,-0.23961313888477276 0.9656832388514222 0.10020691530634833 0.4182600932018996 0.1958209048289945 -0.88696824501596 -0.8761529764307857 -0.17061669154388423 -0.45082802315083986,-120.64663202270738 34.43594859679766 826.5864434964873,0.69
53,547,9,0.45883217,-0.13985039253205792 0.9760468590104752 0.16665652319790875 0.36807661895656624 0.20749451331044536 -0.9063474110536005 -0.9192178579021038 -0.06541067162051763 -0.3882782169424661,-120.14970185195166 26.449085307006097 818.3853372997006,0.69
53,550,9,0.4738108,-0.1789459159106279 0.9723281429082647 0.15018768820203432 0.3856635673198723 0.20975785556638837 -0.8984794126023704 -0.9051198661067035 -0.10285730181545286 -0.4125268517832845,-115.63852225392476 22.8753431686066 808.5395353464305,0.69
53,552,9,0.56669474,-0.19671767518808397 0.9701884359503481 0.14155053873727608 0.42901258227462313 0.2149916512159928 -0.877340751451499 -0.8816180354998732 -0.11186147082726255 -0.45851570401209407,-111.44708058605694 19.373365315100028 830.6822212231768,0.69
53,567,9,0.5500846,-0.22429835486195998 0.9657306613518819 0.13059302328637315 0.41838568832440565 0.21645711951508914 -0.8820996152456613 -0.8801384344587683 -0.14321524058593532 -0.45259886329108373,-104.88075754580902 9.623073015699315 824.7292750329111,0.69
53,576,9,0.4641896,-0.2650703003155429 0.9532339357550057 0.14519917222783954 0.41589866923307806 0.2488861899783397 -0.8746907804294158 -0.8699230039611452 -0.1714664053483589 -0.46242106247026604,-100.66685106892045 6.155271193413993 804.1531764515696,0.69
53,583,9,0.3992133,-0.12052038375033447 0.9765701879830467 0.17828489852881257 0.3675296325980966 0.21072675056787574 -0.9058234959181687 -0.9221696190305666 -0.04364521208404378 -0.3843153512405647,-105.77826645306175 9.997632571174735 751.2744192615946,0.69
53,665,9,0.4442739,-0.1366472246531057 0.9708349575753416 0.19699497745954958 0.42165269624375223 0.23694834956790886 -0.8752510973357407 -0.8964019967319227 -0.03653716993321791 -0.4417335118239203,-89.0177166591673 13.618672364913945 747.5273617830082,0.69
59,274,9,0.48588502,-0.5825673915298714 0.8078880442953145 0.08906257469203213 0.23320657763900327 0.2711159114962002 -0.9338687566673853 -0.7786076845703395 -0.5232715073633158 -0.34634809528816257,44.01502889965412 58.687075843053954 966.1857079370101,0.69
59,320,9,0.50201994,-0.7096428380487096 0.6867942800833952 0.15722804855019862 0.19735019198064088 0.4079851341554909 -0.8914039668036765 -0.6763578521251725 -0.6015494552843157 -0.4250627115094503,37.39935085846719 48.08064947477322 946.0269183321464,0.69
59,422,9,0.4877553,-0.7943436054004996 0.6058694457740996 0.044050553194265374 0.2415814577310736 0.38160125575069787 -0.8921989020896741 -0.5573658007447757 -0.6980706957657483 -0.44948934122319206,83.44494302757928 36.584907461257764 882.7638660288071,0.69
59,455,9,0.5374818,-0.8393708312256467 0.5432176761402947 0.019265617464930742 0.22529214501619593 0.37993600481900913 -0.8971577796776727 -0.4946716659376891 -0.7487076789848679 -0.4412898756458431,51.38460302279335 35.526928909142526 845.9725311608208,0.69
59,492,9,0.70228696,-0.9075833293662136 0.41774683841016924 0.04219098546902067 0.17362833100550776 0.4649015239710108 -0.8681703609785775 -0.38229007694260264 -0.780611396283541 -0.4944695592890218,52.9336947984463 38.01946119445809 837.6738897357145,0.69
59,510,9,0.5225994,-0.9080706857208232 0.41665082461140346 0.04254080494244978 0.13533915045290476 0.3880462414040442 -0.9116487420530346 -0.3963469995965657 -0.822084061932131 -0.40876258516156805,35.02802894522376 48.476553181372665 846.4922047897813,0.69
59,514,9,0.58658,-0.912763102146449 0.4071851167163797 0.032615948317650724 0.15159545011007167 0.41179958370483516 -0.8985766090692822 -0.37931825538183117 -0.8152431438443337 -0.4376028765317832,35.348157515096396 44.64634885485971 846.1875296639012,0.69
59,515,9,0.58837354,-0.9334607327831286 0.3558241266939989 0.045169140067503485 0.14276012231117 0.4841013119758094 -0.8632875924169188 -0.3290449936250124 -0.7993967166593526 -0.5026870612663136,37.39208343332722 42.49995527311847 865.1274831169221,0.69
59,523,9,0.6064673,-0.9386652296776904 0.34198687418476403 0.04418783180314583 0.13134346115474668 0.4730682006923871 -0.8711804478439349 -0.3188361362926422 -0.8119430123961915 -0.4889704109810511,38.41989427351306 44.44739395651979 850.2314440160975,0.69
59,525,9,0.5280181,-0.941035050529478 0.3365454677815816 0.03449901144466333 0.1315799483569433 0.45803858211765003 -0.8791401335862428 -0.31167250578991845 -0.8227623018875676 -0.4753129955379971,40.893876915149875 48.531834477241624 855.511314149776,0.69
59,530,9,0.44792053,-0.942900979575366 0.3317904546572804 0.02920337162264524 0.11468911839628484 0.40574115188734794 -0.9067637640458572 -0.3127045711806883 -0.8516391324166845 -0.42062648430556376,34.044285533325365 50.60489784246441 833.145509303091,0.69
59,535,9,0.54984736,-0.9527385649922455 0.3026417281843655 0.026404755974972653 0.10978753911452985 0.4240512868860386 -0.8989589547612675 -0.28325946238685973 -0.8535739513667668 -0.43723630512164935,31.803678537437303 51.895073153993295 881.4225233867055,0.69
59,545,9,0.4344313,-0.944714958441196 0.3269524139234653 0.024814639370104023 0.12103996372107753 0.4180707579866703 -0.90031448311068 -0.3047342686339191 -0.847536996446804 -0.43453200707667156,50.538886560806525 51.3739274478073 866.0740794220977,0.69
59,561,9,0.73453003,-0.952160162541307 0.3055801774080781 0.0034322069517403464 0.14089166910922668 0.44891655894210214 -0.8823964305702955 -0.2711836323322782 -0.8396991593915226 -0.470494164971514,46.6645009585942 34.33709572750625 878.7750391772571,0.69
59,567,9,0.41807917,-0.9379328914641988 0.3442685988098071 0.041964544357585676 0.13768562581938684 0.48067714838960734 -0.8660208701057726 -0.31831518900663763 -0.8064915442145489 -0.4982437451269217,51.222834464723746 28.312236191474 848.6740366344126,0.69
59,615,9,0.50444996,-0.9604959499039075 0.27828588864201464 -0.002120000215698151 0.13200758607125598 0.44888776279233955 -0.8837837821746495 -0.24499291303592902 -0.8491505994804529 -0.4678907265207948,66.43766956706078 20.426100598508153 842.4644290123036,0.69
59,629,9,0.54153794,-0.9684435456378476 0.24914702647283937 0.006546610736624464 0.12381843393488534 0.5037509528778462 -0.8549292209841554 -0.21630093464963815 -0.827140094950308 -0.5187033535608659,53.404002122219545 19.27233512008988 838.6252071874927,0.69
59,636,9,0.65630203,-0.9563753037769116 0.2921405862867925 -0.00039518303256519405 0.14871021766327294 0.4856646916386191 -0.8614029710060831 -0.2514588425332505 -0.8238832958250666 -0.5079220071745895,45.30322213748789 21.156112065335744 845.144341101939,0.69
59,637,9,0.52484244,-0.9544044129160427 0.295472148640169 -0.04252559211046488 0.1653674281735346 0.4047125270029839 -0.8993672132038892 -0.2485273230565497 -0.8653923849126595 -0.43512089105158397,43.93250061967521 23.343024839158257 856.5070129674239,0.69
59,648,9,0.5790679,-0.9658045080111086 0.2592704792628452 -0.0006862129663397915 0.1354341818340572 0.5022433730878368 -0.8540545512906607 -0.2210864869148727 -0.8249426724155847 -0.5201829990796252,37.858770456682265 21.47892889854204 850.4720922747016,0.69
59,710,9,0.62721694,-0.9921690578455407 0.12119239225260156 -0.030215305955486292 0.08281890752896791 0.4572526600554344 -0.8854722092917074 -0.09349646629472348 -0.8810405262712497 -0.46370896245175025,32.121488895011424 32.62476272533859 856.0678716917157,0.69
59,801,9,0.5415619,-0.9955313324300347 0.08991783319489693 0.028847000253312022 0.018115150509337208 0.4816531857318589 -0.8761746686570979 -0.09267797727671853 -0.8717367675783132 -0.48112971284260764,15.631647274770268 35.61965034518935 838.4827429260016,0.69
59,908,9,0.37561625,-0.9974059187520188 0.019248315076452915 0.06936090833573977 -0.05445336842510773 0.42843388156552714 -0.9019308398063874 -0.04707721216895483 -0.903368093023776 -0.42627435367493755,1.164905300401603 19.041787780932953 814.2093453797646,0.69
59,1026,9,0.44131726,-0.9967274943935954 -0.06577063947938327 0.04699494549776531 -0.07195613173592469 0.45700095734927815 -0.8865508671742672 0.036832282381997455 -0.8870311989802364 -0.4602380199529551,0.428001750243132 26.152456728786007 826.9402437643432,0.69
59,1027,9,0.5937664,-0.9974512734578422 -0.06282589048316305 0.03382106684193222 -0.06189415356385629 0.5260468485455504 -0.8482003459619127 0.03549747641653724 -0.8481318415319001 -0.5285946542935948,-3.684507837875632 24.704767808825657 815.2689371885932,0.69
