scene_id,im_id,obj_id,score,R,t,time
49,1,9,0.775687,-0.801847881989117 -0.5848942493153393 -0.12222393901119716 -0.30869884143678705 0.580634151421922 -0.7533717591588698 0.5116102026398148 -0.5663591610633578 -0.6461364416549009,-60.334283749291814 -58.80562247902876 902.2813503619135,0.69
49,36,9,0.7542949,-0.8135109100019842 -0.5582561348658479 -0.1629419749247794 -0.2787336109346508 0.6202000330922222 -0.7332526802458599 0.5103994253945374 -0.5510916501245964 -0.6601442416016937,-64.80930756268806 -56.05622813554038 968.4452307538558,0.69
49,47,9,0.33643606,-0.8066719817257743 -0.5650380941461344 -0.17324048621011326 -0.2610234361235171 0.6036195231351075 -0.7533327532268976 0.5302330428150291 -0.5624725979582026 -0.6344111418104713,-64.14741818867918 -42.26280769067646 916.0079592441843,0.69
49,58,9,0.35897726,-0.8522721609136651 -0.5032659637250607 -0.14267281972203955 -0.23869218739458692 0.6168464793663126 -0.7500176401726646 0.4654655770390966 -0.6051642674921174 -0.6458467356442935,-79.42908742506003 -36.186941091559824 973.45277842202,0.69
49,65,9,0.38942796,-0.9589486814625716 0.0596800273436197 0.2772286432846725 -0.23118216968987598 0.40164563120821 -0.8861351992494373 -0.16423224634241831 -0.9138485001725524 -0.37136059025386625,-89.53097761104135 -43.2370530075755 1532.358376762997,0.69
49,73,9,0.47568014,-0.6862445470946092 -0.7267488669929711 -0.030075004694051 -0.2425538982094331 0.2676248318405564 -0.9324937296549085 0.6857375795786042 -0.6326239275483868 -0.3599318522261276,-94.57402542539471 -29.39482919727232 1405.1329657401152,0.69
49,91,9,0.14779676,-0.8435152242181029 -0.4993360381484879 -0.1978524387478089 -0.18452077240253217 0.6153566855005764 -0.7663473325860263 0.5044146618252254 -0.6099177572557767 -0.6112006039917066,-80.25883364863274 -16.869352704525504 943.2315265393471,0.69
49,109,9,0.77591676,-0.837812795974942 -0.5052244336160637 -0.20692508445806607 -0.1777706535504216 0.6108070611580136 -0.7715648571414891 0.5162047206650731 -0.6096417027376311 -0.6015560494636021,-86.28028789793062 -3.2815664865201097 989.843483906622,0.69
49,125,9,0.70663595,-0.8629625553269376 -0.47310698740196816 -0.17738491078735114 -0.154470053446595 0.5812937969382472 -0.7988970673555651 0.48107653309199017 -0.6620175980384132 -0.5747156420314673,-110.87793744260775 6.365764822385616 1031.125850305867,0.69
49,231,9,0.62513304,-0.6728757175340291 -0.7306855098574402 -0.11548573261420003 -0.27119601272782257 0.38889765305876683 -0.8804608668906949 0.6882521278089857 -0.5611214673577871 -0.4598387841805514,-83.8035478823291 -11.410222212046255 920.9815730336982,0.69
49,1682,9,0.41491288,0.042995513842853085 0.9875360955348902 0.15140622776191665 0.4779934083439104 0.11274327057329901 -0.8710977307513823 -0.8773104851585675 0.10982447339341192 -0.46718828931673684,-37.64805992668831 -36.149188738556695 1117.2369776198502,0.69
49,2061,9,0.5347152,0.15136804135452553 -0.9819059271138997 -0.11379132811900985 -0.4173147740519132 0.04087606839929565 -0.9078422365093051 0.8960670150242646 0.18490510358237713 -0.40357651970189623,-6.179552946259675 -31.851637306480434 848.3077212221717,0.69
49,2064,9,0.57738477,0.14555654458960837 -0.9847976654688861 -0.09479900006943642 -0.4045412790170741 0.028199397507191803 -0.9140848688997434 0.9028619196191425 0.17140114371632137 -0.39428670030115626,-7.6558105227622315 -31.513353871785213 858.4016838923769,0.69
49,2089,9,0.63450813,0.175522582271662 -0.979494387298556 -0.09890686711909347 -0.41461499170145266 0.01757423559194643 -0.9098272115625929 0.8929088597214679 0.20070349148429167 -0.4030283820488613,-7.034748101376872 -29.713049562398012 869.8466294660976,0.69
49,2097,9,0.7131865,0.1561594725806022 -0.9832387529163257 -0.09410512147007222 -0.3938130885890641 0.025395534293520483 -0.9188396585334618 0.9058286098259924 0.1805453450009042 -0.38324653686525906,-2.7685302773462417 -23.293041456079422 866.1572283213009,0.69
49,2119,9,0.5378452,0.1767213180906251 -0.9818538522688418 -0.06879381161955715 -0.40358282579292726 -0.008536916738726695 -0.9149032865705486 0.8977140293307817 0.18944691561867946 -0.3977680073928283,10.145132240497421 -27.944004711215335 865.4613075570807,0.69
49,2123,9,0.6450435,0.18257845781962118 -0.9824148171315542 -0.03906704263933497 -0.3748082592570999 -0.032812471892463335 -0.9265215110729857 0.9089465746306937 0.18380551887438284 -0.3742080379928356,10.120580763813756 -27.285598652568314 865.1970487339632,0.69
49,2146,9,0.62354565,0.21356823042326156 -0.9740241943619817 -0.0752693812341323 -0.38577667251703185 -0.01329937504608042 -0.9224963336323188 0.897532712437582 0.22605308098072052 -0.3785961366463747,7.398986236830953 -26.401738606639526 873.6774096444876,0.69
49,2151,9,0.49211618,0.1691509229531742 -0.9829940739429849 -0.0714885715136554 -0.4046829294697533 -0.0031329235478232964 -0.9144516998649094 0.8986766336451995 0.18361055357200246 -0.39833085840431043,2.7916910475447207 -30.390014961557323 870.4611325625315,0.69
49,2173,9,0.82209575,0.22736070942126385 -0.9678847287173198 -0.10726723510587782 -0.40405770145060566 0.006459076440364142 -0.9147106942798857 0.8860273594590139 0.25131142482453434 -0.38961273855297596,4.334801675704798 -36.575137452865626 879.1478881640213,0.69
49,2196,9,0.6828095,0.22994682683565343 -0.9701004013848856 -0.0776509372840915 -0.3889358416118461 -0.01846391666469216 -0.921079798329702 0.8921061416322047 0.24200060953287533 -0.38155253510862414,12.27540486387957 -41.81378217698728 844.4104271945575,0.69
53,513,9,0.43827605,-0.3080196206819307 0.9426903418769371 0.12829198184961776 0.33972951570021365 0.23494418161264177 -0.9107058184114473 -0.8886550339907255 -0.23693068787792998 -0.3926271510028732,-130.9010473527298 39.87279137310383 927.6624707448296,0.69
53,523,9,0.47026092,-0.28524330947194765 0.9503583520251918 0.12431917445612356 0.27136009475522466 0.20447724906463344 -0.9405066472861291 -0.9192387901823584 -0.2345379656919562 -0.316215099691891,-129.80019476434725 39.02437399251411 888.6179995107551,0.69
53,545,9,0.48120415,-0.2502604812453176 0.9554762043077053 0.15631671224984986 0.339078954639108 0.23772610013065834 -0.9102262157494246 -0.9068600520740298 -0.17478994341325393 -0.38347532076247054,-124.92514336742416 28.092394291173743 861.7765235317986,0.69
53,587,9,0.41248035,-0.23789290905026894 0.9620413702257884 0.13372870222090663 0.3648526760011886 0.2161088029533456 -0.9056376262616541 -0.9001608126542568 -0.16665349459330128 -0.40241412015667194,-110.05371706928807 9.7544934802409 783.6075049974568,0.69
59,320,9,0.31484374,-0.7038421375297469 0.709046080165226 0.043126576955337316 0.25185919691514486 0.30585633903475634 -0.9181605768064292 -0.6642086948895016 -0.6353782779373119 -0.3938543557694912,40.19622693918463 49.38582495770197 946.7549950215652,0.69
59,422,9,0.3374314,-0.829707496981082 0.5580932801200551 -0.010833288430819677 0.2564597755963254 0.363892667663877 -0.8954387248279748 -0.4957961808591007 -0.745730525796889 -0.4450529518385707,85.90216307242527 36.76701342755434 883.9754188020845,0.69
59,455,9,0.488765,-0.8832036045909213 0.46898858214745576 -0.0010500728176796243 0.22057630720931282 0.4134133301403336 -0.8834226118682847 -0.41388100407666223 -0.7804736563636202 -0.46857591293929646,54.498732433361134 35.536123962119994 845.6196316033092,0.69
59,492,9,0.43439978,-0.9103202242369228 0.41274083660084077 0.031017594156814564 0.1467234251164878 0.3918609514948861 -0.9082495423701622 -0.3870262599195631 -0.8222469194199276 -0.41727769846603857,55.37405278822868 41.81456826456954 843.9977308536457,0.69
59,510,9,0.45552593,-0.9212625736393486 0.3872084910723709 0.03667226271804901 0.1231374022127095 0.3798063708000303 -0.9168338458390459 -0.3689342090233831 -0.8401289812529786 -0.39758124235321146,35.01510078712134 49.41838553316149 843.9867138842387,0.69
59,514,9,0.7350831,-0.9324560581904916 0.3607952905720249 0.018773860681786495 0.1359772028254835 0.398620161471428 -0.9069796950209252 -0.33471764198441695 -0.8431658942162814 -0.42075571888549645,36.322538486144744 44.91625154103047 835.9911992014997,0.69
