scene_id,im_id,obj_id,score,R,t,time
2,3,6,0.0,0.19170911900024756 -0.9679812622745338 -0.16204903448508706 -0.9143367663062067 -0.11613952375135439 -0.3879431515100089 0.35670140379995435 0.2225396299723008 -0.907325862972578,109.50275577745612 -311.332881656848 1205.2882437374942,0.69
2,8,6,0.0,0.26624690793336314 -0.9635463245119749 0.02628810634843886 -0.9568640456479018 -0.26749413816998 -0.11339349271906884 0.1162917974848306 0.005036523023226928 -0.9932023214197516,-79.46512462773053 -219.8634579797408 1086.0514368141107,0.69
2,17,6,0.0,0.9816589215635128 0.17541967530298455 0.0746572115160742 0.11589411137886306 -0.8600300825445165 0.4969072469447147 0.15137475569745457 -0.47914110096616375 -0.8645863107304373,-69.39331166603489 13.780335321379916 226.7306736015826,0.69
2,27,6,0.0,0.44064661373502273 -0.06382300332087398 -0.8954089490567765 -0.8914956572324638 0.08577603300852549 -0.4448347617902377 0.1051953180494018 0.9942681209856945 -0.01910101180726201,-16.70782878756457 13.840913399842814 137.539045460058,0.69
2,36,6,0.0,0.21157598064749394 -0.977197660509173 0.017897952632938502 -0.9084681715089888 -0.20338275376507053 -0.36513153359584205 0.3604458153012271 0.06099334198366341 -0.9307838774202621,107.85187109413289 -195.8280707266657 1168.5720372019725,0.69
2,38,6,0.0,-0.07437795055038621 -0.9949742195397164 0.06703896570843604 -0.9598076119190189 0.053181601855851746 -0.27557406504668763 0.2706238507120809 -0.08484114376514645 -0.9589393681304293,47.82379637409107 -214.4658445604461 1107.6477891050772,0.69
2,39,6,0.0,-0.13507379926655383 -0.9907739431458344 0.011048182427585373 -0.890341958854902 0.11647369364839288 -0.44014210772239915 0.43479450899719796 -0.06928832709161584 -0.897860157638555,67.5999470907205 -152.9716656453064 1099.0301025922306,0.69
2,41,6,0.0,-0.33514969743013334 -0.9420646590551129 0.013742578792355742 -0.7530826288752643 0.25909520440555145 -0.6047612993077243 0.5661636109807935 -0.21303486384491085 -0.7962882093738228,91.36681350001368 -169.74855650364788 1070.1665463326142,0.69
2,47,6,0.0,-0.18509914347126044 -0.9824402189296741 0.02344191365097653 -0.8475357155728629 0.1475172235128347 -0.5098253422452244 0.49741483483567456 -0.11423609323011091 -0.8599584856776052,58.71083473244026 -238.16382917741896 1219.0950385944514,0.69
2,58,6,0.0,0.8869581586960908 -0.3983713062069721 -0.23367825554251093 -0.36379140966315066 -0.29090509842422474 -0.8848898428426499 0.28453652661431345 0.8698704076480259 -0.40294470950804046,134.87578366176106 -45.73120500096443 1289.7261787555617,0.69
2,61,6,0.0,-0.3122730399570023 -0.8298511850639051 -0.4624203273689912 -0.06448487431236039 0.5041556565199623 -0.8612019362401857 0.9478012711011373 -0.23911102995670935 -0.21094706883981612,145.37458149831065 -116.9410258244774 1145.4030887651106,0.69
2,62,6,0.0,-0.5939503016098221 -0.8011826588097649 -0.07300264680213414 -0.4611394184160663 0.4134030552004133 -0.7851422487255771 0.6592218716035547 -0.4326710773480008 -0.6149977746512802,-197.38602184840957 -182.71462672808855 1206.5627004445935,0.69
2,64,6,0.0,-0.35886326421636394 -0.8382026375689569 0.41065008945380793 -0.19990227842414882 -0.3607279962944918 -0.9109963730828985 0.911732546680665 -0.40901302065069434 -0.038106590786695316,-359.2574526660734 -147.68412237369577 2159.6910949456865,0.69
