scene_id,im_id,obj_id,score,R,t,time
2,3,7,0.0,-0.9527005911586567 0.3031051207887744 -0.022110390262696334 0.3007587615329651 0.9298715364453723 -0.21185630287975635 -0.04365490770925147 -0.20848551858665035 -0.9770506832158464,15.53529869194303 68.20691094685687 740.4439349527798,0.69
2,13,7,0.0,-0.8612522405473654 -0.5007491081499472 0.08657314155773406 -0.5058867427835635 0.8286782141387294 -0.23952248514008412 0.048199394477313626 -0.2500854815835529 -0.9670233038935219,-45.660598406599945 63.035373549612224 737.9303039593541,0.69
2,24,7,0.0,-0.05117381058866877 -0.9986897424348448 -0.0001986586465564516 -0.9744589446699009 0.04997575174210023 -0.2189342124717708 0.21865728037881016 -0.011010113225336793 -0.975739602119391,-79.25607849945942 10.369775519997171 759.8139897676101,0.69
2,36,7,0.0,0.8408106081711137 -0.5413249101193407 -0.0022051918760008643 -0.5239527170907252 -0.8127899620891067 -0.25464883227777635 0.13605539842346837 0.21526685581267807 -0.9670310798254392,-48.360263960364954 -50.3689518066077 775.4949675987326,0.69
2,55,7,0.0,0.489728838781312 0.8718577753162594 0.005448310425289857 0.8524780113611349 -0.477513600867459 -0.21274868068300212 -0.18288494911192765 0.10883372917977206 -0.9770917637464517,53.113951284193014 -28.901546331304615 770.7703813273187,0.69
2,65,7,0.0,-0.3676693097107572 0.9296431467738002 -0.024143287955916762 0.9054177865621456 0.35192232724786576 -0.23742221328542906 -0.21222137138780495 -0.10915262361003254 -0.9711064793756274,58.14867478070461 28.41231636875814 753.3807874146531,0.69
2,76,7,0.0,-0.9644483783898663 0.26414610275806094 -0.008133991571499945 0.2443372516708322 0.8795501211273992 -0.4082779590802345 -0.100690778461097 -0.39575045271295034 -0.9128214208213965,12.462664254222075 54.20493475164623 728.8876585365963,0.69
2,92,7,0.0,-0.4353677696721838 -0.8994233361591385 0.038633761181557646 -0.8323965075676122 0.3858361290981964 -0.397802131306209 0.34288621920384976 -0.20534883455935526 -0.9166574588281078,-72.10055355924854 22.7971709037704 752.9490913074214,0.69
2,106,7,0.0,0.7142471224721971 -0.6998170663967206 0.010349957491399941 -0.6344755965764256 -0.6536592557636415 -0.4125170235317701 0.2954517987577242 0.28807230157446584 -0.9108910932029224,-60.22780812035658 -48.60751548100236 783.6439772847936,0.69
2,117,7,0.0,0.9896860760042483 0.1371443381942671 0.041387213781184 0.14028089145944403 -0.8692764436287677 -0.4740039409577367 -0.029030026776712126 0.4749209355812589 -0.8795495224783906,0.39367021132644103 -66.52445200470021 788.3268959446038,0.69
2,122,7,0.0,0.835836976923589 0.5476928943999099 0.03753720062929994 0.505035861201164 -0.7403294485691924 -0.44367903543218495 -0.21520996005769283 0.38980097614691095 -0.8953992808165984,29.878257234579007 -57.88834712750436 789.0969946086418,0.69
2,130,7,0.0,0.28130130073997617 0.9596194371379423 -0.0003377411085201676 0.876077558465084 -0.2569555645978533 -0.4079974869727212 -0.39160910325968534 0.11447433637832227 -0.9129829880971977,59.67554189733858 -24.371118574645337 775.4041337719141,0.69
2,142,7,0.0,-0.7044290735162662 0.7096983513855445 -0.010388956908906094 0.6562711870564318 0.6456839176497896 -0.3903849478757615 -0.27034757151592237 -0.2818164802297044 -0.9205931034101786,44.265753277698494 36.84382771396061 747.3324304191128,0.69
2,145,7,0.0,-0.8438381140900364 0.5364755820234619 -0.011453693795383385 0.4366640162098311 0.674123024529523 -0.5957203074821843 -0.31186819997632165 -0.5076929167240328 -0.8031102839285358,32.572774405980304 31.770939474846987 731.1176927175569,0.69
2,153,7,0.0,-0.994336592862956 -0.09942827743485619 0.03753342164025919 -0.10171082984307545 0.7878902894662457 -0.6073580483186409 0.030816346089716173 -0.6077358878749328 -0.7935410785854415,-15.53595910480863 40.75332301646141 718.9380331312339,0.69
2,166,7,0.0,-0.3090101624641497 -0.9504919640992822 0.03282903709475732 -0.7832573254919692 0.23475818066668108 -0.5756705296202314 0.5394633273514033 -0.20360162767708712 -0.8170224572496115,-75.49324843334072 3.0992688985948917 758.1658383871002,0.69
2,173,7,0.0,0.31429607576174234 -0.9490157721885608 0.024228926887486235 -0.78084852924427 -0.27294887449577565 -0.5619381516577692 0.5399014272418902 0.15769583396158302 -0.8268243300806593,-76.60142705502868 -31.720176062451802 782.2020208965913,0.69
2,178,7,0.0,0.6864839925024612 -0.7270257523642509 0.013163716689307436 -0.5862226177183052 -0.5640619174224577 -0.5815300471937784 0.43021247135965185 0.39149420010122155 -0.8134184167903535,-60.992313795466046 -51.89956277540197 790.6503448840426,0.69
2,191,7,0.0,0.9612303007476838 0.2745313510620254 0.025862061181909916 0.23218914305213156 -0.7552324943001131 -0.6129535719791072 -0.14874310327956272 0.5951944361612335 -0.7896955567745565,10.858310538597616 -68.14991631270681 799.5917849088735,0.69
