scene_id,im_id,obj_id,score,R,t,time
1,1,2,0.0,0.8912342675299393 0.4527143605232647 -0.0274078119590543 0.41417889454233375 -0.8370191259516363 -0.35756793215674293 -0.18481700056018047 0.3073250568488847 -0.9334848610110225,-46.70246257167239 84.25797908741984 716.5298878109099,0.69
1,17,2,0.0,-0.3351681050762214 0.9351710407215316 0.11453150630032807 0.856313617854351 0.35306747701539043 -0.3769221995998361 -0.39292407563905685 -0.028257410882695982 -0.9191366544281646,-100.80673127190929 -18.083431925143874 760.6226348755174,0.69
1,30,2,0.0,-0.95599203222573 0.28304815854535886 0.07722029697560184 0.222810315141394 0.871643148723644 -0.4365704808501419 -0.190879013481083 -0.4001524224932454 -0.8963499545296334,-25.055949848786028 -77.81790391212596 757.6393869994608,0.69
1,38,2,0.0,-0.9524643820743466 -0.29858523913488516 -0.060485170500682965 -0.24747183433595063 0.8740913259930653 -0.41799766151748474 0.1776774946078795 -0.3831595082918462 -0.9064322915228791,39.472587154480564 -69.16424177871616 766.1094416427917,0.69
1,57,2,0.0,0.620104051589007 -0.7839999033814123 -0.028550248700043454 -0.7502107715592669 -0.5819483094143061 -0.313878899268939 0.22946625773596396 0.21605628125043547 -0.9490336769013442,66.69421317424052 55.58480921751142 728.8120006382463,0.69
1,67,2,0.0,0.9937876055128435 -0.10661174574658291 -0.03193948650047706 -0.11019106210796403 -0.9022659345163379 -0.4168622233338952 0.015624498730103622 0.41779195669642266 -0.9084083640958,-0.5080014505024316 95.52763545533212 723.3510314478199,0.69
1,76,2,0.0,0.6888834921568777 0.7196800048253638 -0.08660383876196814 0.5910284179177441 -0.626832840495701 -0.5077066074907233 -0.4196724239777891 0.29856537095024127 -0.8571661308182631,-67.21425392115313 53.190034981203 701.8484894498017,0.69
1,89,2,0.0,-0.4178795207268 0.8965479146715386 0.14689636774017115 0.7847774642484232 0.4376819121557005 -0.4388153089621469 -0.4577128332972048 -0.06809097201424913 -0.8864889067355552,-100.8400905489033 -34.69998574639955 773.6061944608963,0.69
1,101,2,0.0,-0.9597080494124117 0.28098764002974996 -0.0025310163048911927 0.24959584785900335 0.8482831563429065 -0.4670306193350293 -0.12908281304871394 -0.44884477585845584 -0.8842375215743806,-26.39502176377022 -87.60908321602373 791.18326420825,0.69
1,109,2,0.0,-0.9397298080779776 -0.32534487129541795 -0.10515989031705664 -0.2253341463637961 0.8206116407667371 -0.5251866882553503 0.25716222563243374 -0.4698374716430046 -0.8444645285314725,38.81627996683161 -76.8320318197848 784.2448329787508,0.69
