#  Index into NumPy file "pose_data_tless-30-epos.npz".
#  Created at  6:47PM EDT on Sep 11, 2023
#    DATASET:   tless
#    OBJECT:    30
#    ESTIMATOR: epos
#  The errors reported in this file have taken discrete and continuous object symmetries into account.
#  Bounding boxes are recorded in pixel coordinates as ((upper-left x, y), (lower-right x, y)) with the origin in the upper-left.
#
#  When a row is marked as a TP, it does not necessarily mean that the bounding boxes overlap.
#  For each ground-truth instance, the prediction best overlapping that instance belongs to that ground-truth.
#  All TPs are in the corresponding *.npz file.
#
#  When a row is marked as a FN, it means that there is a ground-truth but the predictor failed to make a prediction at all.
#  FNs are NOT recorded in the *.npz at all.
#
#  When a row is marked as a FP, it means the predictor hallucinated; there is no corresponding ground-truth instance.
#  FPs are NOT recorded in the *.npz at all.
#
#  Scene  <t>  Frame  <t>  Index  <t>  Error cat.  <t>  Visibility ratio  <t>  Score  <t>  R_err(degrees)  <t>  t_err(meters)  <t>  Gr.Tr.BBox  <t>  Pred.BBox
000001	1	*	FN	0.9900573271228951	*	*	*	372.0,304.0,490.0,424.0	*
000001	17	*	FN	0.9781694551310728	*	*	*	210.0,290.0,328.0,410.0	*
000001	30	0	TP	0.9511394541873769	0.0	0.08612489441372105	0.010790027018021583	188.0,168.0,302.0,287.0	1.0,30.0,31.0,30.0
000001	38	1	TP	0.9486166007905138	0.0	0.05619946175429361	0.010031373770619256	245.0,111.0,356.0,229.0	1.0,38.0,31.0,38.0
000001	57	2	TP	0.9508953817153629	0.0	0.03859447089644487	0.013014122071427544	413.0,160.0,526.0,279.0	1.0,57.0,31.0,57.0
000001	67	3	TP	0.9728058208276489	0.0	2.762440183911764	0.4722662361229818	414.0,257.0,530.0,376.0	1.0,67.0,31.0,67.0
000001	76	4	TP	0.9445921249376973	0.0	0.1008752769125744	0.01928053486428796	337.0,311.0,457.0,438.0	1.0,76.0,31.0,76.0
000001	89	*	FN	0.943733581899839	*	*	*	205.0,278.0,323.0,404.0	*
000001	101	5	TP	0.9620005588153115	0.0	0.041209065561097526	0.0011980278871341677	189.0,175.0,301.0,295.0	1.0,101.0,31.0,101.0
000001	109	6	TP	0.9705106923152036	0.0	0.02556143072861018	0.009370551470147126	243.0,122.0,352.0,240.0	1.0,109.0,31.0,109.0
000001	127	7	TP	0.9376190476190476	0.0	0.023110336503310697	0.011340525197743699	405.0,154.0,517.0,273.0	1.0,127.0,31.0,127.0
000001	135	8	TP	0.9400409216261898	0.0	0.027479939121977236	0.003150549770750044	425.0,221.0,540.0,344.0	1.0,135.0,31.0,135.0
000001	142	9	TP	0.9464498552698791	0.0	0.04549394357039177	0.007625012153871072	394.0,280.0,512.0,406.0	1.0,142.0,31.0,142.0
000001	157	10	TP	0.9601638422616657	0.0	0.03569685328718416	0.01964302060122321	237.0,292.0,358.0,422.0	1.0,157.0,31.0,157.0
000001	168	11	TP	0.982460802551156	0.0	0.04328672452888384	0.003391607713683323	180.0,218.0,295.0,337.0	1.0,168.0,31.0,168.0
000001	176	12	TP	0.9154277837944275	0.0	0.05406380790929391	0.001354921340577935	207.0,162.0,316.0,278.0	1.0,176.0,31.0,176.0
000001	181	13	TP	0.9623007764609727	0.0	0.03668604448287852	0.0057062459222097985	246.0,137.0,352.0,250.0	1.0,181.0,31.0,181.0
000001	197	14	TP	0.9699030096990301	0.0	0.0365587621837726	0.013973850410247846	392.0,152.0,500.0,267.0	1.0,197.0,31.0,197.0
000001	212	15	TP	0.9615804043284959	0.0	0.0348482381350613	0.008352137680452718	407.0,259.0,525.0,386.0	1.0,212.0,31.0,212.0
000001	220	16	TP	0.9793976566800346	0.0	0.03504799505917395	0.001155612521566957	339.0,287.0,461.0,414.0	1.0,220.0,31.0,220.0
000001	230	17	TP	0.986542025948908	0.0	0.013376724480380327	0.006550345755767103	229.0,277.0,350.0,404.0	1.0,230.0,31.0,230.0
000001	236	18	TP	0.9926925722145805	0.0	0.01745333601271391	0.011860291981197982	189.0,247.0,307.0,368.0	1.0,236.0,31.0,236.0
000001	246	19	TP	0.8025116467490379	0.0	0.030799309865583227	0.008936996291126625	197.0,186.0,306.0,296.0	1.0,246.0,31.0,246.0
000001	252	20	TP	0.7761842677096914	0.0	0.5640800060608343	0.3013217331870067	238.0,159.0,343.0,265.0	1.0,252.0,31.0,252.0
000001	267	21	TP	0.9702387441404121	0.0	0.0022087932417547136	0.007957627311818437	376.0,159.0,481.0,266.0	1.0,267.0,31.0,267.0
000001	273	22	TP	0.8777609682299546	0.0	0.0756231172752059	0.011796565069347113	413.0,186.0,522.0,296.0	1.0,273.0,31.0,273.0
000001	283	23	TP	0.9811679336558397	0.0	0.04009754304489199	0.008819658345330054	413.0,248.0,530.0,369.0	1.0,283.0,31.0,283.0
000001	292	24	TP	0.98151026752843	0.0	0.02734579487077619	0.012645896045520712	338.0,275.0,460.0,394.0	1.0,292.0,31.0,292.0
000001	308	25	TP	0.9906661786237189	0.0	0.012081220383642628	0.013463419346330793	190.0,242.0,307.0,354.0	1.0,308.0,31.0,308.0
000001	314	26	TP	0.9022448979591837	0.0	0.03567187057677026	0.007809833779105961	185.0,214.0,297.0,318.0	1.0,314.0,31.0,314.0
000001	323	*	FN	0.49293097303077105	*	*	*	233.0,180.0,337.0,277.0	*
