scene_id,im_id,obj_id,score,R,t,time
2,3,2,0.0,0.5078834448807414 -0.8549467441215275 0.1054536444703067 -0.08097866556208733 -0.1692601408295996 -0.982239003730827 0.8576111369028822 0.49032343350317575 -0.15519686987114917,617.3902034940127 59.26474148085826 1855.3090559126276,0.69
2,44,2,0.0,-0.8134253742850578 0.5664103177483351 0.13235751741946408 -0.16814669295034715 -0.011140528130196392 -0.9856990302738668 -0.5568355682955923 -0.8240480814741393 0.10430201004637552,499.1471472169914 35.12647522049559 1510.9220044721637,0.69
2,151,2,0.0,-0.14229812626389848 0.7258246740924903 0.6730005837592667 -0.4446476824983762 0.5605809592821454 -0.69859675531678 -0.8843300750910865 -0.39865715918422917 0.24296663911029695,-188.60824531441628 380.09116698961617 1943.2946002048607,0.69
2,207,2,0.0,-0.3148969674698495 -0.8418484129891529 -0.4383276735798659 -0.006406799421755038 -0.4599266068198193 0.8879338203156679 -0.9491042370569537 0.2824159448169529 0.139435939820715,203.34956761824057 -104.63710031290306 1923.608830073177,0.69
2,309,2,0.0,0.8217924457735902 -0.5175262534759352 -0.238377333302946 -0.4539693098162656 -0.34186911575932355 -0.8228228080424618 0.34433855696741994 0.7844055613348879 -0.5158864928765768,-237.36701593703114 666.0555382931765 3234.137824290228,0.69
2,329,2,0.0,0.6651957128243753 -0.1193562566310783 -0.737067668293141 0.6777426258464371 0.5107660592565997 0.5289451444358482 0.3133362359364902 -0.8513942193335 0.4206522156540392,-37.52434974605681 166.8479404350869 786.0006657202099,0.69
2,351,2,0.0,0.20744204505591912 -0.45036587996709815 0.8684114071708636 -0.6228096765517774 -0.7453651384431923 -0.2377791353063403 0.754371198241614 -0.49152963751438417 -0.43511229666430895,134.27573663609442 -111.13436520697365 2040.1243852438856,0.69
2,407,2,0.0,0.9270006605756445 -0.288655685398287 -0.23947373672192757 -0.2925149226539987 -0.1568017578958728 -0.9433176711720653 0.23474410603259682 0.9445057458840623 -0.22979142863681334,98.84109287001881 -100.86632401533363 1649.1856312502578,0.69
2,411,2,0.0,0.8950084140557818 -0.3808013340218319 -0.23227200170607426 -0.3088194148595087 -0.15326753241529484 -0.9386903816025585 0.3218547929970657 0.9118658933826396 -0.25477457626359873,95.50830802183805 -93.55210040863398 1652.5756916582154,0.69
2,430,2,0.0,-0.11392312577347852 -0.9791061387078014 0.16844195011546215 -0.1503721114828397 -0.15059896341912937 -0.977091694932096 0.9820436596721109 -0.1366423117551197 -0.13007355279234922,63.14996992438478 -31.13563683195697 1641.2189248201798,0.69
2,475,2,0.0,0.7231919757219496 -0.6775878519345064 -0.13367149719429533 -0.20032322021625676 -0.020571591047200244 -0.9795138677343859 0.6609568622032547 0.7351540740229684 -0.1506137900521052,47.93606372965943 -27.31119840283945 1762.5493259897835,0.69
2,488,2,0.0,0.8487675917915702 0.5196361474936769 -0.09783582852037384 -0.05845929551856707 -0.09167464508299233 -0.9940715619191509 -0.5255245816246955 0.8494551392903789 -0.04743290462697573,46.490006099156396 -33.1489943858853 1715.2144600295583,0.69
