scene_id,im_id,obj_id,score,R,t,time
55,618,16,0.0,-0.12782789335280023 0.9429088162172746 0.307543483073082 -0.82351123447345 0.07189960705611298 -0.5627252377503531 -0.5527108433683927 -0.3251974950778596 0.7673052279361101,-64.11356086851438 101.63863809584261 225.6505476081936,0.69
55,663,16,0.0,0.5959892296359309 0.5061626591112391 0.6233748476473919 -0.10294334786956266 0.8180708063624818 -0.5658293231238951 -0.7963664390764944 0.27305588859952923 0.5396674683670915,-2457.7885814033934 767.2929277915238 14873.554479508339,0.69
55,1025,16,0.0,0.7605048339096403 -0.5739593721273195 -0.3036495294698881 0.18469275180114708 -0.2571131813773771 0.9485680784182673 -0.6225118352547132 -0.7774724761103877 -0.08952968143912798,-164.2806847684072 133.42345983907353 2131.487279075906,0.69
55,1040,16,0.0,-0.40770048642493845 -0.6508828955133024 0.6404153103237681 0.053834010587296144 -0.7172654165496084 -0.694717368090077 0.9115274064299742 -0.2487604843019411 0.32746909591121454,-188.8141013049663 265.1753862450432 1865.1410887407883,0.69
55,1100,16,0.0,0.035686646620272655 -0.779309031797808 -0.6256228066585829 0.7070382026862871 -0.42273631787932214 0.5669135608608928 -0.7062743398957265 -0.46257046869011814 0.5359152155897979,-7.2923198656062365 21.837443931184513 1116.276877070672,0.69
55,1136,16,0.0,-0.5279347581396455 -0.846961865557079 -0.06277331789945934 -0.059306631338776394 0.11049821183374653 -0.9921052709570649 0.8472116704975685 -0.5200439822492106 -0.10856630185790817,-143.9278222344419 755.234223403604 10197.846235205832,0.69
55,1585,16,0.0,-0.3038313205723786 -0.776054619707151 -0.5526533776884329 -0.08725814556258987 -0.5549708749824523 0.8272806923615401 -0.9487215316794609 0.29957729412023265 0.10090044685420019,19.402564010655766 36.74525106182741 932.717754584621,0.69
55,1603,16,0.0,0.8601234156010154 -0.5100454168692958 0.006432935991374095 0.05029045060331322 0.09734466351481008 0.9939793192332042 -0.5076008082272512 -0.8546213718459271 0.10937883831540159,5.574358556252143 16.24068128047628 1313.758392507837,0.69
55,1604,16,0.0,0.5822691668880522 -0.21644916718129875 -0.7836532238930787 0.742960533182996 0.5330527083398447 0.40480174933415813 0.3301094718785449 -0.8179269943938018 0.47119334504849447,144.19004414403176 224.6973814471544 3694.8364621123096,0.69
55,1632,16,0.0,0.8101087348934696 -0.5487195371308112 0.20647204948915113 -0.5343740846896724 -0.546206533836861 0.6450602762579608 -0.24118079372407938 -0.6329022767891345 -0.7357081845227447,-19.064287607808 81.4895861980002 1636.1965090127362,0.69
55,1717,16,0.0,0.7642688809684518 -0.6438874519545815 -0.03608360844854021 -0.6414745858932559 -0.7647785597959379 0.0602005824683365 -0.06635836975323395 -0.0228627140096628 -0.9975338906883341,30.096860882870743 86.46195613480788 899.9072500818171,0.69
