#  Index into NumPy file "pose_data_ycbv-4-epos.npz".
#  Created at  6:49PM EDT on Sep 11, 2023
#    DATASET:   ycbv
#    OBJECT:    4
#    ESTIMATOR: epos
#  The errors reported in this file have taken discrete and continuous object symmetries into account.
#  Bounding boxes are recorded in pixel coordinates as ((upper-left x, y), (lower-right x, y)) with the origin in the upper-left.
#
#  When a row is marked as a TP, it does not necessarily mean that the bounding boxes overlap.
#  For each ground-truth instance, the prediction best overlapping that instance belongs to that ground-truth.
#  All TPs are in the corresponding *.npz file.
#
#  When a row is marked as a FN, it means that there is a ground-truth but the predictor failed to make a prediction at all.
#  FNs are NOT recorded in the *.npz at all.
#
#  When a row is marked as a FP, it means the predictor hallucinated; there is no corresponding ground-truth instance.
#  FPs are NOT recorded in the *.npz at all.
#
#  Scene  <t>  Frame  <t>  Index  <t>  Error cat.  <t>  Visibility ratio  <t>  Score  <t>  R_err(degrees)  <t>  t_err(meters)  <t>  Gr.Tr.BBox  <t>  Pred.BBox
000050	620	*	FN	0.16643683038082105	*	*	*	396.0,156.0,472.0,288.0	*
000050	623	0	TP	0.11432492346669482	0.0	146.86852128425116	0.8515738999047479	396.0,153.0,473.0,285.0	50.0,623.0,54.0,623.0
000050	629	1	TP	0.12768634028724185	0.0	120.59701442546009	0.797935402076535	399.0,147.0,476.0,279.0	50.0,629.0,54.0,629.0
000050	633	*	FN	0.1192890747516989	*	*	*	405.0,143.0,482.0,275.0	*
000050	640	2	TP	0.09450457951706911	0.0	161.35856359499482	0.47860144009987665	415.0,144.0,493.0,277.0	50.0,640.0,54.0,640.0
000050	642	3	TP	0.11944646758922069	0.0	176.67265122985228	0.9637716619352777	417.0,143.0,495.0,276.0	50.0,642.0,54.0,642.0
000050	644	4	TP	0.13555093555093556	0.0	147.41946203444974	5.019398144506062	417.0,142.0,495.0,275.0	50.0,644.0,54.0,644.0
000050	651	5	TP	0.10496439261017648	0.0	173.3816718143988	3.8080955628858257	423.0,137.0,502.0,270.0	50.0,651.0,54.0,651.0
000050	653	6	TP	0.07539191419141915	0.0	129.86920312340234	0.7429900174744491	426.0,137.0,504.0,270.0	50.0,653.0,54.0,653.0
000050	660	7	TP	0.11800986842105263	0.0	148.13089147254084	4.041129334031917	433.0,140.0,512.0,273.0	50.0,660.0,54.0,660.0
000050	662	8	TP	0.10473251028806585	0.0	166.81749320609575	2.8471625040764903	432.0,142.0,511.0,275.0	50.0,662.0,54.0,662.0
000050	671	9	TP	0.11027979911858153	0.0	162.5437662454248	0.6297000496278271	438.0,141.0,518.0,274.0	50.0,671.0,54.0,671.0
000050	681	10	TP	0.12726347914547304	0.0	172.3241840321165	0.699677236082971	446.0,139.0,525.0,273.0	50.0,681.0,54.0,681.0
000050	682	*	FN	0.1373486621222912	*	*	*	447.0,140.0,526.0,273.0	*
000050	701	11	TP	0.14966470229628123	0.0	129.34474560025072	0.7468561307668561	447.0,151.0,526.0,285.0	50.0,701.0,54.0,701.0
000050	712	12	TP	0.16764945099634	0.0	152.14279729806188	2.896312353229585	460.0,160.0,539.0,294.0	50.0,712.0,54.0,712.0
000050	721	13	TP	0.1434769448087983	0.0	157.5257675792073	3.192791515270915	472.0,159.0,552.0,293.0	50.0,721.0,54.0,721.0
000050	722	14	TP	0.17551473556721842	0.0	115.8462507952961	0.4148696874978031	473.0,159.0,553.0,293.0	50.0,722.0,54.0,722.0
000050	735	15	TP	0.18248321475097706	0.0	170.1288066868163	1.0338722814307915	483.0,159.0,563.0,294.0	50.0,735.0,54.0,735.0
000050	737	16	TP	0.212333566923616	0.0	144.62801269110548	1.7866626559482537	484.0,158.0,564.0,293.0	50.0,737.0,54.0,737.0
000050	751	*	FN	0.2302703781303003	*	*	*	490.0,162.0,571.0,296.0	*
000050	757	17	TP	0.1951704263142204	0.0	153.89250950052156	0.525135269489017	491.0,161.0,572.0,295.0	50.0,757.0,54.0,757.0
000050	769	18	TP	0.22250765734611205	0.0	146.1787983347792	0.3820539799100489	494.0,160.0,574.0,295.0	50.0,769.0,54.0,769.0
000050	923	19	TP	0.3948770683369169	0.0	14.860023346507537	0.15056687971225816	496.0,130.0,578.0,269.0	50.0,923.0,54.0,923.0
000050	1026	20	TP	0.504027206013961	0.0	19.007571033521835	0.06140056905451073	456.0,129.0,540.0,272.0	50.0,1026.0,54.0,1026.0
000050	1044	21	TP	0.519372940233366	0.0	9.222957723292664	0.07634424458845909	440.0,128.0,526.0,273.0	50.0,1044.0,54.0,1044.0
000050	1052	22	TP	0.5360424028268551	0.0	12.677206609847502	0.06231585964560679	436.0,125.0,522.0,270.0	50.0,1052.0,54.0,1052.0
000050	1058	23	TP	0.5650188778646063	0.0	13.140680654324012	0.0598116802151248	436.0,124.0,522.0,269.0	50.0,1058.0,54.0,1058.0
000050	1066	24	TP	0.560958605664488	0.0	7.529123741062819	0.05207515746852971	435.0,121.0,521.0,267.0	50.0,1066.0,54.0,1066.0
000050	1077	25	TP	0.5614690050355965	0.0	14.09259338426568	0.06800725023372803	435.0,122.0,521.0,269.0	50.0,1077.0,54.0,1077.0
000050	1094	26	TP	0.5604032678602469	0.0	8.454812571788013	0.05888385596669308	434.0,138.0,521.0,284.0	50.0,1094.0,54.0,1094.0
000050	1098	27	TP	0.5434443288241415	0.0	6.831273384873995	0.04862302765807016	433.0,139.0,519.0,285.0	50.0,1098.0,54.0,1098.0
000050	1105	28	TP	0.5305204910945875	0.0	10.249245845365577	0.048679681251420734	433.0,140.0,520.0,287.0	50.0,1105.0,54.0,1105.0
000050	1113	29	TP	0.5587853620555412	0.0	9.259009667299628	0.05142758657673734	435.0,148.0,521.0,295.0	50.0,1113.0,54.0,1113.0
000050	1125	30	TP	0.5526564243412583	0.0	11.603211109840336	0.03151124049474739	432.0,146.0,518.0,293.0	50.0,1125.0,54.0,1125.0
000050	1130	31	TP	0.5813119234711308	0.0	14.3970500872597	0.10329297212871608	429.0,145.0,515.0,292.0	50.0,1130.0,54.0,1130.0
000050	1145	32	TP	0.5984058339693038	0.0	13.48239353862736	0.05800575257545764	428.0,139.0,514.0,287.0	50.0,1145.0,54.0,1145.0
000050	1150	33	TP	0.5998816468002367	0.0	7.654672688281019	0.046066966390266216	428.0,136.0,515.0,284.0	50.0,1150.0,54.0,1150.0
000050	1169	34	TP	0.6178501406529707	0.0	6.695634427741832	0.06865670125213943	426.0,132.0,513.0,279.0	50.0,1169.0,54.0,1169.0
000050	1189	35	TP	0.6210508241758241	0.0	11.569904074797938	0.05240194999671267	425.0,134.0,511.0,281.0	50.0,1189.0,54.0,1189.0
000050	1192	36	TP	0.5876609349347619	0.0	12.362831704504936	0.07323936618536975	426.0,138.0,512.0,285.0	50.0,1192.0,54.0,1192.0
000050	1209	37	TP	0.6090570612174214	0.0	9.749038727184827	0.0404709794048958	417.0,147.0,503.0,294.0	50.0,1209.0,54.0,1209.0
000050	1216	38	TP	0.6107469380714162	0.0	8.355376726953516	0.03705816893756848	416.0,146.0,502.0,293.0	50.0,1216.0,54.0,1216.0
000050	1242	39	TP	0.6370898471053084	0.0	11.56002577209127	0.023180044740484566	404.0,151.0,491.0,298.0	50.0,1242.0,54.0,1242.0
000050	1246	40	TP	0.6189822363339913	0.0	9.648743230249284	0.04344449468421401	401.0,152.0,488.0,299.0	50.0,1246.0,54.0,1246.0
000050	1263	41	TP	0.6442953020134228	0.0	7.573377645278935	0.05690476433807762	398.0,139.0,486.0,287.0	50.0,1263.0,54.0,1263.0
000050	1266	42	TP	0.66270783847981	0.0	6.969270471860955	0.036775578588777356	398.0,137.0,486.0,285.0	50.0,1266.0,54.0,1266.0
000050	1280	43	TP	0.6646944467923253	0.0	9.5041963229991	0.03715779766543248	395.0,130.0,484.0,279.0	50.0,1280.0,54.0,1280.0
000050	1284	44	TP	0.6626036905366515	0.0	9.001346579031189	0.038534441439732454	397.0,129.0,485.0,277.0	50.0,1284.0,54.0,1284.0
000050	1324	45	TP	0.6751985132623755	0.0	5.683722288401287	0.026503135145171337	374.0,115.0,463.0,264.0	50.0,1324.0,54.0,1324.0
000050	1480	46	TP	0.6979253112033195	0.0	3.629495308656118	0.03112827307655199	380.0,175.0,462.0,309.0	50.0,1480.0,54.0,1480.0
000050	1542	47	TP	0.7425691658952998	0.0	2.826815759474214	0.016720377490835242	376.0,115.0,457.0,249.0	50.0,1542.0,54.0,1542.0
000050	1564	48	TP	0.7507139942880457	0.0	4.870648451745284	0.015474080826494183	374.0,111.0,455.0,245.0	50.0,1564.0,54.0,1564.0
000050	1592	49	TP	0.7591047812817905	0.0	5.53565891852385	0.00996623467898061	375.0,115.0,457.0,249.0	50.0,1592.0,54.0,1592.0
000050	1593	50	TP	0.7641739483844747	0.0	5.474558782443224	0.0047946849708538665	376.0,115.0,458.0,250.0	50.0,1593.0,54.0,1593.0
000050	1613	51	TP	0.7805150040551501	0.0	4.811566605506877	0.016131888521484443	369.0,121.0,451.0,255.0	50.0,1613.0,54.0,1613.0
000050	1629	52	TP	0.7775565070198148	0.0	3.10073734350081	0.01622425403136463	364.0,120.0,447.0,256.0	50.0,1629.0,54.0,1629.0
000050	1656	53	TP	0.7949573236534877	0.0	2.674930366683927	0.009631345250789947	363.0,107.0,446.0,244.0	50.0,1656.0,54.0,1656.0
000050	1658	54	TP	0.8076772424598512	0.0	2.5449285335781036	0.005652962536654688	364.0,104.0,447.0,242.0	50.0,1658.0,54.0,1658.0
000050	1669	55	TP	0.8214802663321432	0.0	3.68015666845832	0.009439867395589087	358.0,107.0,442.0,246.0	50.0,1669.0,54.0,1669.0
000050	1678	56	TP	0.8198804894242625	0.0	5.04146166766277	0.016769325003875384	347.0,111.0,433.0,251.0	50.0,1678.0,54.0,1678.0
000050	1695	57	TP	0.811464731062721	0.0	4.275680465070885	0.00876196011866044	341.0,106.0,426.0,247.0	50.0,1695.0,54.0,1695.0
000050	1708	58	TP	0.8051025056947608	0.0	4.066118742138355	0.00916327721023073	334.0,104.0,421.0,246.0	50.0,1708.0,54.0,1708.0
000050	1711	59	TP	0.8060715903942003	0.0	3.808834820479425	0.012895108770628144	333.0,104.0,419.0,247.0	50.0,1711.0,54.0,1711.0
000050	1713	60	TP	0.812997107736804	0.0	4.944075738173101	0.003290452918607803	334.0,104.0,421.0,247.0	50.0,1713.0,54.0,1713.0
000050	1714	61	TP	0.8129684818928926	0.0	3.3513578473562555	0.01570892304326105	335.0,103.0,421.0,246.0	50.0,1714.0,54.0,1714.0
000050	1718	62	TP	0.7996412556053811	0.0	4.806051904261256	0.016163501113663777	340.0,95.0,426.0,239.0	50.0,1718.0,54.0,1718.0
000050	1719	63	TP	0.8120025042482784	0.0	5.061716522637743	0.0034616720391345227	340.0,94.0,426.0,238.0	50.0,1719.0,54.0,1719.0
000050	1733	64	TP	0.8141912736888497	0.0	2.793997370095916	0.010516482463266868	337.0,108.0,425.0,253.0	50.0,1733.0,54.0,1733.0
000050	1743	65	TP	0.8352544777442809	0.0	3.1376816690043756	0.010988462619340894	348.0,109.0,435.0,253.0	50.0,1743.0,54.0,1743.0
000050	1745	66	TP	0.8208769749689331	0.0	3.5466232190318743	0.013757311818622239	353.0,108.0,439.0,252.0	50.0,1745.0,54.0,1745.0
000050	1756	67	TP	0.8500619578686494	0.0	4.5240592082266105	0.007386732396671185	351.0,106.0,436.0,251.0	50.0,1756.0,54.0,1756.0
000050	1778	68	TP	0.8514842632331903	0.0	5.892428589034739	0.007240792111232278	364.0,106.0,448.0,249.0	50.0,1778.0,54.0,1778.0
000050	1782	69	TP	0.8617077933605539	0.0	6.526533280965753	0.006376750869441111	360.0,103.0,445.0,246.0	50.0,1782.0,54.0,1782.0
000050	1874	70	TP	0.9390705679862307	0.0	5.76921523640118	0.017433180978170943	338.0,123.0,424.0,269.0	50.0,1874.0,54.0,1874.0
000051	1	71	TP	1.0	0.0	3.803836943071577	0.025393516852220858	368.0,252.0,501.0,359.0	51.0,1.0,55.0,1.0
000051	35	72	TP	1.0	0.0	4.908519894848267	0.03388202638661965	376.0,269.0,508.0,375.0	51.0,35.0,55.0,35.0
000051	56	73	TP	0.99978184991274	0.0	4.163517715332379	0.032053464928428886	365.0,271.0,497.0,377.0	51.0,56.0,55.0,56.0
000051	83	74	TP	1.0	0.0	2.9572483932450324	0.03763842517789968	357.0,258.0,489.0,364.0	51.0,83.0,55.0,83.0
000051	100	75	TP	1.0	0.0	3.4353260685884757	0.03264311772687426	359.0,247.0,491.0,353.0	51.0,100.0,55.0,100.0
000051	116	76	TP	1.0	0.0	3.9016557432390884	0.0323444161301857	367.0,237.0,499.0,343.0	51.0,116.0,55.0,116.0
000051	138	77	TP	1.0	0.0	4.699882248136888	0.04047306538107133	381.0,214.0,513.0,321.0	51.0,138.0,55.0,138.0
000051	169	78	TP	1.0	0.0	3.114604208296197	0.029568255422775813	383.0,220.0,516.0,329.0	51.0,169.0,55.0,169.0
000051	240	79	TP	1.0	0.0	3.100292625409801	0.03143416738192894	405.0,259.0,534.0,371.0	51.0,240.0,55.0,240.0
000051	407	80	TP	1.0	0.0	4.874924460172718	0.04420162609910885	384.0,257.0,507.0,372.0	51.0,407.0,55.0,407.0
