scene_id,im_id,obj_id,score,R,t,time
49,1,13,0.0,0.718647543180687 -0.2717562526240357 0.6400736268899881 0.028225295388056945 0.9311144411529242 0.36363337329889645 -0.6948014402551418 -0.2432579631506827 0.6768135060584722,73.56317894096566 58.893779701129255 1242.6710733034472,0.69
49,36,13,0.0,-0.1950376452642577 0.9068555616516167 0.3735951113589468 0.29820287902171655 -0.30804830415886497 0.9034275207497315 0.9343636122371914 0.2876095141096306 -0.21034592347057546,97.69338433485832 145.59772120103557 1557.058761800274,0.69
49,47,13,0.0,0.016013402989233098 0.04238992055213102 0.9989728052155817 -0.2856202157379082 0.9576642781838028 -0.03605860025746038 -0.9582090916321633 -0.2847494072448274 0.02744288226816271,125.21002937106951 101.15792151326765 1376.3323753214654,0.69
49,58,13,0.0,0.33467734720394043 0.154194169150495 0.9296317719766906 0.24302369675826452 0.9390271575797688 -0.24324366413456028 -0.9104562351274662 0.30733069408643227 0.2767982810457312,155.51134728773602 109.72962406790825 1976.8240081613844,0.69
49,65,13,0.0,0.2693575355139548 0.9552699896332282 0.12208916810258469 0.11375283693780247 -0.157446637466918 0.9809540501159894 0.9562984942738595 -0.25033937616062996 -0.15107410960537276,70.86947805394348 166.56003203099849 1541.1738249339553,0.69
49,73,13,0.0,-0.25273835108323606 0.47440578932533833 0.8432452033343147 0.4265180549147651 -0.7276569938581325 0.5372128517832304 0.8684501567294767 0.49543359428277406 -0.018435805721457865,54.2590157977335 127.47696400272548 1007.0053827727108,0.69
49,91,13,0.0,0.2356311901199053 0.1045749373579487 0.9661997850958457 -0.9718256047599478 0.03122560329402274 0.23362353398552538 -0.005739004760293875 -0.9940266818227294 0.1089863278070049,94.62011103853665 72.41486486018962 1267.7114793834012,0.69
49,109,13,0.0,-0.17270855400821417 0.710301638371167 0.6823806400387011 0.43606837879332716 -0.5660582545174503 0.6995873222902319 0.8831852152232571 0.41838933425685376 -0.21197698127663656,53.31661788780591 152.10401048704495 1252.181627883461,0.69
49,125,13,0.0,-0.28351926824791185 0.7893634629193215 0.5445384724151138 0.30953617264450084 -0.46211521283788226 0.8310456593282902 0.9076365915699754 0.4041718118224176 -0.11331797814743183,32.275173644840955 201.82909782945097 1466.356978022866,0.69
49,148,13,0.0,-0.269902982062192 0.53042479505383 0.8036180168874006 0.5580478729743213 -0.5939663549100749 0.5794709144587629 0.784687805272117 0.6048582528385817 -0.13568913821779038,52.82254720574884 141.76177133713267 1339.6341570189597,0.69
49,231,13,0.0,0.9476511500277668 -0.17073396254059026 0.26982811544803753 -0.006949778498146847 0.8338127095185836 0.5520036829805622 -0.3192318881782925 -0.5249821706310288 0.7889770098612859,0.4568059243604848 90.77162995289027 1085.6397674754496,0.69
49,357,13,0.0,0.979752193532745 -0.19935588803325682 -0.018516726877234713 0.16822186007204643 0.7695189877505695 0.6160697470946287 -0.10856815859945021 -0.6067106043228604 0.7874739345149872,-30.179877220059236 64.89059566110733 904.7918800710323,0.69
49,521,13,0.0,0.24885061339749143 0.9309240157331499 0.26730852800267685 -0.31756858992214065 -0.18230858826458293 0.930544877660308 0.9149992147026986 -0.3164554559116346 0.2502646229837609,18.512374138898927 85.23721066135919 1020.2700871808532,0.69
49,526,13,0.0,0.11593485138860449 0.9496853278022719 0.2909585681683796 -0.1684326314691264 -0.2698939800789514 0.9480441383045033 0.9788715742577715 -0.15891827356925958 0.1286678803582243,11.123255317431214 99.39923757454966 1009.4527206662486,0.69
49,537,13,0.0,0.13514324114534348 0.9431126233369183 0.30376781277035864 -0.25163139514973043 -0.26386053887935224 0.9311601672093249 0.9583412468154189 -0.20227752155109557 0.20165777675907837,5.042880644364647 85.80031185205976 898.0267447311418,0.69
49,542,13,0.0,-0.024344110354712234 0.9752638654162586 0.21969924238461852 -0.41896239551849135 -0.2094871161697803 0.8835075887055392 0.9076771867974016 -0.07053751464438407 0.41369866279134687,0.5777510238946277 74.84466362561318 885.8096610619788,0.69
49,552,13,0.0,0.283965991931173 0.9043026015315535 0.3187477377014763 -0.19373399309320594 -0.2714634321172423 0.9427485056701437 0.9390582811235448 -0.32946078656858635 0.09810777118506875,17.515253472551088 98.88571046156292 989.7943763248088,0.69
49,558,13,0.0,0.134311001089377 0.9897112972998126 0.04931635614571833 -0.3398994645204643 -0.0007354633688246848 0.9404614894360825 0.9308216311437283 -0.1430769271781971 0.3363035591607288,3.7547289830855632 71.26118224955822 880.5043856714078,0.69
49,564,13,0.0,0.00787105485548184 0.9917599404964678 0.12786816226842623 -0.2483945267593891 -0.12192508758540488 0.960954958410263 0.9686269692567108 -0.039325480845552985 0.2453880620258958,1.1238462977882164 79.57026493237919 897.6626514625059,0.69
49,570,13,0.0,0.11052393913345948 0.9740573276643584 0.19747602715720208 -0.1036234661016745 -0.18631670482977897 0.977009858074343 0.9884566941204347 -0.12844612849261627 0.08034274033016209,4.632336541401558 109.2086999584539 1056.805344164021,0.69
49,576,13,0.0,0.34679647655658535 0.8266558086771624 0.4431392307483558 -0.5032609894555903 -0.23469177074860217 0.8316538638370328 0.791492628102194 -0.5114293174263598 0.33463334104163883,18.000988436122046 69.70372103306097 865.2888568071256,0.69
49,591,13,0.0,0.09656274311101948 0.9953131228729916 0.005236800520197427 -0.34771466292015296 0.028803571667951444 0.9371578668770238 0.9326146845472676 -0.0923154466813777 0.3488663189114392,-0.6503613637526963 69.54990482306236 869.822694645302,0.69
49,594,13,0.0,0.04745160972049467 0.9792212286759651 0.19716523538714215 -0.1787997991072784 -0.18587274784849273 0.96616869823362 0.982740543874186 -0.08109936447090021 0.16626459788026238,7.735559249610833 104.13020695203247 994.2415331594684,0.69
49,617,13,0.0,0.1265547057060311 0.961358363882878 0.24448722391179406 -0.21962830409848655 -0.21319596717720898 0.9520036174396592 0.9673403302367178 -0.17417685199764754 0.18416055420666766,4.009575661577676 102.4370078966911 984.8940883103701,0.69
49,629,13,0.0,0.18844325076148105 0.9230040985078852 0.335488562219477 -0.22687262881971082 -0.2914549146957496 0.9292915812553815 0.9555197284906678 -0.25123189852671884 0.15448165466417396,-0.7171946004398739 99.38074793139693 985.6620925069719,0.69
49,631,13,0.0,0.059707899473549764 0.9981002314082409 -0.015195223041217898 -0.3170429430759555 0.03339579477590321 0.9478230283850578 0.9465298405154445 -0.05177498386384727 0.3184346276077797,-12.294713449312363 67.3336056258289 851.8538216501323,0.69
49,651,13,0.0,0.008521763019474271 0.980178647857967 0.19793230620181107 -0.4207279059511275 -0.17605217605336612 0.8899402566806685 0.9071468506857197 -0.09085950467728804 0.4108882350479007,-13.591534075602128 82.70770140411672 895.0090642664055,0.69
49,669,13,0.0,0.09292919110875081 0.9661983256390123 0.24046821197871932 -0.2343172760965424 -0.2135080464769588 0.9484248669305805 0.9677084166021135 -0.14448221212994306 0.20655582977845993,-9.67256813097871 90.41823981679983 934.5475336639444,0.69
49,762,13,0.0,0.2585751192310408 0.913592890502299 0.31382628656361383 -0.21401548601966836 -0.26262151589732435 0.9408651928579123 0.9419852862218274 -0.31044801466823035 0.12761563669917586,-3.6333044074319165 110.58422928798157 982.1562925356104,0.69
49,1024,13,0.0,0.5560359308349617 0.7307027197271201 0.3961029904000813 -0.622534335625577 0.05037209965914291 0.7809696873394961 0.550704135255691 -0.680834919021725 0.48289622948720795,-5.844061439337808 49.86817969948071 759.119987054984,0.69
49,1036,13,0.0,0.09960125297378575 0.9936840428135858 0.0516876529134363 0.2261546431540286 -0.07319373562101761 0.9713376109498255 0.9689858965877296 -0.0850570404110586 -0.23201644788804426,-49.939425930901066 165.85784586239848 1351.84829807897,0.69
49,1052,13,0.0,0.3273663562891498 0.8868937653272316 -0.3259612213034726 0.5217768114720601 0.11792815162257098 0.8448916558144806 0.7877691462478182 -0.4466681095383571 -0.4241548916862967,-114.17597952838528 170.62179951518968 1524.5220081049902,0.69
49,1067,13,0.0,0.5973584691600393 0.7722472935195993 0.21632608944468126 -0.7190998519598014 0.3963552104916376 0.5707871319743653 0.35504684512633855 -0.4965245862671691 0.7920890562291909,-27.45479513084124 30.7116357807887 700.2499910760947,0.69
49,1095,13,0.0,0.19139623352836355 0.9765951468307824 -0.09812951124773389 0.42048180645391786 0.008755134079858173 0.9072587271933481 0.8868836069250612 -0.214907577376431 -0.4089647918266156,-129.75774272338882 166.27777116992584 1425.887442551256,0.69
49,1102,13,0.0,0.5291576888570401 0.7833314443015452 0.3261655847754808 -0.6664165108522767 0.14571972509945352 0.7312009270921482 0.5252439189433357 -0.6042827236363746 0.5991337209068203,-42.87983392967371 55.95728905407293 821.8206851865747,0.69
49,1130,13,0.0,0.3897663637474254 0.9120632378547365 0.12736888099156696 -0.5165123359842462 0.10200204833445334 0.850182679729288 0.7624284808867038 -0.3971602098517803 0.5108488810238141,-44.457950940267445 54.81999611459446 782.5694273491995,0.69
49,1144,13,0.0,0.4186576128013861 0.8918739667370997 0.17113337108838766 -0.5252705442556135 0.08409022390576947 0.8467701515646908 0.7408216104980043 -0.44439808921743634 0.5036801363157328,-43.498842982423945 57.21427686126489 727.1628308827969,0.69
49,1150,13,0.0,0.37750867301386537 0.924589386783229 0.05120222306817318 -0.46888946507317353 0.1431806308469987 0.8715744239556646 0.7985172955814441 -0.3530350872053201 0.4875821529334604,-45.66559845594795 59.993923913120895 769.6548433501799,0.69
49,1157,13,0.0,0.3680855380405803 0.8765905701538161 0.3100032403101355 -0.4727536527055831 -0.11065272452655783 0.8742196282447439 0.800635385515095 -0.4683427664352861 0.3736817263244723,-45.1847059089087 82.17204302784486 841.8972890966414,0.69
49,1168,13,0.0,0.3942497766344202 0.8450506817919059 0.36118756737565755 -0.24462477688514106 -0.2823430630632259 0.9275996513981506 0.8858475219571398 -0.45406138345284375 0.09540664494302653,-46.831059078117335 105.61193189242678 840.3612995713992,0.69
49,1172,13,0.0,0.16886737934215318 0.9778436371932487 0.12371592215552263 -0.7171829480567556 0.035800080118271634 0.6959647787640881 0.6761156906999971 -0.2062526980773908 0.7073382481706064,-60.11021261467368 66.12487293009853 788.2776778420191,0.69
49,1179,13,0.0,0.42911882400239737 0.8978772347651146 0.0983539840441181 -0.5805304385098061 0.1907401769224082 0.7915823361288581 0.6919837027346898 -0.39678036266700456 0.6030952652371171,-52.221051711242175 61.11298217446254 726.9780601880043,0.69
49,1269,13,0.0,0.2169082490108436 0.9553300758227266 0.2007367872104993 -0.29173114180255116 -0.13279847336390918 0.947236774188373 0.9315813181969836 -0.2640246422225746 0.2498944494894032,-55.20013090296795 81.46196613015199 786.8719684148355,0.69
49,1491,13,0.0,0.2980894474710414 0.9407973621981781 0.1613784514343829 -0.34282266458168087 -0.05226661428382051 0.9379449992832324 0.8908508864874781 -0.3349156973213655 0.3069465323671501,-56.16133358607461 89.1948370569212 834.3378748978141,0.69
49,1554,13,0.0,0.31980795600122225 0.9335743276820003 0.1617462394351769 -0.4143941489286318 -0.0156992341330785 0.909962099969746 0.8520565477783943 -0.35803981446305105 0.38184699900251773,-56.71498802777074 72.83919618774361 908.8215981079437,0.69
49,1557,13,0.0,0.47287543621892847 0.8398202995339101 0.26662836741714435 -0.560612291933493 0.05330729455292499 0.8263608113170201 0.6797813471652735 -0.5402408692779742 0.49602129309934323,-55.31427487788073 62.299956658632155 899.3192273169855,0.69
49,1565,13,0.0,0.4466393795286314 0.8668342395144113 0.2216115201422319 -0.4315716901793396 -0.00824351354402153 0.9020409750782928 0.7837468602106337 -0.49852827972936653 0.37041924007811944,-64.96071851214798 60.25207855314084 899.8440937708903,0.69
49,1568,13,0.0,0.2780345073913703 0.9361255359144202 0.2153271782859238 -0.3147814376045396 -0.12299373197445254 0.9411616165327908 0.9075293159117548 -0.32945640516453223 0.260478440291718,-75.63381588999965 60.3490755874595 783.5736458235601,0.69
49,1575,13,0.0,0.2564856053996636 0.9664684354628486 0.01240554217925316 -0.40818948847877135 0.09667509201237495 0.9077638834409736 0.8761258332672348 -0.2378921811207591 0.4192980258043208,-82.65398830448704 51.94815390256663 833.6341804500322,0.69
49,1582,13,0.0,0.20065003339827275 0.979627129490321 -0.008381602700283153 -0.40001582026269145 0.08973627124991834 0.9121045692034039 0.8942745146971582 -0.17966103859411053 0.4098719355779892,-79.03653747468636 54.64661447592358 822.3469337359198,0.69
49,1587,13,0.0,0.31460383676255854 0.9264895253289209 0.2064983906718602 -0.4153158717810462 -0.06126398479088793 0.907611949466451 0.8535438785094922 -0.3713002607369576 0.3655119202374121,-78.24912347686944 70.31584006040579 894.1121336123748,0.69
49,1592,13,0.0,0.28282764351010464 0.9445397293527313 0.16689285107754065 -0.39474339176409795 -0.04395768599478142 0.9177392747946227 0.8741774297733251 -0.32544188654236433 0.36041836767657925,-78.27602233072966 65.52341783145062 842.5538768195339,0.69
49,1595,13,0.0,0.25515660580054483 0.9668581795239783 0.008964775731927832 -0.4571434204951254 0.1124611191421098 0.882254152599647 0.8520064551482942 -0.2292111632728271 0.4706880527661128,-79.29396067531312 52.1704640584128 814.2862798133995,0.69
49,1614,13,0.0,0.4058867362333349 0.9112067244848172 0.07041493168001656 -0.5464793995383375 0.18022235464831646 0.8178509453227001 0.7325409362145361 -0.3704351605054068 0.5711055669762501,-61.78748559283404 35.92175076868603 767.4940739070739,0.69
49,1615,13,0.0,0.34747131380178375 0.9283543723416587 0.13199183853173346 -0.4762845440597261 0.053482637973008534 0.877663170313798 0.8077231698884719 -0.3678284474990656 0.4607445214386667,-62.74751720951797 45.81885077437562 819.1544391295406,0.69
49,1618,13,0.0,0.41893662655065644 0.8709960721711344 0.2566280288604732 -0.5601267325450093 0.02544845193598194 0.8280159538212495 0.7146678574154622 -0.49063042970908155 0.49852947256975144,-58.0170367045506 51.02708333176645 880.0241880866695,0.69
49,1631,13,0.0,0.44926544091260745 0.8531762700460557 0.2650487046410537 -0.5729885327170736 0.04754655708108586 0.8181830273749695 0.6854521901462826 -0.519451226911666 0.5102212440536257,-57.64876461649897 54.413247674336915 882.4733108965213,0.69
49,1641,13,0.0,0.3553086024156878 0.9345736620326488 0.018107105906088883 -0.5256497894910459 0.1837498625052938 0.8306192189188162 0.772947666959044 -0.3046441502214827 0.5565463555521686,-61.331018456671394 47.641192756553075 784.2187532904243,0.69
49,1644,13,0.0,-0.003047748209120016 0.9995636757360413 -0.029379744381258288 -0.29405418182608983 0.027185126894223755 0.9554020656385112 0.955783892614561 0.011551061630830084 0.2938430254298342,-76.16186424653992 75.58754948265671 899.4493274855063,0.69
