scene_id,im_id,obj_id,score,R,t,time
2,3,8,0.9572007656097412,0.4265631437301636 0.9037065505981445 -0.03685512766242027 0.7789463400840759 -0.3877728581428528 -0.4928232431411743 -0.45965903997421265 0.18151205778121948 -0.8693485856056213,104.92693328857422 -87.49545288085938 1042.6927490234375,0.69
2,8,8,0.9624204635620117,0.4615231156349182 0.8782224655151367 0.125386580824852 0.855267345905304 -0.40294206142425537 -0.32581520080566406 -0.23561471700668335 0.2576103210449219 -0.9370819330215454,-71.76174926757812 23.757225036621094 1027.850830078125,0.69
2,17,8,0.8708438873291016,0.2893454134464264 0.955091655254364 -0.0638682097196579 0.47981706261634827 -0.2024482637643814 -0.8536921739578247 -0.8282842040061951 0.21636684238910675 -0.516846776008606,56.675193786621094 -32.66728210449219 1081.3907470703125,0.69
2,27,8,0.9235210418701172,0.3693723976612091 0.9277555346488953 0.05323175713419914 0.475687712430954 -0.1395578384399414 -0.868472695350647 -0.7983015179634094 0.3461114764213562 -0.4928706884384155,215.97711181640625 44.186737060546875 1105.8094482421875,0.69
2,36,8,0.958554744720459,0.41536587476730347 0.9069725871086121 0.06980017572641373 0.792948305606842 -0.3234063982963562 -0.5163732767105103 -0.4457625448703766 0.26983174681663513 -0.8535143136978149,108.93097686767578 14.56735610961914 1035.941162109375,0.69
2,38,8,0.9624552726745605,0.6512812972068787 0.750615656375885 0.11139490455389023 0.7263233065605164 -0.5741137862205505 -0.37795203924179077 -0.21974337100982666 0.3270617723464966 -0.9190992116928101,129.9553680419922 16.98114585876465 1016.617919921875,0.69
2,39,8,0.9487795829772949,0.7011383175849915 0.7081633806228638 0.08312439918518066 0.6494635343551636 -0.5861662030220032 -0.4843617379665375 -0.2942825257778168 0.3935908079147339 -0.8709099292755127,165.82717895507812 51.607303619384766 1015.4994506835938,0.69
2,41,8,0.9429788589477539,0.7290120720863342 0.682217538356781 0.05586237832903862 0.560693621635437 -0.5483494400978088 -0.6204317808151245 -0.39263731241226196 0.4836239218711853 -0.7822683453559875,211.5448455810547 -14.310616493225098 1038.5672607421875,0.69
2,47,8,0.9565639495849609,0.7713314890861511 0.6349835991859436 0.04293689876794815 0.4687013030052185 -0.5211131572723389 -0.7132742404937744 -0.4305424690246582 0.5702954530715942 -0.6995686888694763,187.20591735839844 -100.44590759277344 1034.7623291015625,0.69
2,58,8,0.9322261810302734,0.7822988033294678 0.5404351353645325 -0.30973947048187256 0.0709858313202858 -0.5713593363761902 -0.8176243901252747 -0.6188454031944275 0.617639422416687 -0.48533695936203003,102.49250793457031 -44.451725006103516 1107.3077392578125,0.69
2,61,8,0.883716344833374,0.8551680445671082 0.47028034925460815 -0.21799978613853455 0.07458791136741638 -0.5278297662734985 -0.8460686802864075 -0.5129563212394714 0.7072707414627075 -0.486460417509079,219.6568145751953 -137.45327758789062 1080.56298828125,0.69
2,62,8,0.9424381256103516,0.9578664302825928 0.24431702494621277 -0.15100041031837463 0.05113990977406502 -0.6624204516410828 -0.7473846673965454 -0.28262457251548767 0.7081725597381592 -0.6470046639442444,-21.44200325012207 -165.66331481933594 1131.5770263671875,0.69
2,64,8,0.9424381256103516,0.9538783431053162 0.2685711085796356 -0.1341109424829483 0.017133424058556557 -0.494727224111557 -0.8688793182373047 -0.29970425367355347 0.8265073895454407 -0.4765110909938812,-8.553516387939453 -106.86389923095703 1152.179443359375,0.69
2,65,8,0.913698673248291,0.79183030128479 0.3519003987312317 -0.4991702139377594 -0.38696518540382385 -0.3432537615299225 -0.8558240532875061 -0.4725068509578705 0.8708289861679077 -0.13562551140785217,221.66046142578125 -12.619625091552734 1176.3822021484375,0.69
2,69,8,0.9076149463653564,0.7548961639404297 0.6423851251602173 -0.13218623399734497 -0.029412079602479935 -0.16818904876708984 -0.9853159189224243 -0.6551845073699951 0.7476990818977356 -0.10807138681411743,115.96147155761719 93.8766098022461 1158.556396484375,0.69
2,72,8,0.9059419631958008,0.6055058240890503 0.6379721164703369 -0.4757670760154724 -0.08526373654603958 -0.5423725843429565 -0.835800290107727 -0.7912602424621582 0.5466476678848267 -0.27401384711265564,44.30904769897461 -18.17500877380371 1155.680419921875,0.69
2,79,8,0.879908561706543,-0.24822849035263062 0.9578109979629517 -0.14484788477420807 0.5889926552772522 0.030518656596541405 -0.807561993598938 -0.769071102142334 -0.28577423095703125 -0.5717191696166992,287.5712585449219 -28.81399154663086 1088.73486328125,0.69
2,89,8,0.8523261547088623,0.1243218258023262 0.7639365792274475 -0.6332021951675415 0.15799245238304138 -0.6452521085739136 -0.7474544048309326 -0.9795828461647034 -0.007116270717233419 -0.20091512799263,48.28544998168945 -113.23767852783203 1106.0921630859375,0.69
2,96,8,0.7458713054656982,-0.08110426366329193 0.9936420917510986 -0.07808469980955124 0.10774503648281097 -0.06914316862821579 -0.9917711615562439 -0.9908647537231445 -0.08885011076927185 -0.10145220905542374,203.58590698242188 68.2468490600586 1173.795166015625,0.69
2,97,8,0.9078478813171387,-0.21739307045936584 0.9666724801063538 -0.13522027432918549 0.7771922945976257 0.087615966796875 -0.623133659362793 -0.590518593788147 -0.24055708944797516 -0.7703376412391663,336.12158203125 -149.590576171875 941.2178344726562,0.69
2,102,8,0.9157276153564453,-0.3620360195636749 0.9231448769569397 -0.12935800850391388 0.8170871734619141 0.24747906625270844 -0.520694375038147 -0.4486629068851471 -0.2942069172859192 -0.8438861966133118,249.9800262451172 -124.40479278564453 955.764404296875,0.69
2,107,8,0.9429259300231934,-0.44007408618927 0.8974276781082153 -0.03095715306699276 0.8349087238311768 0.39623937010765076 -0.38199710845947266 -0.33054831624031067 -0.19395343959331512 -0.9236449003219604,114.3238296508789 -28.443218231201172 989.5000610351562,0.69
2,110,8,0.9283256530761719,-0.20346030592918396 0.9708642959594727 -0.1265949308872223 0.6802606582641602 0.04718289524316788 -0.7314500212669373 -0.7041656374931335 -0.2349385917186737 -0.6700407266616821,230.3128204345703 -33.254066467285156 1025.561767578125,0.69
2,115,8,0.8805441856384277,-0.09705474227666855 0.9801868796348572 -0.1726674735546112 0.31203389167785645 -0.13477331399917603 -0.9404632449150085 -0.9451006054878235 -0.14515452086925507 -0.2927711308002472,170.7598419189453 -96.41964721679688 1053.5875244140625,0.69
2,119,8,0.9284563064575195,0.39523401856422424 0.8865216374397278 -0.2405606210231781 0.6494225263595581 -0.4548836350440979 -0.6093695163726807 -0.6496463418006897 0.08461809158325195 -0.7555127143859863,309.0015869140625 -138.24107360839844 873.2601928710938,0.69
