scene_id,im_id,obj_id,score,R,t,time
7,3,13,0.6989445686340332,-0.8793184757232666 0.4739183783531189 0.04690868407487869 0.4561835825443268 0.8664811253547668 -0.20274879038333893 -0.13673186302185059 -0.15688179433345795 -0.9781066179275513,-113.94422149658203 75.22065734863281 730.34912109375,0.69
7,13,13,0.9697411060333252,-0.9584578275680542 0.2841128408908844 0.025265151634812355 0.25878244638442993 0.9034081101417542 -0.3418850004673004 -0.11995864659547806 -0.3211441934108734 -0.9394021034240723,-122.53665161132812 -23.592124938964844 762.2169189453125,0.69
7,21,13,0.9716796875,-0.9970901608467102 0.046927955001592636 0.06007499247789383 0.02311975322663784 0.9371004700660706 -0.3482934832572937 -0.07264099270105362 -0.3458910882472992 -0.9354586005210876,-68.67642974853516 -84.7029037475586 782.4804077148438,0.69
7,30,13,0.97119140625,-0.9831008315086365 -0.1742723137140274 0.056052397936582565 -0.18264450132846832 0.9129996299743652 -0.3647913932800293 0.012397211976349354 -0.36886435747146606 -0.929400622844696,24.96803855895996 -95.65363311767578 785.7861328125,0.69
7,54,13,0.0010680193081498146,-0.9993024468421936 -0.03723027929663658 -0.002926092129200697 -0.03439496085047722 0.9480541944503784 -0.3162437677383423 0.014547938480973244 -0.3159225285053253 -0.94867342710495,78.64974212646484 100.36923217773438 727.074462890625,0.69
7,67,13,0.007300898432731628,-0.961717963218689 0.27333012223243713 0.019726280122995377 0.2565634846687317 0.9233419299125671 -0.28568288683891296 -0.09629984200000763 -0.2696853280067444 -0.958121120929718,-49.589534759521484 126.43019866943358 710.790283203125,0.69
7,71,13,0.06459832191467285,-0.8649024367332458 0.5017414689064026 0.01411601435393095 0.48712098598480225 0.8458185791969299 -0.21749478578567505 -0.12106574326753616 -0.18123555183410645 -0.9759593605995178,-86.56515502929688 107.17214965820312 722.1610717773438,0.69
7,81,13,0.9716796875,-0.9618006944656372 0.27364790439605713 0.0074989390559494495 0.23531873524188995 0.8404598832130432 -0.48811107873916626 -0.13987310230731964 -0.46770092844963074 -0.872749388217926,-130.1411590576172 11.341517448425293 749.4183959960938,0.69
7,87,13,0.97119140625,-0.9840816855430603 0.17558208107948303 0.027461322024464607 0.13317394256591797 0.8308948874473572 -0.5402578115463257 -0.11767704039812088 -0.5280006527900696 -0.8410513997077942,-116.42118072509766 -44.02949142456055 781.0316772460938,0.69
7,94,13,0.9716796875,-0.9973523616790771 0.06748731434345245 0.027086803689599037 0.04184804484248161 0.8372652530670166 -0.5451931357383728 -0.0594724640250206 -0.5426161289215088 -0.8378727436065674,-63.45043945312499 -89.50447845458984 800.8457641601562,0.69
7,102,13,0.97216796875,-0.993281900882721 -0.10722837597131729 0.04350908473134041 -0.11359736323356628 0.8318489193916321 -0.5432522892951965 0.02205907180905342 -0.5445451736450195 -0.8384413719177246,19.886953353881836 -98.32372283935547 805.2398071289062,0.69
7,112,13,0.9697411060333252,-0.960029125213623 -0.27008190751075745 0.07348327338695526 -0.2678516209125519 0.8102812767028809 -0.5212482810020447 0.08123762905597687 -0.5200961232185364 -0.8502355217933655,101.49354553222656 -41.93288040161133 781.8726806640625,0.69
7,130,13,0.9692811965942383,-0.9906874895095825 -0.131867915391922 0.033899880945682526 -0.13287243247032166 0.8820065259933472 -0.4521166980266571 0.029719768092036247 -0.45241066813468933 -0.8913143873214722,48.23244857788086 104.269775390625 700.940185546875,0.69
7,155,13,0.97119140625,-0.9754809141159058 0.21982891857624054 -0.01059315912425518 0.17234072089195251 0.7330471873283386 -0.6579821705818176 -0.13687822222709656 -0.6436746716499329 -0.7529590129852295,-128.62265014648438 -20.43461799621582 770.7550048828125,0.69
7,166,13,0.97314453125,-0.9975377917289734 0.06197377294301987 0.03282658010721207 0.02513585053384304 0.7529247403144836 -0.6576263904571533 -0.06547152996063232 -0.6551821231842041 -0.7526286840438843,-58.06047439575195 -90.52845764160156 819.82421875,0.69
7,185,13,0.9712052345275879,-0.9782998561859131 -0.20444011688232422 0.03366849198937416 -0.18160901963710785 0.767877995967865 -0.6143139004707336 0.09973710030317307 -0.6070976853370667 -0.7883431315422058,107.47045135498047 -32.45169448852539 776.0948486328125,0.69
7,198,13,0.9736328125,-0.987358570098877 -0.15317067503929138 0.04076513648033142 -0.1448158472776413 0.7672066688537598 -0.6248377561569214 0.06443152576684952 -0.6228423714637756 -0.779689610004425,79.53313446044922 67.87852478027344 707.0457763671875,0.69
7,207,13,0.970717191696167,-0.9993166327476501 0.03263444826006889 -0.017356855794787407 0.036353517323732376 0.782815158367157 -0.6211914420127869 -0.006685031112283468 -0.621397852897644 -0.7834665775299072,-7.77609395980835 95.34568786621094 681.39453125,0.69
7,219,13,0.97265625,-0.9891172051429749 0.1437632441520691 0.03129279240965843 0.07744626700878143 0.689578652381897 -0.7200579047203064 -0.12509669363498688 -0.7097981572151184 -0.6932080388069153,-111.4338607788086 32.66558074951172 716.3181762695312,0.69
7,229,13,0.96923828125,-0.98612380027771 0.1656893938779831 0.010340851731598377 0.0970626249909401 0.6259742975234985 -0.7737796902656555 -0.13468021154403687 -0.7620388865470886 -0.6333703398704529,-125.18723297119142 -37.45614242553711 793.1487426757812,0.69
7,239,13,0.962890625,-0.998409628868103 0.05126233398914337 0.02345891296863556 0.018422473222017288 0.6899517178535461 -0.7236208915710449 -0.05328001454472542 -0.7220379114151001 -0.6897988319396973,-53.79391860961914 -88.36958312988281 847.8441772460938,0.69
7,251,13,0.9716796875,-0.9886418581008911 -0.13936416804790497 0.056257713586091995 -0.13054659962654114 0.6108608245849609 -0.7809011340141296 0.07446401566267014 -0.7793757915496826 -0.6221160292625427,68.29771423339844 -74.99581146240234 832.8801879882812,0.69
7,270,13,0.97216796875,-0.9910773634910583 -0.12759467959403992 0.03853858262300491 -0.11671769618988037 0.6911784410476685 -0.7131966948509216 0.06436305493116379 -0.7113312482833862 -0.6999038457870483,83.2893295288086 46.59022521972656 703.210205078125,0.69
7,277,13,0.97705078125,-0.9992811679840088 -0.03740203380584717 0.006192503031343222 -0.029713688418269157 0.6712445020675659 -0.7406401634216309 0.02354476787149906 -0.7402917742729187 -0.6718732714653015,19.53534507751465 70.3873062133789 673.2959594726562,0.69
7,285,13,0.9736328125,-0.9947794675827026 0.10203708708286285 -0.00151362968608737 0.07387784123420715 0.7098588943481445 -0.700458824634552 -0.07039830088615417 -0.6969138979911804 -0.7136912941932678,-63.2993049621582 61.891746520996094 678.9603881835938,0.69
7,289,13,0.9721813201904297,-0.9914425611495972 0.12651696801185608 0.03217299282550812 0.04839441925287247 0.5850983262062073 -0.8095170259475708 -0.12124200910329819 -0.8010326623916626 -0.5862141251564026,-101.492919921875 22.60264015197754 704.5582885742188,0.69
7,295,13,0.9697265625,-0.9824052453041077 0.18658447265625 0.008139489218592644 0.08775026351213455 0.49961742758750916 -0.8617901802062988 -0.16486330330371857 -0.8459129333496094 -0.5071995854377747,-128.5941619873047 -8.939888000488281 752.2787475585938,0.69
7,306,13,0.9716796875,-0.9940332770347595 0.09968151152133942 0.044288258999586105 0.02233811467885971 0.5834554433822632 -0.811837911605835 -0.10676544904708862 -0.8060046434402466 -0.582200825214386,-93.83231353759766 -66.33037567138672 842.038818359375,0.69
7,314,13,0.9463405609130859,-0.9999558925628662 0.008932293392717838 -0.0028826387133449316 0.007358510512858629 0.5554186105728149 -0.8315383195877075 -0.005826473236083984 -0.8315228223800659 -0.5554599165916443,-16.4410457611084 -82.94051361083984 863.244873046875,0.69
