scene_id,im_id,obj_id,score,R,t,time
5,7,1,0.002048637717962265,0.7897802591323853 0.6122279763221741 -0.037737272679805756 0.5957555770874023 -0.7802677750587463 -0.19041407108306885 -0.1460219919681549 0.12790308892726898 -0.9809783101081848,-42.50006103515625 37.42621994018555 673.3972778320312,0.69
5,20,1,0.9025955200195312,-0.007427243050187826 0.9974085092544556 0.07156245410442352 0.969102680683136 0.02482389658689499 -0.24540527164936066 -0.24654574692249298 0.06752869486808777 -0.9667755961418152,-74.05171966552734 -20.025737762451172 717.8175659179688,0.69
5,25,1,0.9118247032165527,-0.3806300461292267 0.9230814576148987 0.05514920875430107 0.8882505297660828 0.3815499544143677 -0.25579410791397095 -0.2571609914302826 -0.04837660863995552 -0.9651569724082947,-63.165546417236335 -44.35769271850586 711.2937622070312,0.69
5,31,1,0.9570519924163818,-0.8426768779754639 0.5349730253219604 0.06082483381032944 0.49730148911476135 0.8166396021842957 -0.2929011285305023 -0.2063661366701126 -0.21657271683216095 -0.954206109046936,-38.28167724609375 -65.78534698486328 717.7704467773438,0.69
5,43,1,0.9468283653259277,-0.9808416366577148 -0.15767928957939148 -0.1143980398774147 -0.1464364230632782 0.9840667843818665 -0.10084091871976852 0.1284758299589157 -0.0821569412946701 -0.9883036613464355,26.05006980895996 -64.62516784667969 716.3302001953125,0.69
5,56,1,0.9187345504760742,0.9713958501815796 0.2374587208032608 -0.0018722593085840344 0.23171363770961761 -0.94955974817276 -0.21129374206066132 -0.05195136368274689 0.2048160582780838 -0.9774208068847656,59.94659423828125 -6.037359714508057 726.6395263671875,0.69
5,64,1,0.9371309280395508,0.9324097633361816 0.36131805181503296 0.007827249355614185 0.35250353813171387 -0.9044597744941711 -0.24019485712051392 -0.0797073096036911 0.22671915590763092 -0.970693051815033,37.03649139404297 33.17108154296875 694.6130981445312,0.69
5,70,1,0.036491990089416504,0.8727164268493652 0.4882105886936188 0.004048950504511595 0.47700127959251404 -0.8508519530296326 -0.2202737182378769 -0.10409491509199142 0.1941678524017334 -0.9754296541213989,6.544743061065674 48.94378662109375 694.9490966796875,0.69
5,81,1,0.9502661228179932,-0.6196560263633728 0.7848536968231201 -0.005589707288891077 0.6870406270027161 0.5389600992202759 -0.4873369336128235 -0.37947553396224976 -0.30582162737846375 -0.8731961250305176,-47.87610626220703 13.96062183380127 680.9022827148438,0.69
5,86,1,0.8665399551391602,-0.5598323941230774 0.8285739421844482 -0.007276854012161493 0.7299184203147888 0.48898041248321533 -0.47761625051498413 -0.3921821415424347 -0.2726965844631195 -0.8785384297370911,-64.96026611328125 -5.776487350463867 689.0365600585938,0.69
5,94,1,0.3404688835144043,-0.7762125730514526 0.6292423605918884 0.03934735059738159 0.5363662838935852 0.6918683648109436 -0.4833522439002991 -0.33136889338493347 -0.3540794849395752 -0.8745412230491638,-69.83329772949219 -44.54298782348633 711.2803955078125,0.69
5,100,1,0.9177322387695312,-0.8689248561859131 0.4923878014087677 0.05023679509758949 0.4174918532371521 0.78368079662323 -0.4599398970603943 -0.2658384442329407 -0.3786797523498535 -0.8865277171134949,-53.57254409790039 -70.32378387451172 726.2372436523438,0.69
