scene_id,im_id,obj_id,score,R,t,time
2,3,2,0.8196859359741211,-0.6034453511238098 0.7966409921646118 -0.03488165885210037 -0.054686058312654495 -0.08498573303222656 -0.9948803186416626 -0.795526921749115 -0.5984483957290649 0.09484941512346268,606.6234741210938 38.65337371826172 1859.263916015625,0.69
2,44,2,0.9032399654388428,-0.6398465037345886 0.7675254940986633 -0.03874378278851509 0.08529874682426453 0.02082531526684761 -0.9961377382278442 -0.7637543082237244 -0.6406800150871277 -0.0787939727306366,539.3899536132812 21.573633193969727 1650.48046875,0.69
2,151,2,0.5275721549987793,-0.5280871987342834 0.8430863618850708 -0.10163295269012451 0.7786557078361511 0.43298691511154175 -0.45411184430122375 -0.3388497829437256 -0.3189477324485779 -0.8851288557052612,276.3667297363281 -88.20769500732422 1697.712158203125,0.69
2,207,2,0.8272132873535156,-0.15019872784614563 0.9773550629615784 -0.14905482530593872 0.9558173418045044 0.10501568019390106 -0.27456292510032654 -0.25269240140914917 -0.18370820581912994 -0.9499462246894836,165.5340118408203 -87.87799835205078 1676.2330322265625,0.69
2,309,2,0.8986001014709473,0.8763624429702759 0.4462670087814331 -0.1812034547328949 0.44172337651252747 -0.8946457505226135 -0.06700286269187927 -0.19201408326625824 -0.021323002874851227 -0.9811604619026184,95.42799377441406 -108.50102233886719 1653.6058349609375,0.69
2,329,2,0.8713970184326172,0.980968177318573 0.06920420378446579 -0.18141742050647736 0.06716670095920563 -0.9975907802581787 -0.01735818013548851 -0.18218159675598145 0.004842615220695734 -0.983253002166748,97.53880310058594 -93.77589416503906 1689.714111328125,0.69
2,351,2,0.5075109004974365,0.919965922832489 -0.32930874824523926 -0.21264642477035522 -0.3835102319717407 -0.8683839440345764 -0.3143712878227234 -0.08113351464271545 0.3707629144191742 -0.9251768589019775,92.77745819091797 -106.13555908203125 1741.2774658203125,0.69
2,407,2,0.8811635971069336,0.8975165486335754 -0.3546314835548401 -0.2621081471443176 -0.34937968850135803 -0.2091803103685379 -0.9133331179618835 0.2690688669681549 0.9113069176673889 -0.3116437792778015,93.58514404296875 -101.59346008300781 1606.61669921875,0.69
2,411,2,0.8589553833007812,0.87291419506073 -0.4276745915412903 -0.2347661554813385 -0.3186522424221039 -0.13540716469287872 -0.9381501078605652 0.3694339692592621 0.8937333822250366 -0.2544783353805542,90.81730651855469 -95.77314758300781 1609.0413818359375,0.69
2,430,2,0.927886962890625,0.6454797983169556 -0.7559815645217896 -0.10884734243154526 -0.28521206974983215 -0.10637404769659042 -0.9525432586669922 0.708526611328125 0.6458920240402222 -0.28427737951278687,62.21903991699219 -38.313270568847656 1612.8828125,0.69
