scene_id,im_id,obj_id,score,R,t,time
3,4,3,0.96533203125,0.36438047885894775 0.9302119016647339 -0.043960586190223694 0.06301667541265488 -0.07172752171754837 -0.9954315423965454 -0.9291155338287354 0.35994553565979004 -0.08475497364997864,614.1446533203125 -233.70999145507812 1652.3267822265625,0.69
3,21,3,0.9585161209106445,0.1546562910079956 0.9863228797912598 -0.05699476972222328 0.03853711485862732 -0.06366749852895737 -0.9972267746925354 -0.9872163534164429 0.15203097462654114 -0.04785662144422531,658.7837524414062 -244.63645935058594 1691.6339111328125,0.69
3,43,3,0.9677889347076416,0.15576398372650146 0.9874662756919861 -0.025452429428696632 0.460030198097229 -0.09531952440738678 -0.8827719688415527 -0.8741337656974792 0.12579520046710968 -0.4691116511821747,620.0734252929688 -194.44085693359375 1626.7052001953125,0.69
3,85,3,0.9585161209106445,0.09372784942388535 0.9955751299858093 -0.006723850499838591 0.9202882647514343 -0.08921273797750473 -0.3809336721897125 -0.379847913980484 0.029516207054257393 -0.9245779514312744,563.9713134765625 -118.03622436523438 1643.8958740234375,0.69
3,118,3,0.9526596069335938,0.2986363470554352 0.9541804790496826 -0.018870577216148376 0.9275977611541748 -0.2948533594608307 -0.229399174451828 -0.22445225715637207 0.0510026216506958 -0.9731495380401611,548.8582153320312 -97.21470642089844 1659.29296875,0.69
3,184,3,0.9682769775390625,0.3399654030799866 0.9188343286514282 -0.2004169374704361 0.5133659243583679 -0.3598743677139282 -0.7790672779083252 -0.7879586815834045 0.16196870803833008 -0.5940430760383606,461.0697937011719 -79.94812774658203 1554.1241455078125,0.69
3,195,3,0.97265625,0.30573585629463196 0.9380548000335693 -0.16302984952926636 0.4332776963710785 -0.28954774141311646 -0.8534826040267944 -0.8478183746337891 0.1903030276298523 -0.4949633777141571,403.9433898925781 -86.15882110595703 1559.5870361328125,0.69
3,248,3,0.9638845920562744,0.6362407803535461 0.7703790664672852 -0.041397031396627426 0.16391129791736603 -0.18741478025913239 -0.9685085415840149 -0.7538771629333496 0.6094191670417786 -0.24551475048065186,270.0680236816406 -93.47135925292969 1578.9368896484375,0.69
3,304,3,0.937042236328125,0.8688762784004211 0.4950234293937683 -0.0024276061449199915 0.01830150932073593 -0.03702306002378464 -0.9991468191146851 -0.4946909546852112 0.8680905103683472 -0.04122813418507576,295.990478515625 -131.23812866210938 1526.14599609375,0.69
3,332,3,0.9278039932250977,0.9989080429077148 0.033326633274555206 -0.03274311497807503 -0.03170480579137802 -0.03122122213244438 -0.9990095496177673 -0.03431589901447296 0.9989567995071411 -0.03013051114976406,290.7660827636719 -146.72549438476562 1560.1256103515625,0.69
3,335,3,0.9297552108764648,0.9993290305137634 -0.006062131840735674 -0.036119651049375534 -0.036218952387571335 -0.0171591117978096 -0.9991965293884277 0.005437490995973349 0.9998343586921692 -0.0173671655356884,292.8344421386719 -143.26852416992188 1559.447021484375,0.69
3,383,3,0.9638845920562744,0.7919704914093018 -0.5982511043548584 -0.1219768151640892 -0.0890706405043602 0.08443503826856613 -0.9924399852752686 0.604027509689331 0.7968477606773376 0.013583444990217686,238.75540161132812 -125.06983947753905 1505.3577880859375,0.69
3,428,3,0.965364933013916,0.7843466401100159 -0.6011553406715393 -0.15301159024238586 -0.15793217718601227 0.045014407485723495 -0.9864233732223511 0.5998814702033997 0.7978633046150208 -0.05963486433029175,86.5762939453125 -122.43881225585938 1385.204833984375,0.69
3,486,3,0.97216796875,0.6625455021858215 -0.7228021025657654 -0.19644467532634735 -0.5423495173454285 -0.2820495665073395 -0.7913943529129028 0.5166144371032715 0.6308764815330505 -0.5788820385932922,-47.10163116455078 -54.475704193115234 1282.4967041015625,0.69
3,521,3,0.9697551727294922,0.7080722451210022 -0.6928901672363281 -0.13615041971206665 -0.6555317640304565 -0.5733140110969543 -0.49151715636253357 0.26251041889190674 0.4372805655002594 -0.8601592779159546,-70.22640991210938 4.347320556640625 1257.4481201171875,0.69
3,547,3,0.9682769775390625,0.6771770119667053 -0.7341315746307373 -0.04982084408402443 -0.7245296239852905 -0.653440535068512 -0.21925391256809235 0.12840627133846283 0.18457038700580597 -0.9743949770927429,-89.61957550048828 53.55674362182617 1268.98876953125,0.69
3,559,3,0.9653487205505371,0.48349258303642273 -0.8740714192390442 -0.04726565256714821 -0.8673325777053833 -0.47107547521591187 -0.1606927365064621 0.11819124966859818 0.11868879944086075 -0.9858720898628235,-82.33612823486328 109.03884887695312 1260.1771240234375,0.69
