scene_id,im_id,obj_id,score,R,t,time
57,1,18,0.9356088638305664,0.8830512762069702 0.44628867506980896 0.14507511258125305 0.4651799201965332 -0.791704535484314 -0.3959943950176239 -0.061871204525232315 0.4171694219112396 -0.9067202806472778,24.883174896240234 15.865240097045898 974.9331665039062,0.69
57,24,18,0.9402351379394531,0.8939676880836487 0.43154293298721313 0.12079956382513046 0.4401540458202362 -0.794914186000824 -0.41758349537849426 -0.08417991548776627 0.4264765679836273 -0.9005728960037231,24.60743522644043 20.953107833862305 985.258544921875,0.69
57,38,18,0.9302430152893066,0.8923647999763489 0.427412748336792 0.14492502808570862 0.44648507237434387 -0.7892090082168579 -0.42166340351104736 -0.06584817171096802 0.44098442792892456 -0.8950958847999573,25.77100372314453 24.86060333251953 974.9743041992188,0.69
57,49,18,0.9391350746154785,0.8691297769546509 0.44602662324905396 0.21371419727802277 0.4942997694015503 -0.7686973810195923 -0.4059213399887085 -0.016770176589488983 0.4584372043609619 -0.8885685801506042,10.751721382141113 36.34212112426758 968.6001586914062,0.69
57,61,18,0.9380478858947754,0.8771867752075195 0.45420828461647034 0.15568654239177704 0.4750966429710388 -0.7741466760635376 -0.418306440114975 -0.06947402656078339 0.4408990442752838 -0.8948639035224915,14.352888107299805 40.084651947021484 978.8802490234375,0.69
57,74,18,0.9522593021392822,0.8611270785331726 0.4783661365509033 0.1721220314502716 0.5041777491569519 -0.7600682973861694 -0.410001277923584 -0.06530623883008957 0.4398432970046997 -0.8956969976425171,10.86905574798584 50.532108306884766 982.5180053710938,0.69
57,81,18,0.9518136978149414,0.8642902970314026 0.46111124753952026 0.20094464719295502 0.5024068355560303 -0.7721128463745117 -0.38913899660110474 -0.024284426122903824 0.43728500604629517 -0.898995041847229,-0.4743630886077881 32.85445022583008 971.7488403320312,0.69
57,88,18,0.9414346218109131,0.875686764717102 0.44337743520736694 0.19128312170505524 0.4826713800430298 -0.7920708060264587 -0.37370094656944275 -0.01418079249560833 0.4195718765258789 -0.9076114296913147,-9.86182689666748 31.175317764282227 972.9116821289062,0.69
57,119,18,0.9468531608581543,0.8608962893486023 0.4806057810783386 0.16696012020111084 0.5076264142990112 -0.7892872095108032 -0.3454577922821045 -0.03424953296780586 0.38215669989585876 -0.9234626293182373,-13.11828899383545 25.463638305664062 978.4103393554688,0.69
57,246,18,0.9512412548065186,0.8152839541435242 0.5504989624023438 0.17961907386779785 0.5772970914840698 -0.7485129237174988 -0.3262766897678375 -0.04516775533556938 0.3697017431259155 -0.9280520081520081,-16.79151153564453 -0.5671319961547852 941.8386840820312,0.69
57,483,18,0.9566974639892578,0.767235279083252 0.6212091445922852 0.1595279723405838 0.6340368986129761 -0.6971368193626404 -0.3346600830554962 -0.09668107330799103 0.357909619808197 -0.9287375807762146,-10.139819145202637 52.36849594116211 918.417236328125,0.69
57,518,18,0.9600353240966797,0.7591267228126526 0.6347405314445496 0.14432944357395172 0.6422364711761475 -0.6941888332366943 -0.32501399517059326 -0.1061076670885086 0.3394204080104828 -0.9346309304237366,-25.227123260498047 59.77006149291992 904.6602783203125,0.69
57,526,18,0.960956335067749,0.7630383968353271 0.626397967338562 0.15936662256717682 0.6403221487998962 -0.6989778876304626 -0.3184605538845062 -0.08808930963277817 0.3450436294078827 -0.9344436526298523,-32.65602111816406 62.36363983154297 903.4398803710938,0.69
57,528,18,0.9643726348876953,0.7613413333892822 0.6304027438163757 0.15149807929992676 0.6409033536911011 -0.6964450478553772 -0.3228113353252411 -0.09799109399318695 0.3428652584552765 -0.9342596530914307,-34.43785858154297 63.73500061035156 905.47607421875,0.69
57,537,18,0.9604682922363281,0.7601515650749207 0.6166484951972961 0.204729825258255 0.6474732756614685 -0.6925761103630066 -0.31798863410949707 -0.05429622158408165 0.37427663803100586 -0.9257261753082275,-37.39874267578125 59.453636169433594 903.4286499023438,0.69
57,541,18,0.9633965492248535,0.7614461779594421 0.6312161087989807 0.14753282070159912 0.6398857235908508 -0.695524275302887 -0.326790988445282 -0.10366308689117432 0.34323787689208984 -0.933510422706604,-33.1324577331543 55.97138214111328 903.7799682617188,0.69
57,553,18,0.9590041637420654,0.7632390856742859 0.6355147957801819 0.11656294018030167 0.6385916471481323 -0.7145211696624756 -0.28576236963272095 -0.09831955283880234 0.29254114627838135 -0.9511849880218506,-30.34453010559082 45.30998611450195 899.8294677734375,0.69
57,554,18,0.95947265625,0.7669471502304077 0.6162236928939819 0.1790546476840973 0.6391016244888306 -0.708358645439148 -0.29962852597236633 -0.05780326947569847 0.34423336386680603 -0.9371031522750854,-31.170822143554688 44.86540603637695 894.1946411132812,0.69
