scene_id,im_id,obj_id,score,R,t,time
48,1,6,0.9487552642822266,-0.8266907930374146 0.5626041293144226 -0.007688872516155243 0.12793487310409546 0.1746450960636139 -0.9762846231460571 -0.5479189157485962 -0.8080692291259766 -0.2163541465997696,18.307689666748047 59.3781852722168 811.9923706054688,0.69
48,36,6,0.95166015625,-0.8154578804969788 0.5786506533622742 0.013850984163582325 0.11131367832422256 0.1802610456943512 -0.9772999882698059 -0.5680120587348938 -0.7954052090644836 -0.21140702068805695,2.183668375015259 55.96696090698242 804.6031494140625,0.69
48,47,6,0.9482917785644531,-0.828066349029541 0.560621976852417 0.003013358684256673 0.1129705011844635 0.17212286591529846 -0.9785761833190918 -0.5491300225257874 -0.8099856376647949 -0.20586290955543518,24.65810775756836 54.69376754760742 812.4544677734375,0.69
48,83,6,0.9536356925964355,-0.8503077030181885 0.5261926651000977 0.009902635589241982 0.10016187280416489 0.18027271330356598 -0.9785036444664001 -0.51666659116745 -0.8310373425483704 -0.205991730093956,43.20949172973633 62.8933448791504 820.0822143554688,0.69
48,112,6,0.9556088447570801,-0.8549607396125793 0.5185743570327759 0.011082520708441734 0.10352534055709839 0.19153811037540436 -0.9760100245475769 -0.5082565546035767 -0.8333029747009277 -0.21744313836097717,53.28754425048828 52.43419647216797 826.12158203125,0.69
48,1024,6,0.9561748504638672,-0.9975942373275757 -0.061203211545944214 0.03255631402134895 -0.04701801761984825 0.2522517740726471 -0.9665187001228333 0.05094165727496147 -0.9657242298126221 -0.25452256202697754,67.7355728149414 76.62979125976562 933.1817626953125,0.69
48,1027,6,0.9590041637420654,-0.995561957359314 -0.09080258756875992 0.024725791066884995 -0.04714100807905197 0.25378015637397766 -0.9661124348640442 0.08145060390233994 -0.962990403175354 -0.25693437457084656,79.60621643066406 82.79244232177734 940.4178466796875,0.69
48,1059,6,0.9619324207305908,-0.9944368600845337 -0.09253543615341187 0.05032454803586006 -0.07384563982486725 0.27175480127334595 -0.9595291018486023 0.07511451095342636 -0.9579073190689087 -0.2770763337612152,83.33150482177734 65.90786743164062 942.8072509765625,0.69
48,1074,6,0.9575400352478027,-0.9956360459327698 -0.07446117699146271 0.05625327304005623 -0.07262442260980606 0.2396809458732605 -0.9681315422058105 0.0586053803563118 -0.9679920673370361 -0.24404267966747284,62.05058670043945 90.06220245361328 961.2719116210938,0.69
48,1075,6,0.9595298767089844,-0.9951615333557129 -0.0793977677822113 0.05787547305226326 -0.07584976404905319 0.24640202522277832 -0.9661950469017029 0.06245309114456177 -0.965910017490387 -0.2512321174144745,62.03643035888672 87.80330657958984 959.7854614257812,0.69
48,1083,6,0.9653487205505371,-0.9936041235923767 -0.09533028304576874 0.06052176281809807 -0.08245223015546799 0.24630476534366608 -0.9656788110733032 0.07715163379907608 -0.9644926190376282 -0.2525896430015564,69.77943420410156 88.85850524902344 969.726318359375,0.69
48,1087,6,0.9585356712341309,-0.9931430220603943 -0.1006273403763771 0.059506554156541824 -0.08225312829017639 0.239754781126976 -0.9673428535461426 0.08307415246963501 -0.9656043648719788 -0.24638770520687103,67.48294830322266 93.00776672363281 976.8619995117188,0.69
48,1090,6,0.96044921875,-0.9943295121192932 -0.08898075670003891 0.05823557823896408 -0.07766073197126389 0.23347970843315125 -0.9692553877830505 0.07264825701713562 -0.9682818055152893 -0.23906604945659637,61.1423454284668 92.8572006225586 980.4528198242188,0.69
48,1094,6,0.965897798538208,-0.9947383403778076 -0.09209277480840683 0.044884469360113144 -0.0658797100186348 0.23948906362056732 -0.9686613082885742 0.07845737785100937 -0.9665215611457825 -0.24429596960544586,53.1134033203125 90.44347381591797 983.2767333984375,0.69
48,1097,6,0.9629428386688232,-0.9947184920310974 -0.0886271670460701 0.05177279934287071 -0.07140542566776276 0.23518352210521698 -0.96932452917099 0.07373236864805222 -0.967901885509491 -0.24026983976364136,56.18738555908203 89.84336853027344 984.6910400390625,0.69
