scene_id,im_id,obj_id,score,R,t,time
48,1,19,0.01615828275680542,-0.1532486379146576 0.26122739911079407 0.9530346989631653 0.22055967152118683 0.9491396546363831 -0.22469362616539001 -0.9632591605186462 0.17576704919338226 -0.20307062566280365,48.046165466308594 -16.08649444580078 876.0385131835938,0.69
48,36,19,0.18225955963134766,-0.12500488758087158 0.2664405107498169 0.9557108283042908 0.21814893186092377 0.9470749497413635 -0.2354995310306549 -0.9678764343261719 0.17904870212078094 -0.1765127182006836,32.93717956542969 -19.22605323791504 869.62939453125,0.69
48,47,19,0.06739425659179688,-0.15100067853927612 0.2543483376502991 0.9552516341209412 0.3100786805152893 0.9297484755516052 -0.19854232668876648 -0.938642680644989 0.26622316241264343 -0.21926063299179077,55.96974182128906 -19.42938804626465 872.1517333984375,0.69
48,83,19,0.016567498445510864,-0.17799067497253418 0.2676563858985901 0.9469315409660339 0.22711768746376038 0.9474897980690002 -0.2251238077878952 -0.957463800907135 0.17499496042728424 -0.2294338196516037,78.72898864746094 -12.042468070983887 900.5565795898438,0.69
48,112,19,0.019561588764190674,-0.18790705502033234 0.25794678926467896 0.9477100372314453 0.24162627756595612 0.947384774684906 -0.2099498063325882 -0.9520019888877869 0.18954060971736908 -0.2403469979763031,88.5582504272461 -24.394573211669922 905.0697631835938,0.69
48,1024,19,0.9376466274261475,-0.5606929063796997 0.09948611259460449 0.8220255374908447 0.05913609266281128 0.995032012462616 -0.08008836209774017 -0.8259093761444092 0.0037063995841890574 -0.5637906789779663,147.33387756347656 8.370258331298828 979.8702392578125,0.69
48,1027,19,0.9492433071136475,-0.576775848865509 0.1034107357263565 0.8103307485580444 0.04842205345630646 0.9945390820503235 -0.09245279431343079 -0.8154661059379578 -0.01408665906637907 -0.5786334276199341,160.5039825439453 15.184622764587402 986.2479858398438,0.69
48,1059,19,0.9454400539398193,-0.5899935364723206 0.06319314986467361 0.8049312233924866 0.04462990164756775 0.9979607462882996 -0.045634862035512924 -0.80617356300354 0.008999728597700596 -0.5916106700897217,167.1696319580078 -0.1436048150062561 987.84912109375,0.69
48,1074,19,0.947265625,-0.5882020592689514 0.05913080275058746 0.8065493106842041 0.01342969760298729 0.9978999495506287 -0.06336531043052673 -0.808602511882782 -0.026439892128109932 -0.5877609252929688,147.3631134033203 25.233125686645508 1022.1093750000001,0.69
48,1075,19,0.947265625,-0.5777708888053894 0.0679328441619873 0.8133670687675476 0.02703229710459709 0.9975763559341431 -0.06411584466695786 -0.8157512545585632 -0.015057090669870377 -0.5782068967819214,145.38609313964844 22.565723419189453 1010.7218017578126,0.69
48,1083,19,0.94189453125,-0.5963586568832397 0.04479296877980232 0.8014673590660095 0.00039789252332411706 0.9984582662582397 -0.055506471544504166 -0.8027179837226868 -0.032782867550849915 -0.5954570174217224,154.83828735351562 24.851356506347656 1020.9591674804688,0.69
48,1087,19,0.9404585361480713,-0.5847799777984619 0.05308840796351433 0.8094528913497925 0.01647152565419674 0.9984275698661804 -0.05358274653553963 -0.8110246658325195 -0.018001193180680275 -0.5847348570823669,152.35845947265625 28.505794525146484 1024.021728515625,0.69
48,1090,19,0.9479641914367676,0.7947483658790588 -0.5940001606941223 -0.12465505301952362 -0.31739968061447144 -0.23169362545013428 -0.9195517897605896 0.517332136631012 0.7703778147697449 -0.37267354130744934,-58.745582580566406 93.58747863769531 739.76806640625,0.69
48,1094,19,0.9481687545776367,0.7962642312049866 -0.5937369465827942 -0.11592991650104523 -0.29743412137031555 -0.21736854314804077 -0.9296687245368958 0.5267791152000427 0.7747434973716736 -0.3496803939342499,-65.02916717529297 92.61583709716797 743.3843383789062,0.69
48,1097,19,0.94287109375,-0.5861154198646545 0.06568006426095963 0.8075610399246216 0.014579313807189465 0.9974024891853333 -0.07053869217634201 -0.8100963830947876 -0.02957013063132763 -0.5855505466461182,141.26296997070312 24.49935531616211 1036.6298828125,0.69
48,1103,19,0.9477791786193848,-0.6041399836540222 0.054906461387872696 0.7949844598770142 0.017474671825766563 0.9982963800430298 -0.05566873401403427 -0.796686589717865 -0.01973961479961872 -0.6040701866149902,151.68572998046875 18.184940338134766 1032.69873046875,0.69
48,1104,19,0.9472911357879639,-0.6053501963615417 0.05592995136976242 0.7939918637275696 0.02255825325846672 0.9983330965042114 -0.053125325590372086 -0.7956395745277405 -0.014248356223106384 -0.6056027412414551,149.8588104248047 16.611265182495117 1034.30322265625,0.69
48,1107,19,0.9443628787994385,-0.6065438389778137 0.05412111431360245 0.793205738067627 0.018650513142347336 0.998374342918396 -0.05385838821530342 -0.7948311567306519 -0.01787377893924713 -0.6065672636032104,148.1380615234375 14.136613845825195 1028.259521484375,0.69
48,1113,19,0.9443893432617188,-0.6274267435073853 0.04234858229756355 0.7775231599807739 0.01137468870729208 0.9989118576049805 -0.04522787779569626 -0.7785924673080444 -0.019533095881342888 -0.6272257566452026,162.21975708007812 21.93065071105957 1032.72119140625,0.69
48,1119,19,0.951171875,-0.6344858407974243 0.030543245375156403 0.7723307609558105 0.008828292600810528 0.9994401335716248 -0.03227207437157631 -0.7728841304779053 -0.013657811097800732 -0.6344002485275269,166.69349670410156 18.589893341064453 1043.203369140625,0.69
48,1120,19,0.951683521270752,-0.6386370062828064 0.024516848847270012 0.7691174149513245 0.009557110257446766 0.9996678829193115 -0.0239302646368742 -0.7694488167762756 -0.007932212203741074 -0.6386591792106628,168.03500366210938 18.77056121826172 1052.242919921875,0.69
48,1122,19,0.94970703125,-0.6413633227348328 0.03025250881910324 0.7666406631469727 0.009690758772194386 0.9994620084762573 -0.03133272007107735 -0.7671761512756348 -0.012666327878832817 -0.6413114070892334,168.009765625 19.342090606689453 1050.70556640625,0.69
48,1124,19,0.9453125,-0.6383819580078125 0.03987535461783409 0.7686861753463745 0.01902967505156994 0.9991695880889893 -0.036027755588293076 -0.7694845199584961 -0.008371620438992977 -0.6386106610298157,165.69285583496094 15.280808448791504 1045.140869140625,0.69
48,1126,19,0.9478039741516113,-0.6389201879501343 0.0401436984539032 0.7682248950004578 0.016801318153738976 0.9991274476051331 -0.038236163556575775 -0.7690895795822144 -0.011522665619850159 -0.6390371322631836,165.32752990722656 15.780065536499025 1052.7882080078125,0.69
48,1128,19,0.9458270072937012,-0.6352647542953491 0.04544227197766304 0.7709563374519348 0.010698620229959488 0.9986894726753235 -0.050049856305122375 -0.7722203731536865 -0.023546742275357246 -0.6349183320999146,164.3617706298828 19.716562271118164 1050.8218994140625,0.69
48,1132,19,0.94287109375,-0.6390236616134644 0.04530732333660126 0.7678514719009399 0.011842586100101471 0.9987248182296753 -0.049074411392211914 -0.7690958380699158 -0.022266361862421036 -0.6387454271316528,163.08815002441406 21.713642120361328 1065.0533447265625,0.69
48,1133,19,0.94384765625,-0.6338290572166443 0.05759698525071144 0.7713257074356079 0.01926330290734768 0.9980897307395935 -0.05870065465569496 -0.77323317527771 -0.02234789915382862 -0.6337278485298157,160.63046264648438 20.495193481445312 1058.8486328125,0.69
48,1137,19,0.94677734375,-0.6321170330047607 0.062222789973020554 0.7723705768585205 0.02092965506017208 0.9977779984474182 -0.06325272470712662 -0.7745901942253113 -0.023817675188183784 -0.632014811038971,154.90029907226562 23.744237899780273 1066.8079833984375,0.69
48,1540,19,0.9472911357879639,-0.727454423904419 -0.0443074069917202 0.6847240328788757 -0.06130126491189003 0.9981192350387573 -0.000540081993676722 -0.6834122538566589 -0.04236733540892601 -0.7288022637367249,152.22381591796875 43.928043365478516 998.4637451171875,0.69
48,1542,19,0.946199893951416,-0.6978457570075989 -0.05375874415040016 0.7142278552055359 -0.0478934608399868 0.9984499216079712 0.028356732800602913 -0.7146451473236084 -0.014418215490877628 -0.6993386149406433,150.29531860351562 45.681556701660156 990.225830078125,0.69
48,1543,19,0.9448509216308594,-0.7004517316818237 -0.05971556529402733 0.7111971974372864 -0.058421842753887177 0.9979467391967773 0.026253296062350273 -0.7113046050071716 -0.023160282522439957 -0.7025021910667419,146.857177734375 49.01858901977539 990.009521484375,0.69
48,1568,19,0.9419503211975098,-0.7015657424926758 -0.06755003333091736 0.7093958258628845 -0.08808037638664246 0.9960832595825195 0.007740790955722332 -0.7071402072906494 -0.057053178548812866 -0.7047677040100098,140.1891326904297 67.79368591308594 1005.9421997070312,0.69
48,1569,19,0.9453389644622803,-0.6971146464347839 -0.06632611900568008 0.7138850688934326 -0.09455137699842453 0.9955199360847473 0.00016224206774495542 -0.7106976509094238 -0.0673857182264328 -0.7002627849578857,139.78846740722656 67.8763427734375 995.9776611328125,0.69
48,1571,19,0.9390521049499512,-0.7162480354309082 -0.07115563005208969 0.694208562374115 -0.11257774382829666 0.9935398101806641 -0.014315067790448666 -0.6887052655220032 -0.08840557932853699 -0.7196314930915833,143.3669891357422 69.91007232666016 1007.7827148437499,0.69
48,1572,19,0.9434661865234375,-0.7088456153869629 -0.06780584901571274 0.7020969986915588 -0.10817724466323853 0.9940437078475952 -0.013216091319918633 -0.6970190405845642 -0.08531908690929413 -0.7119585871696472,144.8823699951172 70.70193481445312 1001.3944091796876,0.69
48,1576,19,0.9453649520874023,-0.7106730341911316 -0.06773862987756729 0.7002537846565247 -0.09829533100128174 0.9951512813568115 -0.0034925376530736685 -0.696621835231781 -0.07131373137235641 -0.7138854265213013,148.05064392089844 78.88059997558594 997.9863891601562,0.69
48,1577,19,0.943901538848877,-0.7069200277328491 -0.07365482300519943 0.7034479975700378 -0.10009408742189407 0.9949715733528137 0.0035908014979213476 -0.7001752257347107 -0.06787258386611938 -0.7107376456260681,148.94769287109375 79.70256042480469 1006.2344970703125,0.69
48,1579,19,0.9419503211975098,-0.7127565741539001 -0.0718606486916542 0.6977207064628601 -0.10188493132591248 0.9947949647903442 -0.001623213873244822 -0.6939722299575806 -0.07224418222904205 -0.7163681387901306,146.97779846191406 79.13292694091797 993.4230346679688,0.69
48,1580,19,0.9463405609130859,-0.7162132263183594 -0.06831863522529602 0.6945295333862305 -0.11622582376003265 0.9929752349853516 -0.022178692743182182 -0.6881353855133057 -0.09660694003105164 -0.7191223502159119,147.8296661376953 80.33305358886719 1003.2932739257811,0.69
