scene_id,im_id,obj_id,score,R,t,time
51,1,12,1.0,0.8217570007318964 -0.569836153597474 0.001479797740979363 -0.27853325388632233 -0.4039337915517025 -0.8713533832620165 0.4971264006544163 0.7156285699270971 -0.4906537390833606,-55.32895407253612 -76.31619564441374 1058.182690932897,0.69
51,35,12,1.0,0.8192584009884869 -0.5733899118380619 -0.006299318386007183 -0.2808410312734333 -0.39163897389305846 -0.8762118632392897 0.49994398442531857 0.7196130370764087 -0.481884933678783,-49.462282546373494 -56.87565797903726 1072.2197616979763,0.69
51,56,12,1.0,0.8185256697322523 -0.5742675380866061 -0.01524869467581699 -0.2845319637293536 -0.38220925388965615 -0.8791800997846977 0.4990563992232594 0.7239702210319574 -0.47624555583569883,-59.17678554135022 -56.21581126382768 1071.9171311755758,0.69
51,83,12,1.0,0.8230714216371424 -0.5676863540749513 -0.016900836704210043 -0.2886467739109447 -0.3925013719990737 -0.8732844398531612 0.48911805813629256 0.7236538373946029 -0.486917496942807,-67.26222085907656 -70.23695645295979 1067.2482735877995,0.69
51,100,12,1.0,0.8293724122395539 -0.5581449899860987 -0.024810722870606195 -0.29884247567150296 -0.40566613793636574 -0.8637871029752187 0.47205357381389657 0.7238156911018243 -0.5032457339752789,-64.33843301095399 -79.34798216011208 1061.8844392205242,0.69
51,116,12,1.0,0.8500363556653076 -0.5258440749564673 -0.03043358145897205 -0.2835310929658837 -0.40810923543976446 -0.8677885521659889 0.4439012428106218 0.746280684985179 -0.49600083250861365,-54.03625976370989 -91.23282544510248 1070.7813510044389,0.69
51,138,12,1.0,0.8500158116578976 -0.5253365475486477 -0.038660467421304724 -0.30390917521581085 -0.4291420671465641 -0.8505740999024244 0.4302468281710073 0.734750704671211 -0.5244321393983659,-38.19926233036705 -115.87236230793167 1064.123348785927,0.69
51,169,12,1.0,0.8613704301313447 -0.5071577830458037 -0.02884380681200187 -0.29739038008565016 -0.45743352594137865 -0.8380414853557969 0.4118251375618726 0.7304420253797721 -0.5448435588600102,-34.09332822649036 -110.77948735588387 1060.5570189045259,0.69
51,240,12,1.0,0.9026558460592458 -0.4301585964194438 0.01326670650620309 -0.2015021357115273 -0.44967443721384354 -0.8701665299355678 0.3802753119501199 0.7827876355965697 -0.4925791354476677,1.8586771735130103 -81.9282911441891 1079.4867027005373,0.69
51,407,12,1.0,0.917020471954113 -0.39281173001211483 0.06908255048812781 -0.12759889911859656 -0.45304862367584364 -0.8823068998535287 0.37787825415175397 0.8002786323214639 -0.46557720701180083,0.2527856625518923 -91.72649255811511 1079.3214265077238,0.69
51,515,12,1.0,0.9458071577433945 -0.3207553927880593 0.05064383830969943 -0.10142818677673078 -0.4399599717536157 -0.8922710048980308 0.3084819983216943 0.8387795903882823 -0.44865092829450304,11.964224301778174 -76.69439159059864 1097.1670407971865,0.69
51,520,12,1.0,0.9527353924784259 -0.29923296056963417 0.052487210134579326 -0.09646542223427362 -0.461798203902613 -0.8817237896220581 0.28807931934129327 0.8349862598756057 -0.4688371269287495,18.237671672610087 -77.90985921606247 1099.4352108283963,0.69
51,532,12,1.0,0.9503724152165559 -0.3012568477899801 0.07769545710718295 -0.06918041149214237 -0.44811213601225347 -0.8912965747854718 0.3033254738086254 0.8416886747593676 -0.4467144856847516,20.871429334417122 -74.30328801342756 1089.5296219361637,0.69
51,546,12,1.0,0.9488095809558788 -0.30644572522457275 0.07649442187450693 -0.07684932265842702 -0.4588915984122448 -0.8851625175715447 0.3063569171624334 0.8339721328667051 -0.4589508916087738,32.0297504757845 -75.48793924166078 1092.3454707792732,0.69
51,553,12,1.0,0.9739441212628475 -0.22187095788474817 0.04696942308399892 -0.06389674776952285 -0.467172665956921 -0.8818542429490148 0.2176006761984377 0.8558755623512142 -0.46917690425677955,29.56496787273096 -72.71085881756296 1096.425674366046,0.69
51,571,12,1.0,0.9518486639220705 -0.2938385116366404 0.08742453928350799 -0.057978871439594945 -0.4525659975593691 -0.8898440696659639 0.30103583085134666 0.841928112686741 -0.44781076540362724,31.879754445379223 -66.55286890495593 1083.6607593351616,0.69
51,582,12,1.0,0.9437771194665429 -0.32018417292751455 0.08226083015723613 -0.06966454083948427 -0.4358770583323406 -0.8973059911586286 0.3231587853069415 0.8411262006537835 -0.4336762779455122,33.406612747818386 -46.52705789026364 1079.6334368919397,0.69
51,601,12,1.0,0.9571981604838568 -0.27638770129429685 0.08591577352020484 -0.048966486448158444 -0.44720248817157243 -0.8930913826580553 0.285261221990026 0.8506584350645146 -0.4415951336714979,40.45400691699969 -53.86940445354112 1077.1969090674843,0.69
51,611,12,1.0,0.9588202862418475 -0.2669642424876201 0.09692136980105966 -0.031004195508173085 -0.4376026755052191 -0.8986337620252011 0.28231613229143276 0.858623311833359 -0.4278593341558896,39.52259034848187 -57.545540278749655 1078.3950029483947,0.69
51,618,12,1.0,0.9651892202230047 -0.23953453948191716 0.1050379624730683 -0.00757858632460552 -0.4270378148420751 -0.9042020071445459 0.2614427933499569 0.8719299909339575 -0.413987628698347,38.0582963052837 -63.442185348264054 1072.9214212299528,0.69
51,636,12,1.0,0.9719511413825815 -0.21370888179004402 0.09818091774446609 -0.001058899635534355 -0.4214386482856744 -0.906856297581213 0.23518047856201538 0.8813160497660257 -0.4098440714810319,44.74996829353067 -51.16489472813998 1060.262066537573,0.69
51,637,12,1.0,0.9732059525233532 -0.2109405428362766 0.09151099038394479 -0.006181619291438941 -0.4218447248766915 -0.9066470182362287 0.2298520427493508 0.8817885888815108 -0.41184575141951535,45.99797907553158 -51.16378522666258 1061.9595100655033,0.69
51,649,12,1.0,0.9763692487910909 -0.193682770748914 0.09586487537229021 -0.0005659417370448217 -0.44588510181036517 -0.8950900265858802 0.21610823613428395 0.8738841229239629 -0.4354581150654385,33.0000567683416 -57.87447774845937 1075.164644710443,0.69
51,654,12,1.0,0.9799145032172869 -0.17739772388067104 0.09109123967964948 0.004547399253387827 -0.4367886164683159 -0.8995526808829618 0.19936621465145077 0.8818989466405159 -0.427208801840388,35.36008452090949 -57.670643052276205 1071.927894924431,0.69
51,669,12,1.0,0.9702713684162586 -0.2107047394625961 0.11906714240141932 0.014579996934663593 -0.44019064247699574 -0.8977859555401134 0.24157999776683822 0.8728320061980368 -0.42403230258470287,38.60048361704668 -45.640193044205006 1050.9158045555453,0.69
51,672,12,1.0,0.9738421638055008 -0.19824094842074166 0.11104938704857932 0.01947628259949157 -0.41409636076497786 -0.9100246581369682 0.22638929835733215 0.8883832114411246 -0.3994034992571158,43.19600769175761 -45.831059395079734 1049.3722602052671,0.69
51,675,12,1.0,0.976099520756128 -0.1945258131767972 0.09689908971483505 0.005855133697273122 -0.4221727250884089 -0.9064965017035725 0.2172451218993076 0.8853981580053873 -0.410943619991383,47.270964437602586 -48.61474657122531 1055.6152505127188,0.69
51,681,12,1.0,0.9706134299577601 -0.21832480219411085 0.10121190805698259 0.003842430633317311 -0.40647332195418895 -0.9136545705387539 0.24061339387586225 0.8871942962431786 -0.3936895673003165,47.80894561042971 -49.48385816036877 1050.9886277450266,0.69
