scene_id,im_id,obj_id,score,R,t,time
3,5,11,0.0,0.542894246362243 -0.10658997300320674 -0.8330092526028435 -0.8142855773226 0.1758366092196363 -0.5531911834280632 0.2054381557334768 0.9786317307921895 0.008666005741470037,-2.7350225249403635 -105.93125031191899 825.1120044246541,0.69
3,10,11,0.0,0.8426677895528811 -0.06941802959445048 -0.5339401966674594 -0.5185609554026361 0.16229656726181102 -0.8394964918252713 0.144932853356189 0.9842971916155486 0.10076460983786427,46.513218670614414 -92.55926869418137 819.3121751517215,0.69
3,16,11,0.0,0.9977450487562534 -0.028954065969887973 -0.06055146361726136 -0.0563501131972959 0.1287390184456851 -0.9900762242738148 0.03646206830437748 0.9912557324895794 0.12681715334099727,88.18118012016828 -51.68890361779213 792.5639395248076,0.69
3,24,11,0.0,0.7939517617636713 0.08206514648436947 0.6024167259670514 0.5851726064166091 0.1657031566902542 -0.7937981384221544 -0.16496551364438206 0.9827551961680918 0.08353803751980926,106.8150012178605 21.468567263375114 777.5733903587306,0.69
3,34,11,0.0,0.047494430615016014 0.09326724193344475 0.9945076674629937 0.9614288765056882 0.265774821283548 -0.07083967668410562 -0.2709221188488788 0.9595128795143015 -0.07704699581818633,53.6247160307706 101.10011884992666 752.4308723904362,0.69
3,41,11,0.0,-0.5326965511844843 0.04510852469129829 0.8451033104634786 0.808817253252977 0.321050517246732 0.4926877471745318 -0.24909643754270283 0.945987202014795 -0.2075070563324389,-14.214661950232927 118.65751500744219 750.7111463547199,0.69
3,46,11,0.0,-0.8404712785984887 0.025891202695207824 0.5412371711865487 0.5056502417952368 0.39647055045039564 0.7662433918788332 -0.19474563621154753 0.917682269769094 -0.3463140033668918,-62.09958704671283 105.75896812019498 750.8107894827928,0.69
3,55,11,0.0,-0.9769288261123472 -0.048600204733813115 -0.20796174843125081 -0.2094573999744994 0.4081065670333678 0.8885812441978292 0.04168532483589374 0.9116397589201948 -0.40887074198242057,-120.78904580873242 41.762878852290505 785.0454661018589,0.69
3,69,11,0.0,-0.13162753689182227 -0.11216062404694574 -0.9849335946880845 -0.9488902111555263 0.30176301958996193 0.09244699660437326 0.28684762279825965 0.9467624170938284 -0.1461484412289071,-80.76725131329275 -82.8858347093461 825.4523212434945,0.69
3,79,11,0.0,-0.6755404266958631 0.04460249829940101 -0.7359726550932603 0.6773057754775402 -0.3569232594675976 -0.6433215940381557 -0.29137950923896333 -0.9330682740274034 0.21090656129950788,13.96242278485602 -100.00985432029739 802.9148964432856,0.69
