scene_id,im_id,obj_id,score,R,t,time
2,3,8,0.8310856223106384,0.41787319050318195 0.9075736738476496 -0.041134209575138886 0.78491524478122 -0.38345618803298387 -0.4866923159135047 -0.45748230038847304 0.17108880266660662 -0.87260447307665,103.46689241123475 -88.75743709941503 1037.9979221390574,0.69
2,8,8,0.9386640191078186,0.4469297717627646 0.8856381174176349 0.12609085648464274 0.8617213870966447 -0.3883760798825846 -0.32649697026966523 -0.24018748954164465 0.2545764041540059 -0.9367501397468261,-73.11228928498032 23.34053774109966 1020.8949995539567,0.69
2,17,8,0.7675536274909973,0.28274052454909115 0.957078028519682 -0.06371375913084887 0.4717838694066423 -0.19659372037232004 -0.8595178239442546 -0.8351513493645336 0.2129613965840974 -0.5071189872402235,53.918250041121496 -32.957611848092625 1065.3935973424962,0.69
2,27,8,0.7845242619514465,0.358819647389244 0.9317979297900247 0.05478210188084043 0.4685018770655253 -0.12902872473273708 -0.8739894618242963 -0.8073131064423135 0.3392701080744777 -0.48284712066408186,210.10791970073882 42.45426626747846 1086.0328257578517,0.69
2,36,8,0.8937608599662781,0.39982673357681087 0.9155394616735174 0.04388709646198968 0.7806200966106 -0.3150299509409602 -0.5398040336805515 -0.48038614455972356 0.2500872330381988 -0.8406458992859851,108.21363480683311 14.660340189209723 1022.7139869395212,0.69
2,38,8,0.8779543042182922,0.6457252413472256 0.7563461149252187 0.10478295245217566 0.7253911915959933 -0.5647859853985482 -0.39347733079853076 -0.23842510740694256 0.33008687513277346 -0.9133433762956129,128.67534435058167 16.022261047924324 1024.9429274914326,0.69
2,39,8,0.8623614311218262,0.7015253279041327 0.7074245145249378 0.0860974480350914 0.6486374732585893 -0.5837981974984412 -0.488312495111772 -0.29518069481880427 0.3984096144004654 -0.8684112715525756,163.3255464344078 50.14072584034042 1015.3848519648557,0.69
2,41,8,0.8045649528503418,0.7395995079194666 0.6690581648121948 0.07316925572548097 0.5561820962790284 -0.5463356971578262 -0.6262417917943018 -0.37901720760929625 0.503863551082245 -0.7761877854146131,208.44176668666597 -16.04030105055557 1044.7417194197876,0.69
2,47,8,0.7636759877204895,0.7593423702482961 0.6496505996134552 0.03678672542613415 0.4616627334416134 -0.49804790351314465 -0.7340407388949061 -0.4585484546881796 0.5743712947458638 -0.6781083471503968,181.21933117441245 -96.52816283377534 1009.5206961149787,0.69
2,58,8,0.653087317943573,0.7614059529454129 0.5731466003111283 -0.3029256499061834 0.08123542683194779 -0.5479505296269409 -0.8325569184800441 -0.6431654376960247 0.6093054994281204 -0.463772603891099,99.40814707826848 -42.679867622465906 1074.2789415193313,0.69
2,61,8,0.7765102982521057,0.8269523204131541 0.4982683844915565 -0.2605349818728276 0.06815153813232977 -0.5487680186075212 -0.833192072456149 -0.5581265336941954 0.6712542579155454 -0.4877627431618292,217.1425600994941 -136.45368290904744 1057.540855536124,0.69
2,62,8,0.8069851994514465,0.9514773334157924 0.27653610590977856 -0.13497653916228808 0.06803766983926844 -0.6168363296173296 -0.7841452785976997 -0.3001029148122618 0.736912969483152 -0.6057206583308079,-24.05557442562884 -164.10745191359024 1121.1431528435858,0.69
2,64,8,0.6482493281364441,0.9507467447789992 0.2874805098960862 -0.11591196539625546 0.027533715951226168 -0.4507943920912214 -0.8922030657563464 -0.30874345625138944 0.8450676733191209 -0.4365067075463491,-10.710857767202189 -105.05316508153453 1140.014975029196,0.69
2,65,8,0.6030675172805786,0.7667084209834771 0.3727812006955765 -0.52267807836276 -0.3849825370663176 -0.3845516945866321 -0.8389925150706239 -0.5137573779003126 0.844484559123797 -0.151324770128626,221.352506525904 -14.214481775105646 1164.5826072663785,0.69
2,69,8,0.6617723107337952,0.7138113092427314 0.6911893842049879 -0.11283018195282352 -0.035320520596884286 -0.12537339601541575 -0.9914806969358136 -0.69944683545066 0.7117153551342639 -0.06507977907281126,113.15733021744713 92.54504473563132 1147.1210808036562,0.69
2,72,8,0.6830295324325562,0.6118282179028454 0.624986766705448 -0.4848275706072195 -0.09466222922161849 -0.5506778885621804 -0.8293328194443367 -0.7853058602459441 0.5533040795907517 -0.2777576306271512,41.359712450567315 -19.578600226704594 1150.2350031042176,0.69
2,79,8,0.7267909049987793,-0.23789958232615627 0.9571658663164369 -0.165037247576859 0.5945433971559317 0.009141332407196945 -0.8040115577155003 -0.7680637588295157 -0.28939581959753014 -0.5712513649630515,277.5197362486943 -29.071894934755512 1057.3073236714258,0.69
2,89,8,0.6153262853622437,0.11513559364121706 0.7849327272754527 -0.6087892974821454 0.20526368595396288 -0.6184374683074416 -0.7585525143469467 -0.971910805735525 -0.037625941123135276 -0.23232234987000466,45.75076286510277 -115.4212580473516 1108.6046699046128,0.69
2,96,8,0.5245844721794128,-0.011745103921528832 0.9873931238567792 -0.15785078870320596 0.06858939927509944 -0.1566943142967805 -0.985262597571908 -0.9975758351328254 -0.022398902370730778 -0.06588431020837215,202.61051546413563 68.18870460903192 1147.327219138249,0.69
2,97,8,0.7159236073493958,-0.18137155315390685 0.9716769404538275 -0.15148690734459072 0.7983363577848122 0.05552973602117339 -0.5996461525402287 -0.5742503108796895 -0.22969625989055165 -0.7857965440537851,336.6900373386349 -155.97738551680487 947.8074829151448,0.69
2,102,8,0.7647489309310913,-0.37268638162119516 0.9207904259127336 -0.11510800363809787 0.8141419594545319 0.26492725136809125 -0.5167072878701091 -0.44528387665582153 -0.28628402510443235 -0.8483889003047889,249.42092439265298 -127.88316567687288 969.868860879535,0.69
2,107,8,0.6896854043006897,-0.4356954610876693 0.8997706766413288 -0.02412870995326713 0.8314823098065885 0.3920734267946858 -0.3935931865266121 -0.344683381766954 -0.19154936036927306 -0.9189680129775026,109.40220669949115 -27.715243782078364 975.7180795736857,0.69
2,110,8,0.8298454880714417,-0.1880542234513014 0.9704856595066319 -0.15097414922464775 0.6709232838976423 0.014673586530459248 -0.7413815704361264 -0.717284850088256 -0.24071200749092525 -0.6538808555719897,224.4360464508586 -33.023390972111486 1002.9670914106945,0.69
2,115,8,0.7753256559371948,-0.1059434972115354 0.9800662380099003 -0.1680658933624284 0.2891785178776805 -0.131345332139571 -0.9482215925210805 -0.9513946395669137 -0.1490589575915099 -0.2694989183003804,167.69383721636385 -95.79693686634123 1037.575550861889,0.69
2,119,8,0.7896001935005188,0.38074332866960425 0.899732219183749 -0.21334584935328804 0.6680570850139224 -0.4271772631077213 -0.6092777010908059 -0.6393232741237335 0.08945121377870052 -0.7637173767286081,304.2991194194225 -138.557576545278 866.1073423830649,0.69
2,124,8,0.8877515196800232,0.413215566955233 0.9088921357723003 -0.05628481817623513 0.8971428407379225 -0.4169153020428109 -0.14600121312935116 -0.15616535639685256 0.009834452390351606 -0.9876819655170515,170.61844490299836 -52.998051255960064 907.8314333462333,0.69
2,126,8,0.8063552975654602,0.574085598615329 0.8179513586508611 -0.03716584915873623 0.7681270699379408 -0.5537247824462619 -0.3215115390361506 -0.2835604519164005 0.15602704953324875 -0.9461760036710487,233.1191889196999 -124.64653976851238 928.6258695289016,0.69
2,136,8,0.8612490296363831,0.18253118068482743 0.8664959387661654 0.46461506236834893 0.7853242807992421 0.15583271843374336 -0.5991510142298876 -0.5915641487319496 0.4742372317388118 -0.6520359698419655,61.015890726872804 14.922646227388885 1032.9616863464623,0.69
2,153,8,0.5959164500236511,-0.2382504319427099 0.9518661209499688 -0.19284091751174642 0.6112584200562166 -0.007334180876174212 -0.7913970897730506 -0.7547184081427261 -0.3064263330370539 -0.5800888094352232,396.8603965647195 -141.03939668487106 925.0207353594152,0.69
2,156,8,0.8098502159118652,-0.13520190500116902 0.9906427722476843 0.01863713168590847 0.5768570241457067 0.09399421971847766 -0.8114191643985704 -0.8055783131253067 -0.09895445645819845 -0.5841674391552889,113.94045223549445 -11.090736564579558 963.0865368168888,0.69
2,162,8,0.8759044408798218,0.9553732890177361 0.29191870138534326 0.0452255504436156 0.2757610824765321 -0.8264476130637959 -0.49085656586474014 -0.10591366306008176 0.4814226985120762 -0.8700657913827818,143.27274995186687 -134.8360343168435 1078.9509994783643,0.69
2,166,8,0.8381350040435791,0.993638453070661 -0.10851809394258376 0.030107272649848967 -0.0654928158548266 -0.7743051907362737 -0.6294141424136166 0.09161504052692195 0.6234382847451152 -0.7764865674712724,17.624884586696353 -155.3823349920719 1015.8305561764815,0.69
2,175,8,0.7202633619308472,0.9893436347079795 0.13879626420601454 0.04398601488266883 0.1454596836569399 -0.9554415271880075 -0.25685203630703585 0.006375962141287356 0.26051311899231117 -0.965449253943298,88.40935061620065 -99.82601991318288 933.7532367473691,0.69
2,176,8,0.7253402471542358,0.9851193135030902 0.16444969679602148 0.04996233968597598 0.17170245063850212 -0.9287446570883271 -0.328559934219951 -0.0076293255228094235 0.332249393007094 -0.9431607149571513,57.084967780831704 -188.35549299582604 963.7562013518642,0.69
2,178,8,0.5225452184677124,-0.29074850346232495 0.5992023040510636 0.7459369320219471 0.6942750534740284 0.6685726822350224 -0.2664445884094901 -0.6583672666969806 0.4404170380320957 -0.6103977185024385,-230.8294717653789 -480.55673421559396 1202.887699821987,0.69
2,203,8,0.8454602956771851,0.44591379874137715 0.8813656786184039 -0.15606224606084268 0.842965649650099 -0.47214387543898395 -0.25785475445576816 -0.3009481643107685 -0.01657411955363515 -0.9534964609053365,303.5825439341015 -91.5711687874114 829.4194881628056,0.69
2,207,8,0.7644917964935303,0.001707713912357689 0.861886566859884 -0.5070982445046291 0.7308999125158978 -0.34716248368037395 -0.5875912931699441 -0.6824825284191872 -0.36963462471927205 -0.6305456705197463,273.1769053566546 -144.42199029147227 788.1379340169585,0.69
2,217,8,0.6314078569412231,0.3625666397371059 0.9025763165167668 -0.23216680342540136 0.19458995038427623 -0.3169426374407629 -0.9282683425505461 -0.911416580362234 0.2913818069734594 -0.2905451076953338,152.27564484194454 -3.4509561265298174 940.6663468480206,0.69
2,219,8,0.4622230529785156,0.23280060114376822 0.9550464774317919 -0.18354864764477485 0.09774043423140144 -0.21075502183622907 -0.9726402872013207 -0.9676004793422527 0.20849111903372797 -0.14241055319289564,185.32029280814965 -31.219003890570043 883.2169767597989,0.69
2,221,8,0.5883239507675171,0.11733607300579052 0.9768603464082127 -0.17881864999715974 0.20713939705912654 -0.20017600742763086 -0.9576130931834188 -0.9712494613422247 0.075322172469732 -0.22583412978750284,129.8275989221545 -0.4965090134547978 903.77991220749,0.69
2,224,8,0.774381697177887,0.1758313654169632 0.8530315498475203 0.4913456073888766 0.6064479882275 0.2993005007999724 -0.7366410576364204 -0.7754380494342694 0.427500158111811 -0.4646928515739752,230.0839541617629 -15.150410024483058 878.5846151134141,0.69
2,243,8,0.8292993903160095,0.971099028738782 0.22518140206130063 -0.07912024107838146 0.09819596673935968 -0.6790772173022679 -0.7274693705284994 -0.2175413259560512 0.698675510596096 -0.6815631316280011,106.6124803394452 -265.10112747688953 978.5228122301937,0.69
2,248,8,0.5733171701431274,0.8060779649621996 0.5006834222713349 0.31552246364571745 0.3880995147276598 -0.04471881936728184 -0.9205319081175578 -0.44678527400816825 0.8644746022047503 -0.23036184812677996,241.12612725869195 -0.6294084077987776 1033.1593897917544,0.69
2,249,8,0.8317385315895081,0.9425891698103342 0.3269886568831589 -0.06785333614504606 0.19121277913369014 -0.695021143525058 -0.6930968786173339 -0.27379432070851195 0.64033118643626 -0.717643812503735,66.05789567720579 -90.30525701378704 959.7176328491247,0.69
2,254,8,0.8336874842643738,0.9943179245398681 -0.06659117358164687 0.08305107187597413 -0.009042061020765487 -0.8301932779835577 -0.5574023343361711 0.10606651720135812 0.5534841793510767 -0.8260781785865303,24.90260412157702 -255.06345980700058 931.481679247664,0.69
2,258,8,0.5977457165718079,-0.13329331112349463 0.9615513013653627 -0.24010828401434398 0.3440094159594455 -0.18231848876497825 -0.9210958095582109 -0.9294570538443272 -0.20537542086878857 -0.30648086655122775,271.56981272301044 1.9274016272876562 875.3820165258834,0.69
2,263,8,0.8221530318260193,-0.28498442757007325 0.9559053332934484 -0.07091452477242594 0.40045568740717513 0.051517962519888716 -0.9148667345362637 -0.8708726189666343 -0.2891208974096141 -0.39747954439851974,184.01417453618416 -21.301646040547837 850.6897459783058,0.69
2,266,8,0.8614754676818848,0.8670191719763349 0.4981849744429774 -0.009459739146538498 0.4454852859148508 -0.783527958019657 -0.43315909206076936 -0.22320532130492357 0.37134306273417367 -0.9012678371607239,187.15905380318333 -197.08708367889264 820.008429973463,0.69
2,268,8,0.7445778250694275,0.7297178560499886 0.6778057963214681 -0.08995083676558303 0.6305759120935555 -0.7179852241137528 -0.29473926959552776 -0.26435935702976127 0.15835567696595207 -0.9513346466535666,181.29638964554653 -182.59829257807382 761.6411161998783,0.69
2,277,8,0.7481694221496582,0.3256028481861082 0.9421068514050058 -0.08010908680568646 0.5701604779994255 -0.2632275391360568 -0.7782212358756623 -0.7542544760096299 0.20771601569480125 -0.6228597291873323,213.75880533119062 -57.48233314933424 751.8858958821592,0.69
2,283,8,0.7499298453330994,0.5259908388954966 0.5890851747918955 -0.6134429836899383 0.029315058802439842 -0.7334106875139736 -0.6791534368371335 -0.8499848614683801 0.3392453688419088 -0.40303636931906794,122.54932268031922 -170.41254267565188 890.6337373213905,0.69
