scene_id,im_id,obj_id,score,R,t,time
8,1,19,0.838842511177063,-0.027164451456980654 -0.9971551920168876 -0.07031084987969966 -0.9654922085996386 0.04439652506164782 -0.256619842755471 0.259011365986965 0.06091364047743984 -0.9639515759068771,-7.191268247069926 -65.25685807604958 724.7309360270657,0.69
8,12,19,0.7045113444328308,0.8071001766637241 -0.5872641533807121 -0.06091074604222674 -0.5708422914421125 -0.7498380840698231 -0.3344875572866882 0.15075935503478255 0.3047353964220969 -0.9404296651196007,43.44536111109743 -40.56525956229248 733.1896046691203,0.69
8,18,19,0.7549817562103271,0.9923194824704443 -0.10463841206614759 -0.06597611257011568 -0.12131488426047556 -0.9274641792128748 -0.35368473975258813 -0.024181471552759078 0.35897214236938174 -0.9330349711754,53.97441237470732 -11.246769501546975 719.3522655136829,0.69
8,25,19,0.7917062044143677,0.8767046796639444 0.48087952580754384 0.01199109313000421 0.441279683526601 -0.7940867347365921 -0.41796949484626306 -0.19147100449416216 0.37172723787004 -0.9083819213654065,44.383812050350656 24.393966776880674 698.5603274693672,0.69
8,34,19,0.8143607378005981,0.28635016301802474 0.9560884290678195 0.062437968754434914 0.905774637215212 -0.24888311506974814 -0.34297157551439994 -0.3123713986862463 0.15476469505610027 -0.9372683705572225,7.053856957791726 51.02693771227311 700.487488021267,0.69
8,46,19,0.7686896324157715,-0.7001193820419498 0.7134576474593018 0.028478696793165198 0.6847251902587658 0.6821635885440687 -0.25652339520943407 -0.20244570806587958 -0.1600969198533101 -0.966118373461134,-51.669929011527174 34.218085112068685 705.182948670099,0.69
8,52,19,0.7176271080970764,-0.9576153774871785 0.2878935546363565 0.009491575155442827 0.27264720328212116 0.9165478150021227 -0.29258093813041264 -0.09293164876685397 -0.27759215409243443 -0.9561936543628575,-67.31309238151366 8.957480183664403 708.9439953927697,0.69
8,58,19,0.7191206216812134,-0.974234601867118 -0.22549486100703145 0.004359837638891636 -0.2173339686071262 0.9334590886074575 -0.2853420333312488 0.060273432076617395 -0.2789376230549661 -0.9584158365918996,-66.14880588270725 -21.12007614213217 708.6378058265901,0.69
8,68,19,0.7443179488182068,-0.4436379137810267 -0.8938268535166455 -0.06526068792582708 -0.8685042229515793 0.4467486166202089 -0.21474656752368243 0.22110137080373932 -0.03859053615153683 -0.9744870211286782,-32.846643978780236 -60.1835674736742 724.9624999811457,0.69
8,84,19,0.7658601403236389,0.7698150556035203 -0.6362437943497764 -0.05078005826649436 -0.5683371097779929 -0.6470918023546968 -0.5081979230325012 0.2904784154035318 0.42007860392639584 -0.8597419710051986,41.52055340659058 -57.120083543789036 741.4285548023776,0.69
