scene_id,im_id,obj_id,score,R,t,time
1,0,1,0.9111372232437134,0.9927620423235659 0.08260515762285127 -0.087177492827256 -0.0814590985674301 -0.07024055954036745 -0.9941985108900725 -0.08824932057599129 0.9941039441273533 -0.0630032196662671,143.4148484088768 -131.44772083980087 1162.130245617658,0.69
1,65,1,0.9218217730522156,0.9928658345441875 0.060845983710859 -0.10254365344150757 -0.02844109661066273 -0.7143262521985154 -0.6992346597842575 -0.11579524436891644 0.697162657983258 -0.7074996040248094,135.47490302430955 -196.58252481576883 1361.0280095322414,0.69
1,102,1,0.8676697611808777,0.9906356158961974 -0.04403840768726515 -0.129235038462221 -0.06313488572055935 -0.9870283626611223 -0.14761096675910115 -0.12105809647856448 0.15438792035283974 -0.9805658097884671,123.87900723309272 -196.8179855475023 1443.3500455537248,0.69
1,112,1,0.7131811380386353,0.9819117668883753 -0.1351571086461748 -0.13259652344068074 -0.13503611433949536 -0.9907907529281612 0.009946443391423143 -0.1327197418255462 0.008138789495627834 -0.9911201896012949,122.18972189687729 -183.17144001129842 1435.933964847258,0.69
1,169,1,0.7422794103622437,0.34122785759924434 -0.9395088250604893 -0.029777790913512542 -0.9184452422020459 -0.3399850638240196 0.20215957423036646 -0.2000547082041692 -0.04163320802000048 -0.9788997853280534,119.71275478465668 -140.51282002618674 1375.0077652897905,0.69
1,193,1,0.7485335469245911,0.10057680223056553 -0.9924406614282281 -0.07032666917304688 -0.9939366994725175 -0.10338177738342336 0.037443898658166025 -0.04443134360732741 0.06613426985267014 -0.9968210040204322,128.90184305117566 -160.37898402303892 1396.9640181663092,0.69
1,277,1,0.8746035695075989,-0.038715836583853136 -0.9954046137707835 -0.08758275447512642 -0.6509660934966439 0.09162235430427157 -0.7535572236462613 0.7581188753192546 0.027838805211078232 -0.6515218889715748,170.5627272206477 -146.66410480268155 1224.0945584513886,0.69
1,315,1,0.9501376152038574,0.15301465367348255 -0.987114286058262 -0.0468177532659555 -0.5269053645056367 -0.04141362129014281 -0.8489143942865022 0.8360366335372909 0.15456486739011666 -0.526452703623326,190.73588630123766 -89.57428729856447 1087.7844173516614,0.69
1,384,1,0.954412579536438,0.8867319559403156 -0.45598799929900946 -0.07603540497392516 -0.22677801111427653 -0.2857438478775689 -0.9310865626112182 0.40283764966710267 0.8428673667282459 -0.3567862526993961,220.69583651575772 -62.98782533927627 889.5760573018728,0.69
1,436,1,0.9464865922927856,0.9916185091471676 -0.08480879940483775 0.09746896870419114 0.09321474383449808 -0.05276296409870285 -0.9942469920253156 0.08946364540201512 0.9949992649057733 -0.04441530128630777,144.26151931129243 -20.258353002008604 842.0618627625378,0.69
1,457,1,0.9416871070861816,0.9937282789782037 0.015215866642861162 0.1107816995777013 0.10941429664896983 -0.33677512895413697 -0.9352064072742104 0.023078545184405094 0.9414621553308619 -0.3363278026448904,97.07720761084619 -3.8500296157502607 845.2599886568439,0.69
1,522,1,0.8845295310020447,0.991359057329385 -0.07385259140669245 0.10841131948975305 -0.03677873649918079 -0.9497947740021628 -0.3107043801102667 0.12591482832659942 0.3040323700211828 -0.9443038568102888,-7.3757469955369 84.94799501121437 858.4775408397259,0.69
1,563,1,0.8588151931762695,0.9742641398898026 -0.0653705469884998 0.2157222225715457 -0.04217069743430157 -0.9929865409248784 -0.11045072122874335 0.22142948765394313 0.0985110203402103 -0.9701878997744937,-76.8498822888646 94.93298007097982 894.2433978076356,0.69
1,599,1,0.9402170181274414,0.8988970661050523 -0.38395735208130993 0.21109433040808617 -0.35885106336098466 -0.9215643453189257 -0.14813869096758764 0.25141594792777133 0.05741000975099077 -0.9661749903138517,-59.679942787216646 52.84123580199868 909.4005705520551,0.69
1,655,1,0.9339731931686401,0.9193649222317819 -0.3747144515689082 -0.11982161555897186 -0.34757709757324945 -0.6310059243766686 -0.6935572684675013 0.18427778219933494 0.6792794735504366 -0.7103668740874225,-57.76040441306323 5.941103670957393 976.811049618722,0.69
1,658,1,0.9583914279937744,0.9168590401445157 -0.372736712058827 -0.14295749014603085 -0.3514163945860545 -0.5836623544511779 -0.7320141894885963 0.18940965688532316 0.7213914329128697 -0.6661218975521683,-52.13850804315426 0.10666436205069019 978.6287291695041,0.69
1,725,1,0.9355212450027466,0.8747084734429785 -0.4844825065777906 -0.012719563953034613 -0.4226843796893879 -0.7497692031949204 -0.5091012248139383 0.23711390016962647 0.45069151618435843 -0.8606126629243804,146.42553560115164 -70.32664939363343 1059.1877705090917,0.69
1,768,1,0.8911837935447693,0.5724092054149099 -0.8171675631966838 0.06771170663530067 -0.7778452609893246 -0.5672763234194731 -0.27047055818357524 0.2594310149398504 0.10215060717821949 -0.9603441060059672,114.82239958699171 -45.79088014293968 1163.0547913726155,0.69
1,827,1,0.8087536692619324,0.2509877786069096 -0.9673828589589617 -0.034286136882925033 -0.7321825454590623 -0.16655793681697273 -0.6604295373530485 0.6331775857648921 0.19086345348352862 -0.7501048506770793,214.36871544704871 -88.02630949627223 1405.7795207729678,0.69
1,954,1,0.880694568157196,0.996663615578839 -0.0794816454714304 -0.018555468586647854 -0.02749368434830572 -0.11288326407502969 -0.9932278016712597 0.07684877814430074 0.9904241701033558 -0.11469188538343533,81.77997266528625 -256.0309578600665 1648.5622428178326,0.69
1,999,1,0.8136982321739197,0.374885072353632 0.9261005109986788 0.04241492725913942 0.09663515226584818 0.006466309989780483 -0.9952988667639848 -0.9220210571743839 0.37722146063433626 -0.08706974080545726,61.65420488346278 -282.6163292410975 1647.1659982533317,0.69
1,1020,1,0.5965418219566345,0.032861261656722096 0.9985459652615996 0.04273280639168775 0.19089330486370942 0.03569814770745039 -0.9809614612248885 -0.9810605912177596 0.04039303789068205 -0.18944265319463494,55.64081164516664 -284.862696463908 1682.6826382714808,0.69
1,1053,1,0.8493030071258545,-0.034649577908424156 0.9991231155430914 -0.023503334619471627 0.7574859240111135 0.010914095114332723 -0.6527602603198708 -0.6519313473639676 -0.04042131263704918 -0.7571998651669853,49.60039891650425 -241.02617519269018 1650.266827136079,0.69
1,1058,1,0.8540058732032776,-0.042978094800351974 0.998445444516285 -0.03549052961016519 0.7937763301188058 0.012553420434992857 -0.6080802162367258 -0.6066893942623793 -0.05430567152757021 -0.7930818828655002,47.99429283826651 -235.2921124534164 1606.7165590041163,0.69
1,1084,1,0.8207644820213318,0.06960154834341858 0.9951333750240852 0.06975091670632215 0.9582075693242262 -0.04724269881198495 -0.2821460286779142 -0.27747770821807843 0.08647365681023095 -0.956832497420478,65.7346171800297 -199.4913033862853 1575.8721993665097,0.69
1,1161,1,0.9318985939025879,0.9658333715273103 0.25785741791070116 -0.025989430017116955 -0.019269052866329364 -0.028555742262943884 -0.9994064604481234 -0.25844651679955605 0.9657609029217522 -0.02261142060858745,168.87700757382711 80.76176450699913 914.9760010614655,0.69
1,1166,1,0.9525086879730225,0.9718850353508214 0.23417617550751307 -0.024515237828890035 -0.006650936354677464 -0.07677294340724394 -0.9970264190111485 -0.23536194065043448 0.9691581057728728 -0.07305698397825355,191.7523584266495 73.39288191534938 911.8353352647287,0.69
1,1193,1,0.9482490420341492,0.6701247244403552 0.740446795459154 -0.05168555686076759 -0.10308108583650777 0.023879874392101708 -0.9943862636530052 -0.7350558777647482 0.671690624241017 0.09232855392676964,222.32346717744005 40.292159193326675 944.3234308140749,0.69
1,1237,1,0.8236010074615479,0.06595318063625755 0.9976545941349202 0.018316352405680636 -0.09739335165386392 0.02470500329709513 -0.9949392935580128 -0.9930582626500764 0.06383551999927956 0.0987942982607477,211.06624499685128 44.77645086705817 935.2776215429841,0.69
1,1241,1,0.7843164205551147,-0.00047573464337946625 0.9998776741485671 0.0156336309218707 -0.09416285598278856 0.015519378369458048 -0.9954358369318388 -0.995556693629104 -0.0019456706498741094 0.09414395432532296,204.32488918714344 35.623958278041 925.0405416614186,0.69
1,1257,1,0.8761798143386841,-0.47160267697694747 0.875968167049585 0.10134438999750983 -0.0910856470864525 0.06592192129464658 -0.9936587468480639 -0.877094248050356 -0.4778431443566108 0.04869917276882607,208.72212803687134 36.35291459212279 928.2237801187852,0.69
1,1304,1,0.91468346118927,-0.9993650742966851 -0.014043280914295853 0.03274499255067499 -0.03172058953870807 -0.06783345013272979 -0.9971922719528102 0.016225057019881032 -0.9975978194163481 0.0673449197820366,176.79978841657334 32.08963012710697 983.7729037044962,0.69
1,1347,1,0.9146817326545715,-0.9995016131906072 -0.007896260310525201 -0.030564265122565454 0.019693647691186148 0.600726571932543 -0.799211953123069 0.02467155183585915 -0.7994155582969871 -0.6002716715644065,167.85744779583314 94.81217963815433 919.6802229451868,0.69
1,1387,1,0.9153278470039368,-0.99685944454568 0.009486150233490313 -0.0786209944851016 0.04847224978277263 0.8581839255128505 -0.5110487168483556 0.06262338877029272 -0.513254676496086 -0.8559485663483661,142.16037156766063 149.71272413360364 896.5627970852504,0.69
1,1436,1,0.9464293718338013,-0.9987268460810887 -0.03150133303833669 -0.03939991032640803 -0.0028760535900808105 0.8153362114855472 -0.5789806478252464 0.05036283582829882 -0.5781302000909507 -0.8143887625146413,128.58395252166187 64.80199443094443 921.750544765468,0.69
1,1524,1,0.9447839260101318,-0.9886566312663305 -0.0849262042084773 -0.12387738006533427 0.08536091170031476 0.36090870354788984 -0.9286863961839177 0.12357823516623925 -0.9287262500554841 -0.3495654048258727,128.92433915469744 -52.74112643933836 985.54668277936,0.69
1,1594,1,0.8965806365013123,-0.9017600351971675 0.4258250062824607 -0.07417481341901763 0.14288118981997294 0.13170594721878903 -0.9809375663429507 -0.40793848128956 -0.8951684799476265 -0.17960954315242716,133.67554566340579 -119.19208188551676 1038.5015484039418,0.69
1,1705,1,0.8463939428329468,-0.952606342754079 0.29218265356852 -0.08467852560335062 0.10325799291451701 0.04873490605873676 -0.9934599618659586 -0.2861449678816048 -0.9551199955424997 -0.07659537499700031,222.38429878567598 -190.94913685834456 1261.2457296058908,0.69
1,1748,1,0.828120768070221,-0.9859480838023391 0.1576164191726238 -0.055348355474175576 0.0729001144817444 0.10784613235595486 -0.9914911926206962 -0.15030618535191595 -0.981593742921715 -0.11782094254373421,246.09020084510894 -225.74976430938082 1468.248911428268,0.69
1,1767,1,0.8545441031455994,-0.9953872073965866 -0.0022104172828965457 -0.09591361429255388 0.09568912542130138 0.049245390690512814 -0.9941923771443056 0.006920883421339757 -0.9987842637682945 -0.048806719019967026,239.45863468600584 -231.80377929624348 1541.8840370557132,0.69
1,1788,1,0.883101761341095,-0.9449487858632688 -0.312337579183807 -0.09755525985375607 0.09010745282793528 0.03822749556176397 -0.9951981237562383 0.3145670660453764 -0.9492017147122495 -0.00797908183498608,227.3721506726503 -271.06787289444424 1575.4584499659802,0.69
1,1835,1,0.9065819978713989,-0.6179328754017499 -0.7778730527275222 -0.11433492615159546 -0.0017277485099710943 0.146764696914101 -0.9891699240397468 0.7862289592623841 -0.6110430734245152 -0.09203470017939352,181.30135179493413 -304.509960810087 1615.2909770280226,0.69
1,1847,1,0.8243943452835083,-0.407376692230228 -0.908350771803834 -0.09456799665287235 -0.06018892925390412 0.13002882035022645 -0.9896816653215301 0.9112746695825726 -0.3974812967193652 -0.1076433710707041,176.44223077234173 -311.92992956401906 1611.0438199867895,0.69
1,1861,1,0.8371340036392212,-0.3726202831780183 -0.9199376367289964 -0.12193797232118492 -0.21880368228591857 0.21479225504323507 -0.9518346683072457 0.9018198673695628 -0.32799242628894765 -0.28132169328836554,166.52946000911354 -302.41346368347916 1557.8189293812175,0.69
1,1867,1,0.8530029654502869,-0.43687012696573846 -0.889781617778838 -0.13203471069311257 -0.23383412915641294 0.25407221151050685 -0.9384928936224411 0.8686000761032675 -0.37912528799993594 -0.31905786903376,163.49845004523993 -301.1294741977673 1557.77023344923,0.69
1,1921,1,0.8623049259185791,-0.3881392486200719 -0.9197087152302772 -0.05902374784880984 -0.8164512557823578 0.3728569922387721 -0.44089115467433415 0.4274988545154921 -0.12293714844638978 -0.8956177683140356,105.40159085279423 -291.09605394163225 1390.5082647000495,0.69
1,1936,1,0.6978329420089722,-0.31882993286429606 -0.9476852147875652 -0.0154986316426663 -0.9466956122694308 0.3192052399051829 -0.04330626429146327 0.04598795080840178 0.0008651532356416525 -0.998941619860902,95.76737878753299 -296.08062840715985 1391.980306805451,0.69
1,1970,1,0.7830057740211487,-0.2535931089401968 -0.9672690670513481 0.00900483334994312 -0.9263770218197279 0.2455306297350388 0.2855526629298467 -0.2784172202692515 0.06407231685782863 -0.9583207133679275,90.51139474676319 -333.92056516285425 1381.224095760712,0.69
1,1983,1,0.8468489050865173,-0.5091477365163957 -0.8604601455176603 -0.019414437307275153 -0.8574853591966295 0.5090707926451921 -0.07460420121563681 0.0740772648230106 -0.021336964435525935 -0.9970242187555018,90.88222961408569 -316.30976022885636 1392.1388190176679,0.69
1,2007,1,0.9342069625854492,-0.6974392395311608 -0.7086189972816843 -0.1069468272259477 -0.48431934351205325 0.576057623284507 -0.6584773254682798 0.5282170772156558 -0.4074515079703417 -0.7449630782733092,71.41227855640597 -300.7458330276925 1333.2273438696272,0.69
1,2030,1,0.8647913932800293,0.9787433183266058 0.17039145351070434 -0.1141414447145902 -0.10279159774532809 -0.07403717651624664 -0.9919437403030804 -0.17746944600123998 0.9825910894487146 -0.054948582074529684,359.01745719775283 -141.20883714441035 1622.6149667427408,0.69
1,2080,1,0.8462403416633606,0.6113977038298299 -0.7911980446134835 -0.014089072056450713 -0.011732195303692738 0.008739312592780824 -0.9998929842781986 0.7912365027884948 0.6114975704082609 -0.003939294331027909,309.3512393209171 -138.25927327267726 1662.9366919969993,0.69
1,2108,1,0.8302581310272217,0.22337481053086927 -0.9724151411883786 -0.0671750489980048 -0.0437196612164798 0.058851822815477406 -0.9973089060940007 0.9737516548090766 0.2257105583238893 -0.029367645763727968,280.7364562118206 -130.81674619490175 1640.407293888612,0.69
1,2124,1,0.8826019167900085,0.20571775875374565 -0.9769455496196037 -0.05707536081170794 -0.3873500428590192 -0.02772820299917389 -0.9215156488392116 0.8986880148474509 0.21168027739231549 -0.3841240842913405,256.5966256912115 -139.1879887639257 1650.4042355835295,0.69
1,2214,1,0.8817740678787231,0.4319118646065764 -0.8483335722570329 -0.3062389449330248 -0.5899907848080519 -0.008933721709677878 -0.8073605529489246 0.6821752084718775 0.5293867572937917 -0.5043675704764483,-47.88000537691341 -91.56965972413053 1582.1336299280938,0.69
1,2264,1,0.9193894267082214,0.8753772427179046 -0.3930226252588499 -0.28151003350900367 -0.33557994362395216 -0.07483381064424632 -0.939034611833774 0.34799537980976675 0.9164786504982554 -0.19739832525113665,-66.35853195296853 -91.49459329433402 1607.8915417638984,0.69
1,2295,1,0.912771999835968,0.9938758393135777 -0.06758795406927944 -0.08742244845267347 -0.10493572089285845 -0.3293328990732509 -0.9383647137806835 0.03463106278224058 0.9417917551416221 -0.3344084021639344,-44.858558257950264 -117.40217013224206 1628.421379204056,0.69
1,2313,1,0.8892537355422974,0.979267487497412 0.11171639581075513 -0.16898116710912106 -0.024807918144573365 -0.7617634263290589 -0.6473801429645065 -0.20104664913357337 0.6381503970181852 -0.7431987053659974,-67.67397935861966 -99.17000457906798 1619.9628458486793,0.69
1,2326,1,0.7741053104400635,0.9800275138908086 0.10159274827317652 -0.17095316760827797 0.008832356846436192 -0.881046117768324 -0.4729479123940631 -0.19866570285164523 0.46199204740305666 -0.8643467398253979,-79.88380717090966 -86.14762554062003 1604.1940136492972,0.69
1,2349,1,0.7293798923492432,0.9866035972819843 0.05585835365580474 -0.1532748712513279 0.029659733759028892 -0.9853124842029417 -0.16816542054528266 -0.16041708769202742 0.16136651697514975 -0.9737695852591195,-95.10881886945296 -61.66482143442006 1589.4832357766575,0.69
1,2379,1,0.9292532205581665,0.649164072636978 -0.7560079054955408 -0.08389310833207973 -0.7543988658179955 -0.6540116402884228 0.05613488772385121 -0.09730548828249387 0.026848113443832408 -0.9948923664168972,-119.69716895379004 -43.46478127462014 1595.1456619546127,0.69
1,2411,1,0.8802109360694885,-0.12292590099877065 -0.9891385615149718 -0.08058615878507056 -0.9923888448581958 0.1219175653708825 0.017334585517178723 -0.007321438701253277 0.08210367457141474 -0.9965969010373326,-145.44333866731844 -40.222826941748366 1574.5143957886223,0.69
1,2474,1,0.8700661659240723,0.0936393625574854 -0.9936844852701616 -0.06182890515933248 -0.1999935246757727 0.042062319787234514 -0.9788939428466586 0.9753123909125675 0.10402838548920357 -0.19479177381224466,-102.20209395954629 -98.62269086774904 1544.388492789614,0.69
1,2500,1,0.8894385695457458,-0.09412146839989055 -0.990974442140084 -0.09545053279787341 -0.09909091187456986 0.10472507357835137 -0.9895522473057576 0.9906170503126397 -0.08367983024097464 -0.10805343881953533,-151.58151788027232 -88.56933134724335 1508.2021510872682,0.69
1,2533,1,0.87849360704422,-0.5711155921494206 -0.8197050258096019 -0.043710994798758396 0.005110857872841212 0.04969777872365411 -0.9987512252416709 0.8208537382113947 -0.5706257980957529 -0.02419378043970455,-176.766686678877 -59.82547323370743 1462.3498556500583,0.69
1,2646,1,0.9290794730186462,-0.7831476536070066 -0.6120646154701311 -0.10980281935925407 0.06730992105537004 0.09210207002113846 -0.9934719841169862 0.6181821148960558 -0.7854260723882432 -0.030931499081322977,-243.59107319339873 -52.1361623055544 1029.3299284225577,0.69
1,2676,1,0.9017850756645203,-0.7617086356325733 -0.6389193499374899 -0.10761978757746721 0.08782090582240115 0.06275763533236367 -0.9941574159598786 0.6419403733239535 -0.7667095561442713 0.008307443274428672,-204.30812562063406 -42.31857293281099 1092.0258686180648,0.69
1,2758,1,0.9064672589302063,-0.7232942410890497 -0.6592143139851576 -0.20562570132280283 -0.36738947434844826 0.6194925048229976 -0.6937247369137844 0.584696857307603 -0.42622238878924046 -0.6902637614342846,-70.6109871183732 13.391456500364392 1036.359245316334,0.69
1,2778,1,0.8734368681907654,-0.9077792111007641 -0.2587640007699533 -0.33011830576143814 -0.11884012277728163 0.9134487252761 -0.38921517379175835 0.4022610211188195 -0.3140901434254116 -0.8599613088339786,-64.44244652513694 82.6225464245871 984.6304335236905,0.69
1,2821,1,0.9336848258972168,-0.9986575547696876 -0.029779477527442245 -0.04238243763188985 -0.014945209389259455 0.9490734319220455 -0.31470027253884225 0.04959565523047015 -0.3136443902541587 -0.9482444133472958,28.951184981470412 94.03377577566036 938.9130537233558,0.69
1,2823,1,0.9411916136741638,-0.9997070304135087 -0.010829066861312646 -0.0216468162258946 -0.003852448923133515 0.9541217719241144 -0.29939405969003957 0.023895856944229493 -0.29922295308231545 -0.9538839616900998,33.77819297391158 96.4695406790475 944.7293070025594,0.69
1,2865,1,0.9156869053840637,-0.6430109066000755 0.7554528349753349 -0.1258093324085267 0.7609770229667037 0.6117190473743096 -0.21613370305484597 -0.08631885373475875 -0.23471433958579702 -0.9682242685879761,130.41510370495027 110.5403044775863 920.7852272104701,0.69
1,2917,1,0.931329071521759,0.7559079919719394 0.6318301355738825 -0.1714461648846063 0.617017121045548 -0.7751012739894261 -0.13604369664424748 -0.2188446481173666 -0.002948701520607319 -0.9757552588378542,168.98492561680322 113.22764710415274 944.871924147368,0.69
1,2939,1,0.9349634647369385,0.9911392566888806 0.0019151045356907625 -0.13281304990410603 -0.01610640351177896 -0.9907849458634388 -0.1344833626003553 -0.13184672015688875 0.13543088061812295 -0.9819750093352024,191.97682817000324 112.70367162455533 935.5963180269181,0.69
