scene_id,im_id,obj_id,score,R,t,time
50,620,5,0.8035518527030945,-0.5006505702574413 -0.8642721444157427 -0.04881256895424618 -0.3970084182721475 0.27935389629067664 -0.8742686752070359 0.7692420440420213 -0.41832411000829456 -0.48298200449273665,90.14134987352385 -7.835572163591455 843.6626139421536,0.69
50,623,5,0.8399493098258972,-0.4974904275167986 -0.8663287747344552 -0.0444716605969554 -0.38683068174721535 0.2674407170955875 -0.8825176975553424 0.7764440084050735 -0.42184110386079693 -0.46817174723104205,91.87838054779604 -10.573535971942544 849.4466354323247,0.69
50,629,5,0.8833494782447815,-0.4879568218806525 -0.8716993803914596 -0.0451478704401338 -0.3939042716029496 0.26606578816881443 -0.879800216628217 0.7789336074358862 -0.4115205785756689 -0.473194725895866,95.53967271087761 -14.758677921378027 843.9051200899565,0.69
50,633,5,0.8242301344871521,-0.4877364350763256 -0.8719495754147526 -0.042627547819108214 -0.3941224481427588 0.26350184373839625 -0.880473891842583 0.7789612736002964 -0.41263872368029003 -0.4721743512205059,99.38249298360742 -17.279300307984833 837.9676026703945,0.69
50,640,5,0.8953434228897095,-0.484761967342761 -0.8729802264408512 -0.053957013086870176 -0.39353744669601254 0.27279083307681595 -0.8779028644657905 0.7811108199647215 -0.40433981455273127 -0.4757890302450276,109.72131755513307 -17.212001479530077 840.853092818165,0.69
50,642,5,0.8963947892189026,-0.4818286288840379 -0.8748494507404173 -0.049795691850984425 -0.4020107652039314 0.27118871471918593 -0.8745536150912108 0.7786067794772131 -0.4013665650601033 -0.48236538371236404,109.89993867265487 -17.577284631334464 837.3555644900825,0.69
50,644,5,0.9088355898857117,-0.4949680833911274 -0.8672454887570721 -0.05377600445013547 -0.3971098468380342 0.2808242444030218 -0.8737514024593864 0.7728585678947906 -0.4111240761448775 -0.4833907612332222,109.92943274717369 -18.71487169125372 839.2035528859979,0.69
50,651,5,0.8477879166603088,-0.49370770245468165 -0.8683476383909149 -0.04717079009133612 -0.4057859060992305 0.2780100049360885 -0.8706596554145959 0.7691492072076436 -0.4107101362960953 -0.48961891404999536,114.61569373651457 -21.64617000834769 830.5850828209699,0.69
50,653,5,0.8577909469604492,-0.489938322355568 -0.8705890293155176 -0.045112995055482386 -0.4071555858459288 0.2742783567299867 -0.8712035995930897 0.7708338142569187 -0.40846802208369104 -0.4888446642167299,117.00176969129511 -21.447570508495026 829.8142768125925,0.69
50,660,5,0.9307914972305298,-0.4721864040707313 -0.8803730151760574 -0.04453486230549736 -0.3993568646649599 0.2586871509755284 -0.8795425245916977 0.785846100999251 -0.39752271893563734 -0.47373156267478467,123.62960549308823 -19.125473475504542 832.38197296098,0.69
50,662,5,0.9294345378875732,-0.48178454699905626 -0.8751797619722282 -0.04409120668736677 -0.4055937231957162 0.267314854862041 -0.8740918144418941 0.7767737006214557 -0.4032408121759501 -0.4837555843796837,123.31520863103594 -17.336299049143516 832.415244438446,0.69
50,671,5,0.861175537109375,-0.4760913375947069 -0.8780064970362021 -0.049412846806273614 -0.4057544048540168 0.26917300663433874 -0.8734467673768063 0.7801925411133108 -0.3957909595501743 -0.4844059404358154,130.08856893307413 -19.16431545824697 830.3273465456534,0.69
50,681,5,0.9357995390892029,-0.47726317661075557 -0.8769522095168523 -0.0563443206980247 -0.41391483116984373 0.28089838293590674 -0.8658929558563417 0.7751737694149943 -0.3899370727277718 -0.4970459802910048,136.33425664084024 -19.54950583519169 823.6189660654779,0.69
50,682,5,0.9360707402229309,-0.4767991443219701 -0.8768294142652607 -0.061909242065113945 -0.39788223257822286 0.278087858464823 -0.874275055101664 0.7838062930165884 -0.3922210107244235 -0.48146689790047414,137.89724997562237 -18.546974291308622 827.9660057058236,0.69
50,701,5,0.949023425579071,-0.4862500305406019 -0.8712232437464503 -0.06731246062340396 -0.3912097713629289 0.2859287844614993 -0.8747569062354035 0.7813551193851802 -0.39901728004220915 -0.4798639261689597,139.48282254636229 -9.50202516721561 828.8413828880379,0.69
50,712,5,0.8788775205612183,-0.4816461494237514 -0.873708030601552 -0.06820017600879874 -0.37754473317684833 0.2770969999304195 -0.8835594077819463 0.7908710142594026 -0.3998143692914483 -0.4633265683212928,149.54885661920807 -2.700528054216006 829.8152113516106,0.69
50,721,5,0.8646895885467529,-0.4820545208466245 -0.8735642562609659 -0.06714856003338382 -0.373965488375852 0.2744603585208396 -0.8859014195182344 0.7923214325229011 -0.40194154025658735 -0.4589877403384761,161.02792459766755 -3.961266098614571 831.456678495,0.69
50,722,5,0.8616318702697754,-0.4729899286700423 -0.878288299776864 -0.06992989240499653 -0.3856784680996679 0.27775457657560876 -0.8798320944564355 0.7921695819841874 -0.38918126582142953 -0.47011200337007786,160.41961149709212 -3.9223218960173134 823.4294702009608,0.69
50,735,5,0.9418891668319702,-0.48881475260253415 -0.8694928155065664 -0.07100972764760732 -0.38137420424213797 0.2861889493486123 -0.8790048928245016 0.7846106384550233 -0.40258928084736856 -0.471495511081494,168.88128537414153 -3.945229242497117 825.0389738990361,0.69
50,737,5,0.9417640566825867,-0.47529996349200565 -0.8766246420011954 -0.07496120156970748 -0.3823189724596021 0.28252182368472667 -0.8797804399049175 0.7924153885443745 -0.38950052140932023 -0.469432844845709,169.5544083058446 -4.679315614140051 821.6906119428676,0.69
50,751,5,0.8507549166679382,-0.4878102698711211 -0.8694253109253343 -0.07836306100868035 -0.3794029964154549 0.2920033854195947 -0.8779449807445054 0.786189866965505 -0.39853939783399284 -0.4723048183693237,174.7782985222167 -2.332309803709176 819.8870672787504,0.69
